bridge_tag,questions,outcome_models,primary_journey,secondary_journey,journey_confidence,ambiguity,reachable_journeys,fallback_only,reason
"LANGUAGE_DEVELOPMENT",40,"employability_readiness","employability_index","career_builder",0.344,0.55,3,false,"1 outcome model(s) → 3 route(s); primary employability_index (fit 0.765)"
"LEADERSHIP_ACCOUNTABILITY",40,"career_clarity|confidence_stability|decision_quality|employability_readiness","career_builder","employability_index",0.064,0.714,5,false,"4 outcome model(s) → 5 route(s); primary career_builder (fit 0.224)"
"LEADERSHIP_DEVELOPMENT",40,"career_clarity|confidence_stability|decision_quality|employability_readiness","career_builder","employability_index",0.064,0.714,5,false,"4 outcome model(s) → 5 route(s); primary career_builder (fit 0.224)"
"LEADERSHIP_DYNAMICS",50,"career_clarity|confidence_stability|decision_quality|employability_readiness","career_builder","employability_index",0.064,0.714,5,false,"4 outcome model(s) → 5 route(s); primary career_builder (fit 0.224)"
"LEADERSHIP_ENDURANCE",40,"confidence_stability","lbi","mentoring",0.299,0.586,4,false,"1 outcome model(s) → 4 route(s); primary lbi (fit 0.722)"
"LEADERSHIP_FOUNDATIONS",40,"career_clarity|confidence_stability|decision_quality|employability_readiness","career_builder","employability_index",0.064,0.714,5,false,"4 outcome model(s) → 5 route(s); primary career_builder (fit 0.224)"
"LEADERSHIP_INFLUENCE",50,"career_clarity|confidence_stability|decision_quality|employability_readiness","career_builder","employability_index",0.064,0.714,5,false,"4 outcome model(s) → 5 route(s); primary career_builder (fit 0.224)"
"LEADERSHIP_MATURITY",40,"career_clarity|confidence_stability|decision_quality|employability_readiness","career_builder","employability_index",0.064,0.714,5,false,"4 outcome model(s) → 5 route(s); primary career_builder (fit 0.224)"
"LEADERSHIP_OWNERSHIP",400,"career_clarity|confidence_stability|decision_quality|employability_readiness","career_builder","employability_index",0.064,0.714,5,false,"4 outcome model(s) → 5 route(s); primary career_builder (fit 0.224)"
"LEADERSHIP_READINESS",25,"career_clarity|confidence_stability|decision_quality|employability_readiness","career_builder","employability_index",0.064,0.714,5,false,"4 outcome model(s) → 5 route(s); primary career_builder (fit 0.224)"
"LEADERSHIP_RECOVERY",40,"confidence_stability","lbi","mentoring",0.299,0.586,4,false,"1 outcome model(s) → 4 route(s); primary lbi (fit 0.722)"
"LEADERSHIP_TRANSITION",70,"career_clarity|confidence_stability|decision_quality|employability_readiness","career_builder","employability_index",0.064,0.714,5,false,"4 outcome model(s) → 5 route(s); primary career_builder (fit 0.224)"
"LEARNING_ADAPTABILITY",400,"learning_effectiveness","mentoring","competitive_exam",0.076,0.778,4,false,"1 outcome model(s) → 4 route(s); primary mentoring (fit 0.34); exam route demoted to secondary (no dedicated EXAM_ evidence)"
"LEARNING_AWARENESS",100,"learning_effectiveness","mentoring","competitive_exam",0.076,0.778,4,false,"1 outcome model(s) → 4 route(s); primary mentoring (fit 0.34); exam route demoted to secondary (no dedicated EXAM_ evidence)"
"LEARNING_BEHAVIOR",40,"learning_effectiveness","mentoring","competitive_exam",0.076,0.778,4,false,"1 outcome model(s) → 4 route(s); primary mentoring (fit 0.34); exam route demoted to secondary (no dedicated EXAM_ evidence)"
"LEARNING_DEPENDENCY",100,"learning_effectiveness","mentoring","competitive_exam",0.076,0.778,4,false,"1 outcome model(s) → 4 route(s); primary mentoring (fit 0.34); exam route demoted to secondary (no dedicated EXAM_ evidence)"
"LEARNING_EFFECTIVENESS",25,"learning_effectiveness","mentoring","competitive_exam",0.076,0.778,4,false,"1 outcome model(s) → 4 route(s); primary mentoring (fit 0.34); exam route demoted to secondary (no dedicated EXAM_ evidence)"
"LEARNING_INTERVENTION",40,"learning_effectiveness","mentoring","competitive_exam",0.076,0.778,4,false,"1 outcome model(s) → 4 route(s); primary mentoring (fit 0.34); exam route demoted to secondary (no dedicated EXAM_ evidence)"
"LEARNING_MINDSET",120,"learning_effectiveness","mentoring","competitive_exam",0.076,0.778,4,false,"1 outcome model(s) → 4 route(s); primary mentoring (fit 0.34); exam route demoted to secondary (no dedicated EXAM_ evidence)"
"LEARNING_OPTIMIZATION",80,"learning_effectiveness","mentoring","competitive_exam",0.076,0.778,4,false,"1 outcome model(s) → 4 route(s); primary mentoring (fit 0.34); exam route demoted to secondary (no dedicated EXAM_ evidence)"
"LEARNING_PERSISTENCE",129,"confidence_stability|learning_effectiveness","lbi","mentoring",0.086,0.701,5,false,"2 outcome model(s) → 5 route(s); primary lbi (fit 0.288)"
"LEARNING_PSYCHOLOGY",40,"confidence_stability|learning_effectiveness","lbi","mentoring",0.086,0.701,5,false,"2 outcome model(s) → 5 route(s); primary lbi (fit 0.288)"
"LEARNING_QUALITY",50,"learning_effectiveness","mentoring","competitive_exam",0.076,0.778,4,false,"1 outcome model(s) → 4 route(s); primary mentoring (fit 0.34); exam route demoted to secondary (no dedicated EXAM_ evidence)"
"LEARNING_REFLECTION",40,"learning_effectiveness","mentoring","competitive_exam",0.076,0.778,4,false,"1 outcome model(s) → 4 route(s); primary mentoring (fit 0.34); exam route demoted to secondary (no dedicated EXAM_ evidence)"
"LEARNING_SKILLS",40,"learning_effectiveness","mentoring","competitive_exam",0.076,0.778,4,false,"1 outcome model(s) → 4 route(s); primary mentoring (fit 0.34); exam route demoted to secondary (no dedicated EXAM_ evidence)"
"LEARNING_SUSTAINABILITY",40,"learning_effectiveness","mentoring","competitive_exam",0.076,0.778,4,false,"1 outcome model(s) → 4 route(s); primary mentoring (fit 0.34); exam route demoted to secondary (no dedicated EXAM_ evidence)"
"LIFESTYLE_ADAPTATION",40,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"LIFESTYLE_ADJUSTMENT",40,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"LIFESTYLE_CAREER",40,"career_clarity","career_builder","employability_index",0.193,0.571,4,false,"1 outcome model(s) → 4 route(s); primary career_builder (fit 0.45)"
"LIFESTYLE_PRESSURE",450,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"LIFE_READINESS",40,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"LONG_TERM",275,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"MATURITY_DEVELOPMENT",25,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"METACOGNITION_SELF",40,"decision_quality|learning_effectiveness","lbi","career_builder",0.136,0.696,4,false,"2 outcome model(s) → 4 route(s); primary lbi (fit 0.446)"
"METACOGNITIVE_DEVELOPMENT",40,"decision_quality|learning_effectiveness","lbi","career_builder",0.136,0.696,4,false,"2 outcome model(s) → 4 route(s); primary lbi (fit 0.446)"
"MOTIVATION_DEVELOPMENT",25,"decision_quality","lbi","career_builder",0.29,0.545,3,false,"1 outcome model(s) → 3 route(s); primary lbi (fit 0.638)"
"MOTIVATION_MAPPING",40,"decision_quality","lbi","career_builder",0.29,0.545,3,false,"1 outcome model(s) → 3 route(s); primary lbi (fit 0.638)"
"MOTIVATION_PSYCHOLOGY",40,"confidence_stability|decision_quality","lbi","mentoring",0.173,0.568,5,false,"2 outcome model(s) → 5 route(s); primary lbi (fit 0.4)"
"MOTIVATION_VALUES",620,"decision_quality","lbi","career_builder",0.324,0.546,3,false,"1 outcome model(s) → 3 route(s); primary lbi (fit 0.712)"
"MULTI_POTENTIALITY",25,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"ORGANIZATIONAL_DEVELOPMENT",100,"decision_quality|learning_effectiveness","lbi","career_builder",0.136,0.696,4,false,"2 outcome model(s) → 4 route(s); primary lbi (fit 0.446)"
"ORGANIZATIONAL_INTELLIGENCE",40,"decision_quality|learning_effectiveness","lbi","career_builder",0.136,0.696,4,false,"2 outcome model(s) → 4 route(s); primary lbi (fit 0.446)"
"OVER_COMPLIANCE",25,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"OWNERSHIP_ACCOUNTABILITY",40,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"PERFORMANCE_ANALYSIS",40,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"PERFORMANCE_BEHAVIOR",37,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"PERFORMANCE_COACHING",40,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"PERFORMANCE_REFLECTION",75,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"PERFORMANCE_RESILIENCE",31,"confidence_stability","lbi","mentoring",0.335,0.585,4,false,"1 outcome model(s) → 4 route(s); primary lbi (fit 0.808)"
"PERSEVERANCE_COACHING",40,"confidence_stability","lbi","mentoring",0.299,0.586,4,false,"1 outcome model(s) → 4 route(s); primary lbi (fit 0.722)"
"PERSISTENCE_DEVELOPMENT",25,"confidence_stability","lbi","mentoring",0.299,0.586,4,false,"1 outcome model(s) → 4 route(s); primary lbi (fit 0.722)"
"PERSONALITY_ALIGNMENT",40,"career_clarity|confidence_stability","lbi","mentoring",0.064,0.723,5,false,"2 outcome model(s) → 5 route(s); primary lbi (fit 0.23)"
"PERSONALITY_CAREER",25,"career_clarity","career_builder","employability_index",0.328,0.571,4,false,"1 outcome model(s) → 4 route(s); primary career_builder (fit 0.765)"
"PERSONALITY_EXPLORATION",40,"career_clarity|confidence_stability","lbi","mentoring",0.064,0.723,5,false,"2 outcome model(s) → 5 route(s); primary lbi (fit 0.23)"
"PERSONAL_BRANDING",175,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"PERSONAL_DECISION",40,"decision_quality|learning_effectiveness","lbi","career_builder",0.136,0.696,4,false,"2 outcome model(s) → 4 route(s); primary lbi (fit 0.446)"
"PERSONAL_DEVELOPMENT",80,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"PERSONAL_EFFECTIVENESS",40,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"PERSONAL_EXPANSION",25,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"PERSONAL_GROWTH",125,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"PERSONAL_IDENTITY",25,"confidence_stability","lbi","mentoring",0.299,0.586,4,false,"1 outcome model(s) → 4 route(s); primary lbi (fit 0.722)"
"PERSONAL_INSIGHT",40,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"PERSONAL_LEADERSHIP",40,"career_clarity|confidence_stability|decision_quality|employability_readiness","career_builder","employability_index",0.064,0.714,5,false,"4 outcome model(s) → 5 route(s); primary career_builder (fit 0.224)"
"PERSONAL_POSITIONING",40,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"PERSONAL_SUSTAINABILITY",40,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"PERSONAL_VISION",100,"career_clarity|decision_quality","career_builder","lbi",0.222,0.627,4,false,"2 outcome model(s) → 4 route(s); primary career_builder (fit 0.595)"
"PLACEMENT_OPERATIONS",40,"career_clarity|employability_readiness","career_builder","employability_index",0.265,0.61,4,false,"2 outcome model(s) → 4 route(s); primary career_builder (fit 0.68)"
"PLACEMENT_RISK",25,"career_clarity|employability_readiness","career_builder","employability_index",0.265,0.61,4,false,"2 outcome model(s) → 4 route(s); primary career_builder (fit 0.68)"
"POTENTIAL_DISCOVERY",25,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"PRODUCTIVITY_COACHING",40,"decision_quality|learning_effectiveness","lbi","career_builder",0.136,0.696,4,false,"2 outcome model(s) → 4 route(s); primary lbi (fit 0.446)"
"PRODUCTIVITY_REFLECTION",25,"decision_quality|learning_effectiveness","lbi","career_builder",0.136,0.696,4,false,"2 outcome model(s) → 4 route(s); primary lbi (fit 0.446)"
"PROFESSIONAL_LEADERSHIP",40,"career_clarity|confidence_stability|decision_quality|employability_readiness","career_builder","employability_index",0.064,0.714,5,false,"4 outcome model(s) → 5 route(s); primary career_builder (fit 0.224)"
"PSYCHOLOGICAL_ADAPTATION",40,"confidence_stability","lbi","mentoring",0.299,0.586,4,false,"1 outcome model(s) → 4 route(s); primary lbi (fit 0.722)"
"PURPOSE_ALIGNMENT",40,"career_clarity|decision_quality","career_builder","lbi",0.222,0.627,4,false,"2 outcome model(s) → 4 route(s); primary career_builder (fit 0.595)"
"PURPOSE_DISCOVERY",25,"career_clarity|decision_quality","career_builder","lbi",0.222,0.627,4,false,"2 outcome model(s) → 4 route(s); primary career_builder (fit 0.595)"
"PURPOSE_REFLECTION",40,"career_clarity|decision_quality","career_builder","lbi",0.222,0.627,4,false,"2 outcome model(s) → 4 route(s); primary career_builder (fit 0.595)"
"RECOVERY_BEHAVIOR",40,"confidence_stability","lbi","mentoring",0.299,0.586,4,false,"1 outcome model(s) → 4 route(s); primary lbi (fit 0.722)"
"RECOVERY_CAPABILITY",40,"career_clarity|confidence_stability|employability_readiness","employability_index","career_builder",0.078,0.724,5,false,"3 outcome model(s) → 5 route(s); primary employability_index (fit 0.283)"
"RECOVERY_ORIENTATION",40,"confidence_stability","lbi","mentoring",0.299,0.586,4,false,"1 outcome model(s) → 4 route(s); primary lbi (fit 0.722)"
"REFLECTIVE_DEVELOPMENT",25,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"REFLECTIVE_LEARNING",25,"learning_effectiveness","mentoring","competitive_exam",0.076,0.778,4,false,"1 outcome model(s) → 4 route(s); primary mentoring (fit 0.34); exam route demoted to secondary (no dedicated EXAM_ evidence)"
"REFLECTIVE_SYSTEMS",40,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"RESPONSIBILITY_DEVELOPMENT",40,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"SELF_ACCEPTANCE",50,"confidence_stability","lbi","mentoring",0.335,0.585,4,false,"1 outcome model(s) → 4 route(s); primary lbi (fit 0.808)"
"SELF_AWARENESS",40,"confidence_stability|decision_quality|learning_effectiveness","lbi","mentoring",0.087,0.655,5,false,"3 outcome model(s) → 5 route(s); primary lbi (fit 0.253)"
"SELF_DEVELOPMENT",25,"confidence_stability|decision_quality|learning_effectiveness","lbi","mentoring",0.087,0.655,5,false,"3 outcome model(s) → 5 route(s); primary lbi (fit 0.253)"
"SELF_DIAGNOSTIC",40,"confidence_stability|decision_quality|learning_effectiveness","lbi","mentoring",0.087,0.655,5,false,"3 outcome model(s) → 5 route(s); primary lbi (fit 0.253)"
"SELF_DISCOVERY",80,"confidence_stability|decision_quality|learning_effectiveness","lbi","mentoring",0.087,0.655,5,false,"3 outcome model(s) → 5 route(s); primary lbi (fit 0.253)"
"SELF_EVALUATION",25,"confidence_stability|decision_quality|learning_effectiveness","lbi","mentoring",0.087,0.655,5,false,"3 outcome model(s) → 5 route(s); primary lbi (fit 0.253)"
"SELF_EXPLORATION",25,"confidence_stability|decision_quality|learning_effectiveness","lbi","mentoring",0.087,0.655,5,false,"3 outcome model(s) → 5 route(s); primary lbi (fit 0.253)"
"SELF_EXPRESSION",40,"employability_readiness","employability_index","career_builder",0.344,0.55,3,false,"1 outcome model(s) → 3 route(s); primary employability_index (fit 0.765)"
"SELF_GROWTH",50,"confidence_stability|decision_quality|learning_effectiveness","lbi","mentoring",0.087,0.655,5,false,"3 outcome model(s) → 5 route(s); primary lbi (fit 0.253)"
"SELF_IDENTITY",40,"confidence_stability","lbi","mentoring",0.299,0.586,4,false,"1 outcome model(s) → 4 route(s); primary lbi (fit 0.722)"
"SELF_LEADERSHIP",35,"career_clarity|confidence_stability|decision_quality|employability_readiness|learning_effectiveness","lbi","career_builder",0.047,0.752,5,false,"5 outcome model(s) → 5 route(s); primary lbi (fit 0.19)"
"SELF_LEARNING",50,"learning_effectiveness","mentoring","competitive_exam",0.076,0.778,4,false,"1 outcome model(s) → 4 route(s); primary mentoring (fit 0.34); exam route demoted to secondary (no dedicated EXAM_ evidence)"
"SELF_MANAGEMENT",40,"confidence_stability|decision_quality|learning_effectiveness","lbi","mentoring",0.087,0.655,5,false,"3 outcome model(s) → 5 route(s); primary lbi (fit 0.253)"
"SELF_MOTIVATION",40,"decision_quality","lbi","career_builder",0.324,0.546,3,false,"1 outcome model(s) → 3 route(s); primary lbi (fit 0.712)"
"SELF_OBSERVATION",40,"confidence_stability|decision_quality|learning_effectiveness","lbi","mentoring",0.087,0.655,5,false,"3 outcome model(s) → 5 route(s); primary lbi (fit 0.253)"
"SELF_PERCEPTION",25,"confidence_stability","lbi","mentoring",0.299,0.586,4,false,"1 outcome model(s) → 4 route(s); primary lbi (fit 0.722)"
"SELF_PROGRESS",40,"confidence_stability|decision_quality|learning_effectiveness","lbi","mentoring",0.087,0.655,5,false,"3 outcome model(s) → 5 route(s); primary lbi (fit 0.253)"
"SELF_REFLECTION",305,"confidence_stability|decision_quality|learning_effectiveness","lbi","mentoring",0.087,0.655,5,false,"3 outcome model(s) → 5 route(s); primary lbi (fit 0.253)"
"SELF_REGULATION",40,"confidence_stability|decision_quality|learning_effectiveness","lbi","mentoring",0.094,0.64,5,false,"3 outcome model(s) → 5 route(s); primary lbi (fit 0.26)"
"SELF_WORTH",50,"confidence_stability","lbi","mentoring",0.335,0.585,4,false,"1 outcome model(s) → 4 route(s); primary lbi (fit 0.808)"
"SKILL_DEVELOPMENT",25,"career_clarity|employability_readiness","career_builder","employability_index",0.265,0.61,4,false,"2 outcome model(s) → 4 route(s); primary career_builder (fit 0.68)"
"SOCIAL_CAPABILITY",50,"career_clarity|confidence_stability|employability_readiness","employability_index","career_builder",0.104,0.681,5,false,"3 outcome model(s) → 5 route(s); primary employability_index (fit 0.325)"
"SOCIAL_DEVELOPMENT",40,"confidence_stability|employability_readiness","employability_index","mentoring",0.151,0.704,5,false,"2 outcome model(s) → 5 route(s); primary employability_index (fit 0.51)"
"SOCIAL_EMOTIONAL",825,"confidence_stability|employability_readiness","lbi","mentoring",0.079,0.722,5,false,"2 outcome model(s) → 5 route(s); primary lbi (fit 0.283)"
"SOCIAL_LEADERSHIP",40,"confidence_stability|employability_readiness","employability_index","mentoring",0.151,0.704,5,false,"2 outcome model(s) → 5 route(s); primary employability_index (fit 0.51)"
"SOCIAL_LEARNING",40,"confidence_stability|employability_readiness|learning_effectiveness","mentoring","employability_index",0.056,0.761,5,false,"3 outcome model(s) → 5 route(s); primary mentoring (fit 0.233)"
"SOCIAL_REFLECTION",40,"confidence_stability|employability_readiness","employability_index","mentoring",0.151,0.704,5,false,"2 outcome model(s) → 5 route(s); primary employability_index (fit 0.51)"
"SOCIAL_SELF",40,"confidence_stability|employability_readiness","employability_index","mentoring",0.151,0.704,5,false,"2 outcome model(s) → 5 route(s); primary employability_index (fit 0.51)"
"STAKEHOLDER_ALIGNMENT",40,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"STEM_LEARNING",100,"learning_effectiveness","mentoring","competitive_exam",0.076,0.778,4,false,"1 outcome model(s) → 4 route(s); primary mentoring (fit 0.34); exam route demoted to secondary (no dedicated EXAM_ evidence)"
"STRATEGIC_LEADERSHIP",75,"career_clarity|confidence_stability|decision_quality|employability_readiness","career_builder","employability_index",0.064,0.714,5,false,"4 outcome model(s) → 5 route(s); primary career_builder (fit 0.224)"
"STRATEGIC_PREPARATION",500,"exam_readiness","competitive_exam","mentoring",0.592,0.308,2,false,"1 outcome model(s) → 2 route(s); primary competitive_exam (fit 0.855)"
"STRENGTH_DISCOVERY",25,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"STUDENT_BALANCE",40,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"STUDENT_BEHAVIOUR",25,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"STUDENT_DEVELOPMENT",40,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"STUDENT_ENGAGEMENT",40,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"STUDENT_LEADERSHIP",40,"career_clarity|confidence_stability|decision_quality|employability_readiness","career_builder","employability_index",0.064,0.714,5,false,"4 outcome model(s) → 5 route(s); primary career_builder (fit 0.224)"
"STUDENT_PSYCHOLOGY",40,"confidence_stability","lbi","mentoring",0.299,0.586,4,false,"1 outcome model(s) → 4 route(s); primary lbi (fit 0.722)"
"STUDENT_RECOVERY",40,"confidence_stability","lbi","mentoring",0.299,0.586,4,false,"1 outcome model(s) → 4 route(s); primary lbi (fit 0.722)"
"STUDENT_REGULATION",40,"confidence_stability|decision_quality|learning_effectiveness","lbi","mentoring",0.098,0.629,5,false,"3 outcome model(s) → 5 route(s); primary lbi (fit 0.265)"
"STUDENT_RISK",40,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"STUDENT_SUCCESS",25,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"STUDENT_SUPPORT",40,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"STUDENT_WELLBEING",40,"confidence_stability|exam_readiness","mentoring","competitive_exam",0.127,0.702,4,false,"2 outcome model(s) → 4 route(s); primary mentoring (fit 0.425); exam route demoted to secondary (no dedicated EXAM_ evidence)"
"STUDENT_WELLNESS",40,"confidence_stability|exam_readiness","mentoring","competitive_exam",0.127,0.702,4,false,"2 outcome model(s) → 4 route(s); primary mentoring (fit 0.425); exam route demoted to secondary (no dedicated EXAM_ evidence)"
"STUDY_STRATEGY",50,"learning_effectiveness","mentoring","competitive_exam",0.084,0.778,4,false,"1 outcome model(s) → 4 route(s); primary mentoring (fit 0.38); exam route demoted to secondary (no dedicated EXAM_ evidence)"
"SUBJECT_ANXIETY",40,"exam_readiness","competitive_exam","mentoring",0.592,0.308,2,false,"1 outcome model(s) → 2 route(s); primary competitive_exam (fit 0.855)"
"SUBJECT_INTERVENTION",40,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"TALENT_DISCOVERY",25,"career_clarity|employability_readiness","career_builder","employability_index",0.265,0.61,4,false,"2 outcome model(s) → 4 route(s); primary career_builder (fit 0.68)"
"TALENT_IDENTIFICATION",40,"career_clarity|employability_readiness","career_builder","employability_index",0.265,0.61,4,false,"2 outcome model(s) → 4 route(s); primary career_builder (fit 0.68)"
"TEACHING_QUALITY",40,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"TEAM_LEADERSHIP",75,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"TEAM_LEARNING",40,"learning_effectiveness","mentoring","competitive_exam",0.044,0.778,4,false,"1 outcome model(s) → 4 route(s); primary mentoring (fit 0.2); exam route demoted to secondary (no dedicated EXAM_ evidence)"
"TEAM_MANAGEMENT",40,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"THINKING_QUALITY",525,"decision_quality|learning_effectiveness","lbi","career_builder",0.136,0.696,4,false,"2 outcome model(s) → 4 route(s); primary lbi (fit 0.446)"
"TRANSITION_ADAPTATION",40,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"TRANSITION_READINESS",25,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"VALUES_BASED",25,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"VALUES_EXPLORATION",40,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"VOCATIONAL_GUIDANCE",40,"career_clarity","career_builder","employability_index",0.328,0.571,4,false,"1 outcome model(s) → 4 route(s); primary career_builder (fit 0.765)"
"WORKFORCE_TRENDS",40,"career_clarity|employability_readiness","career_builder","employability_index",0.265,0.61,4,false,"2 outcome model(s) → 4 route(s); primary career_builder (fit 0.68)"
"WORKPLACE_ADAPTATION",682,"career_clarity|employability_readiness","career_builder","employability_index",0.297,0.61,4,false,"2 outcome model(s) → 4 route(s); primary career_builder (fit 0.76)"
"WORKPLACE_FIT",25,"career_clarity|employability_readiness","career_builder","employability_index",0.297,0.61,4,false,"2 outcome model(s) → 4 route(s); primary career_builder (fit 0.76)"
"WORKPLACE_PERFORMANCE",25,"","","",0,0,0,false,"no reachable outcome model → no journey (orphan)"
"WORKPLACE_READINESS",25,"career_clarity|employability_readiness","career_builder","employability_index",0.297,0.61,4,false,"2 outcome model(s) → 4 route(s); primary career_builder (fit 0.76)"
