bridge_tag,coverage_status,question_count,concern_count,runtime_remap_target,runtime_route,in_covered_set
HIGHER_EDUCATION,covered,25,1,HIGHER_EDUCATION,covered_self,true
IDENTITY_INTEGRATION,covered,25,1,IDENTITY_INTEGRATION,covered_self,true
INSTRUCTIONAL_QUALITY,covered,25,1,INSTRUCTIONAL_QUALITY,covered_self,true
LEADERSHIP_INFLUENCE,covered,25,1,LEADERSHIP_INFLUENCE,covered_self,true
LEARNING_AWARENESS,covered,25,1,LEARNING_AWARENESS,covered_self,true
LEARNING_DEPENDENCY,covered,50,1,LEARNING_DEPENDENCY,covered_self,true
MULTI_POTENTIALITY,covered,25,1,MULTI_POTENTIALITY,covered_self,true
PERFORMANCE_REFLECTION,covered,75,1,PERFORMANCE_REFLECTION,covered_self,true
PERSONAL_VISION,covered,100,1,PERSONAL_VISION,covered_self,true
STUDENT_SUCCESS,covered,25,1,STUDENT_SUCCESS,covered_self,true
TRANSITION_READINESS,covered,25,1,TRANSITION_READINESS,covered_self,true
WORKPLACE_FIT,covered,25,1,WORKPLACE_FIT,covered_self,true
