concern_id,concern,domain,persona,severity,priority,curated_questions,root_cause_group,intervention_lens
CONCERN_TAL_1336,Measure Real Workplace Readiness Beyond Academics,Workplace Readiness,Placement & Career Cell,High,P1,0,Academic-Only Preparation,Workplace Intelligence Systems
CONCERN_ADA_1339,Placement Preparation Effectiveness Institutionally,Placement Operations,Placement & Career Cell,Medium,P2,0,Generic Placement Training,Placement Intelligence Systems
CONCERN_EMO_1341,Student Readiness for Entrepreneurial Careers,Innovation & Entrepreneurship,Placement & Career Cell,Medium,P2,0,Job-Only Placement Ecosystems,Entrepreneurship Intelligence Systems
CONCERN_THI_1343,Detecting Institutional Employability Gaps Across Departments,Organizational Intelligence,Placement & Career Cell,High,P1,0,Uneven Academic Quality,Employability Intelligence Frameworks
CONCERN_EMO_1345,Long-Term Career Sustainability Readiness,Career Sustainability,Placement & Career Cell,Medium,P2,0,Short-Term Placement Orientation,Career Sustainability Systems
CONCERN_HOL_1347,Declining academic performance despite effort,Academic Counselling,Academic Counsellor,High,P1,0,Weak foundations,Remedial planning
CONCERN_ACA_1348,concentration during classes,Learning Intervention,Academic Counsellor,High,P2,0,Attention fatigue,Focus training
CONCERN_LEA_1349,Exam anxiety impacting outcomes,Student Wellbeing,Academic Counsellor,High,P1,0,Anxiety overload,Exam conditioning
CONCERN_STU_1350,complete syllabus on time,Academic Planning,Academic Counsellor,Medium,P2,0,Poor planning habits,Structured scheduling
CONCERN_ACA_1351,conceptual clarity in STEM subjects,Subject Intervention,Academic Counsellor,High,P1,0,Surface learning,Concept strengthening
CONCERN_SUB_1352,Student burnout from excessive academic load,Student Wellness,Academic Counsellor,High,P1,0,Over-scheduling,Recovery balancing
CONCERN_STU_1353,interest in studies,Engagement Management,Academic Counsellor,Medium,P2,0,Low intrinsic motivation,Motivation coaching
CONCERN_ACA_1366,Digital addiction reducing study efficiency,Student Behaviour,Academic Counsellor,High,P1,0,Dopamine-driven distraction,Digital discipline
CONCERN_STU_1367,confidence during viva and presentations,Communication Development,Academic Counsellor,Medium,P3,0,Fear conditioning,Confidence training
CONCERN_COM_1368,Peer comparison affecting motivation,Student Psychology,Academic Counsellor,Medium,P2,0,Inferiority perception,Self-worth reinforcement
CONCERN_STU_1369,problem-solving ability,Cognitive Skills,Academic Counsellor,High,P1,0,Limited analytical exposure,Application-based learning
CONCERN_LEA_1371,academic stamina during long exams,Exam Readiness,Academic Counsellor,Medium,P2,0,Mental fatigue,Cognitive endurance training
CONCERN_EXA_1372,Emotional breakdown after poor results,Student Recovery,Academic Counsellor,High,P1,0,Failure intolerance,Recovery counselling
CONCERN_STU_1373,balancing academics and extracurriculars,Student Balance,Academic Counsellor,Medium,P3,0,Overcommitment,Balance coaching
CONCERN_STU_1374,curiosity-driven learning,Innovation Readiness,Academic Counsellor,Medium,P3,0,Extrinsic learning dependence,Inquiry-based learning
CONCERN_INN_1375,decision-making regarding subject streams,Academic Decision Support,Academic Counsellor,High,P1,0,Lack of self-awareness,Aptitude-guided counselling
CONCERN_ACA_1376,Fear of failure leading to academic avoidance,Academic Risk Behaviour,Academic Counsellor,High,P1,0,Fear conditioning,Resilience coaching
CONCERN_ACA_1377,career clarity after Class 10/12,Career Guidance,Career Counsellor,High,P1,0,Limited exposure,Structured career mapping
CONCERN_CAR_1378,Choosing streams based on parental pressure,Career Decision Support,Career Counsellor,High,P1,0,Family-driven choices,Parent-student counselling
CONCERN_CAR_1379,understanding of emerging careers,Future Career Readiness,Career Counsellor,Medium,P2,0,Limited market awareness,Career exploration programs
CONCERN_CAR_1381,Confusion between passion and employability,Career Alignment,Career Counsellor,Medium,P2,0,Unrealistic expectations,Balanced career planning
CONCERN_CAR_1383,awareness about skill requirements,Career Preparedness,Career Counsellor,High,P1,0,Weak practical exposure,Skill-gap assessment
CONCERN_CAR_1384,Fear of choosing the wrong career,Decision Anxiety,Career Counsellor,High,P1,0,Fear conditioning,Guided decision frameworks
CONCERN_DEC_1385,confidence in non-traditional careers,Alternative Career Guidance,Career Counsellor,Medium,P2,0,Cultural bias,Family sensitization
CONCERN_HIG_1388,career planning timeline management,Career Execution,Career Counsellor,Medium,P2,0,Lack of structure,Career roadmap planning
CONCERN_CAR_1389,aptitude-career alignment,Career Suitability,Career Counsellor,High,P1,0,Poor self-assessment,Psychometric mapping
CONCERN_CAR_1390,Students preparing for oversaturated career paths,Workforce Trends,Career Counsellor,Medium,P2,0,Herd-based planning,Alternative career pathways
CONCERN_WOR_1391,clarity about career progression ladders,Career Development,Career Counsellor,Medium,P3,0,Limited mentoring,Career trajectory coaching
CONCERN_CAR_1392,communication impacting career opportunities,Employability Development,Career Counsellor,High,P2,0,Confidence gaps,Communication coaching
CONCERN_EMP_1393,Fear of competitive exams and failure,Career Competition Readiness,Career Counsellor,High,P1,0,Fear of failure,Stress management support
CONCERN_CAR_1394,networking and mentorship access,Career Ecosystem Support,Career Counsellor,Medium,P3,0,Access limitations,Mentorship enablement
CONCERN_CAR_1395,Students unable to identify strengths and interests,Self-Discovery,Career Counsellor,High,P1,0,Lack of introspection,Guided reflection
CONCERN_SEL_1396,Confusion between degree and career outcomes,Career Mapping,Career Counsellor,Medium,P2,0,Weak career literacy,Career education
CONCERN_CAR_1397,resilience after career setbacks,Career Recovery,Career Counsellor,High,P2,0,Failure intolerance,Recovery mentoring
CONCERN_CAR_1398,balancing passion and financial stability,Career Sustainability,Career Counsellor,Medium,P2,0,Economic insecurity,Balanced pathway design
CONCERN_CAR_1399,awareness about vocational careers,Vocational Guidance,Career Counsellor,Medium,P3,0,Social stigma,Vocational sensitization
CONCERN_VOC_1400,Students pursuing careers misaligned with personality,Personality-Career Fit,Career Counsellor,Medium,P2,0,Poor fit assessment,Personality profiling
CONCERN_PER_1401,Uncertainty about future-proof careers,Future Workforce Readiness,Career Counsellor,High,P1,0,Technology disruption fears,Future-skills orientation
CONCERN_FUT_1402,Students lacking portfolio and profile development,Career Branding,Career Counsellor,Medium,P2,0,Limited guidance,Portfolio development
CONCERN_CAR_1403,understanding of entrepreneurship pathways,Entrepreneurship Guidance,Career Counsellor,Medium,P3,0,Lack of entrepreneurial exposure,Startup mentoring
CONCERN_ENT_1404,career adaptability during market shifts,Career Flexibility,Career Counsellor,High,P2,0,Fixed career mindset,Career agility coaching
CONCERN_TRA_1407,self-discipline in daily routines,Student Development,Student Mentor,High,P1,0,Weak self-regulation,Habit coaching
CONCERN_STU_1408,accountability toward academic commitments,Performance Coaching,Student Mentor,High,P2,0,Lack of accountability culture,Accountability mentoring
CONCERN_PER_1409,motivation to pursue long-term goals,Growth Mentoring,Student Mentor,High,P1,0,Weak intrinsic drive,Goal reinforcement
CONCERN_GRO_1410,Excessive dependence on parents for decisions,Personal Growth,Student Mentor,Medium,P2,0,Learned dependency,Independence building
CONCERN_PER_1411,resilience after setbacks,Emotional Development,Student Mentor,High,P1,0,Failure intolerance,Resilience coaching
CONCERN_EMO_1412,peer influence management,Social Development,Student Mentor,Medium,P2,0,Weak self-identity,Boundary mentoring
CONCERN_SOC_1413,consistency in effort and execution,Personal Effectiveness,Student Mentor,High,P1,0,Weak persistence systems,Consistency coaching
CONCERN_PER_1414,emotional regulation during conflicts,Student Behaviour,Student Mentor,Medium,P2,0,Low coping maturity,Emotional coaching
CONCERN_STU_1415,confidence in personal abilities,Self-Development,Student Mentor,High,P2,0,External validation dependency,Confidence building
CONCERN_SEL_1416,distractions,Productivity Coaching,Student Mentor,High,P1,0,Dopamine dependency,Attention management
CONCERN_PRO_1417,communication and interpersonal behaviour,Social Capability,Student Mentor,Medium,P3,0,Low interaction confidence,Communication mentoring
CONCERN_SOC_1418,initiative and proactive behaviour,Leadership Development,Student Mentor,Medium,P3,0,Fear of mistakes,Leadership mentoring
CONCERN_LEA_1419,adaptability to changing expectations,Adaptability Coaching,Student Mentor,Medium,P2,0,Fixed behavioral habits,Adaptability training
CONCERN_ADA_1420,balance academics and personal life,Student Wellness,Student Mentor,High,P2,0,Overcommitment,Lifestyle mentoring
CONCERN_STU_1421,problem-solving and practical thinking,Capability Development,Student Mentor,Medium,P2,0,Low experiential learning,Scenario-based mentoring
CONCERN_CAP_1422,Fear of taking responsibility,Maturity Development,Student Mentor,Medium,P3,0,Fear of accountability,Responsibility training
CONCERN_MAT_1423,long-term personal vision,Future Orientation,Student Mentor,Medium,P2,0,Lack of guidance,Vision planning
CONCERN_FUT_1424,criticism and feedback,Growth Mindset,Student Mentor,Medium,P2,0,Ego fragility,Growth mindset mentoring
CONCERN_GRO_1425,persistence in difficult situations,Perseverance Coaching,Student Mentor,High,P1,0,Low frustration tolerance,Grit coaching
CONCERN_PER_1426,ethical judgment and integrity awareness,Character Development,Student Mentor,High,P2,0,Weak value systems,Values mentoring
CONCERN_CHA_1427,recover from social rejection,Emotional Resilience,Student Mentor,Medium,P3,0,Low emotional coping,Social resilience mentoring
CONCERN_EMO_1428,curiosity and self-driven learning,Intellectual Growth,Student Mentor,Medium,P3,0,Extrinsic motivation dominance,Inquiry mentoring
CONCERN_LEA_1430,stress management under pressure,Performance Resilience,Student Mentor,High,P1,0,Weak coping systems,Stress conditioning
CONCERN_PER_1431,self-awareness about strengths and weaknesses,Personal Insight,Student Mentor,Medium,P2,0,Limited introspection,Reflective mentoring
CONCERN_PER_1432,Excessive comparison with peers,Emotional Wellbeing,Student Mentor,High,P1,0,External validation culture,Self-worth coaching
CONCERN_EMO_1433,digital behaviour and online discipline,Digital Responsibility,Student Mentor,High,P2,0,Lack of digital boundaries,Digital discipline mentoring
CONCERN_DIG_1434,transitioning into adulthood responsibilities,Life Readiness,Student Mentor,Medium,P2,0,Limited life exposure,Life-skills mentoring
CONCERN_LIF_1435,decision-making under uncertainty,Decision Coaching,Student Mentor,Medium,P2,0,Overthinking tendencies,Decision frameworks
CONCERN_DEC_1436,ownership for personal growth,Growth Accountability,Student Mentor,High,P1,0,Learned helplessness,Ownership mentoring
CONCERN_GRO_1437,classroom attention span,Learning Behavior,Behavioral Mentor,High,P1,0,Screen dependency,Attention conditioning
CONCERN_LEA_1438,study discipline,Academic Behavior,Behavioral Mentor,High,P1,0,Weak habit systems,Routine building
CONCERN_ACA_1439,Excessive procrastination before exams,Performance Behavior,Behavioral Mentor,High,P1,0,Fear-driven avoidance,Accountability coaching
CONCERN_PER_1440,Emotional outbursts during academic stress,Student Regulation,Behavioral Mentor,High,P2,0,Stress intolerance,Emotional regulation training
CONCERN_STU_1441,Dependency on constant external motivation,Motivation Development,Behavioral Mentor,Medium,P2,0,External validation dependence,Self-motivation coaching
CONCERN_MOT_1442,Fear of asking doubts in class,Classroom Adaptation,Behavioral Mentor,Medium,P2,0,Fear of judgment,Safe participation support
CONCERN_CLA_1443,adaptation to changing academic expectations,Adaptability Guidance,Behavioral Mentor,Medium,P2,0,Change discomfort,Adaptability mentoring
CONCERN_ADA_1444,persistence in difficult subjects,Learning Persistence,Behavioral Mentor,High,P1,0,Low frustration tolerance,Incremental challenge coaching
CONCERN_LEA_1445,Frequent comparison with peers,Student Psychology,Behavioral Mentor,Medium,P2,0,External validation dependency,Self-worth strengthening
CONCERN_STU_1446,recover from poor academic performance,Recovery Behavior,Behavioral Mentor,High,P1,0,Failure intolerance,Recovery mentoring
CONCERN_REC_1447,ownership toward learning,Responsibility Development,Behavioral Mentor,Medium,P2,0,External blame conditioning,Responsibility coaching
CONCERN_RES_1448,Digital addiction affecting learning habits,Behavioral Regulation,Behavioral Mentor,High,P1,0,Dopamine dependency,Digital habit correction
CONCERN_BEH_1449,emotional control during feedback,Feedback Adaptation,Behavioral Mentor,Medium,P3,0,Ego fragility,Constructive feedback coaching
CONCERN_FEE_1450,collaboration in group activities,Social Learning,Behavioral Mentor,Medium,P3,0,Poor interpersonal skills,Team behavior coaching
CONCERN_SOC_1451,confidence in independent learning,Self-Learning Development,Behavioral Mentor,Medium,P2,0,Weak self-efficacy,Guided self-learning
CONCERN_SEL_1452,Avoidance of challenging tasks,Growth Behavior,Behavioral Mentor,Medium,P2,0,Fear of mistakes,Incremental exposure coaching
CONCERN_GRO_1453,balancing academics and personal routines,Lifestyle Adaptation,Behavioral Mentor,Medium,P3,0,Poor habit regulation,Structured routine intervention
CONCERN_LIF_1454,curiosity-driven engagement,Learning Mindset,Behavioral Mentor,Medium,P3,0,Extrinsic learning conditioning,Inquiry-driven learning
CONCERN_LEA_1455,Fear of public speaking and participation,Communication Behavior,Behavioral Mentor,Medium,P3,0,Fear conditioning,Communication exposure
CONCERN_COM_1456,Inconsistent behavior across environments,Behavioral Stability,Behavioral Mentor,Medium,P3,0,Identity insecurity,Behavioral alignment support
CONCERN_BEH_1457,Excessive dependency on parental supervision,Independence Development,Behavioral Mentor,Medium,P2,0,Learned dependency,Gradual autonomy building
CONCERN_IND_1458,resilience under competitive environments,Competitive Adaptation,Behavioral Mentor,High,P1,0,Chronic stress exposure,Competitive resilience coaching
CONCERN_COM_1459,transitioning between academic stages,Transition Adaptation,Behavioral Mentor,Medium,P2,0,Sudden environmental shifts,Transition mentoring
CONCERN_TRA_1460,patience for long-term goals,Persistence Development,Behavioral Mentor,Medium,P3,0,Instant reward conditioning,Long-term habit coaching
CONCERN_PER_1461,academic uncertainty,Psychological Adaptation,Behavioral Mentor,Medium,P2,0,Fear of unpredictability,Uncertainty conditioning
CONCERN_PSY_1462,Overreaction to minor academic setbacks,Emotional Response,Behavioral Mentor,Medium,P2,0,Perfectionist conditioning,Perspective reframing
CONCERN_EMO_1463,self-reflection and introspection habits,Self-Awareness Development,Behavioral Mentor,Medium,P3,0,Low introspection,Guided reflection
CONCERN_SEL_1464,Resistance to behavioral feedback from teachers,Behavior Correction,Behavioral Mentor,Medium,P3,0,Ego defensiveness,Feedback assimilation coaching
CONCERN_BEH_1465,initiative in academic and extracurricular tasks,Engagement Behavior,Behavioral Mentor,Medium,P2,0,Learned passivity,Initiative activation
CONCERN_LON_1467,self-confidence during public speaking,Leadership Development,Leadership Coach,High,P1,0,Social anxiety,Public speaking coaching
CONCERN_LEA_1468,Fear of taking leadership responsibilities,Student Leadership,Leadership Coach,Medium,P2,0,Fear of accountability,Leadership exposure
CONCERN_STU_1469,make decisions independently,Decision Leadership,Leadership Coach,High,P2,0,Dependency conditioning,Decision coaching
CONCERN_DEC_1470,confidence in peer interactions,Social Leadership,Leadership Coach,Medium,P3,0,Low self-esteem,Social interaction coaching
CONCERN_SOC_1471,Students unable to handle criticism constructively,Emotional Leadership,Leadership Coach,Medium,P2,0,Fragile self-worth,Resilience training
CONCERN_LEA_1473,influencing or motivating peers,Team Leadership,Leadership Coach,Medium,P3,0,Weak communication impact,Team influence mentoring
CONCERN_CON_1475,assertiveness in academic and social settings,Personal Leadership,Leadership Coach,Medium,P2,0,Fear of conflict,Assertiveness coaching
CONCERN_PER_1476,conflict management among student leaders,Leadership Dynamics,Leadership Coach,Medium,P3,0,Low emotional regulation,Mediation training
CONCERN_LEA_1477,emotional resilience under pressure,Leadership Endurance,Leadership Coach,High,P1,0,Weak coping systems,Emotional resilience coaching
CONCERN_ADA_1479,Students lacking ownership and accountability,Leadership Accountability,Leadership Coach,High,P2,0,Learned helplessness,Accountability frameworks
CONCERN_LEA_1480,Excessive dependence on external validation,Self-Leadership,Leadership Coach,High,P1,0,External identity reliance,Identity strengthening
CONCERN_SEL_1481,communication during presentations and interviews,Executive Communication,Leadership Coach,High,P2,0,Communication anxiety,Executive communication coaching
CONCERN_EXE_1482,teams during projects,Team Management,Leadership Coach,Medium,P2,0,Poor coordination practices,Team leadership mentoring
CONCERN_TEA_1483,confidence among first-generation learners,Inclusion & Leadership,Leadership Coach,Medium,P2,0,Exposure limitations,Confidence integration
CONCERN_INC_1484,Students struggling with networking confidence,Professional Leadership,Leadership Coach,Medium,P3,0,Fear of rejection,Networking development
CONCERN_PRO_1485,vision and long-term thinking,Strategic Leadership,Leadership Coach,Medium,P2,0,Narrow success definitions,Vision-building exercises
CONCERN_STR_1486,authority and responsibility together,Leadership Maturity,Leadership Coach,Medium,P3,0,Lack of role clarity,Leadership ethics mentoring
CONCERN_LEA_1487,adaptability in multicultural or diverse teams,Inclusive Leadership,Leadership Coach,Medium,P3,0,Limited exposure,Inclusive collaboration coaching
CONCERN_INC_1488,listening skills affecting leadership growth,Communication Leadership,Leadership Coach,Medium,P3,0,Ego-driven communication,Listening development
CONCERN_CON_1490,adaptability during failures or setbacks,Leadership Recovery,Leadership Coach,High,P2,0,Low frustration tolerance,Failure recovery mentoring
CONCERN_LEA_1491,innovation and initiative mindset,Entrepreneurial Leadership,Leadership Coach,Medium,P3,0,Fear of mistakes,Innovation incubation
CONCERN_LEA_1493,Emotional impulsiveness affecting leadership image,Emotional Maturity,Leadership Coach,Medium,P2,0,Poor impulse regulation,Emotional control coaching
CONCERN_EMO_1494,balancing humility and confidence,Personal Branding,Leadership Coach,Medium,P3,0,Identity imbalance,Personality calibration
CONCERN_PER_1495,ethical leadership orientation,Values-Based Leadership,Leadership Coach,High,P2,0,Outcome obsession,Ethical mentoring
CONCERN_VAL_1496,Students lacking self-leadership discipline,Leadership Foundations,Leadership Coach,High,P1,0,Weak self-regulation,Discipline coaching
CONCERN_LEA_1497,awareness about personal strengths,Self Discovery,Self Discovery,High,P1,0,External validation dependency,Guided self-reflection
CONCERN_SEL_1498,identify personal interests,Self Exploration,Self Discovery,Medium,P2,0,Restricted exploration,Curiosity-based discovery
CONCERN_SEL_1499,Confusion between passion and temporary excitement,Identity Formation,Self Discovery,Medium,P2,0,External trend influence,Reflective coaching
CONCERN_IDE_1500,self-confidence despite capability,Personal Development,Self Discovery,High,P1,0,Negative reinforcement history,Confidence rebuilding
CONCERN_PER_1501,Overdependence on external validation,Emotional Development,Self Discovery,High,P2,0,Conditional appreciation patterns,Self-worth development
CONCERN_EMO_1502,understanding personality traits,Personality Exploration,Self Discovery,Medium,P3,0,Lack of guided exploration,Behavioral profiling
CONCERN_PER_1503,Fear of expressing authentic identity,Identity Confidence,Self Discovery,High,P2,0,Fear of criticism,Safe-expression coaching
CONCERN_IDE_1504,clarity about long-term goals,Aspirational Development,Self Discovery,High,P1,0,Weak future orientation,Goal discovery frameworks
CONCERN_ASP_1505,emotional self-awareness,Emotional Literacy,Self Discovery,Medium,P2,0,Low emotional vocabulary,Emotional literacy training
CONCERN_EMO_1506,identifying natural talents,Talent Discovery,Self Discovery,Medium,P2,0,Narrow success definitions,Multi-domain assessment
CONCERN_TAL_1507,Internal conflict between personal desire and family expectations,Identity Conflict,Self Discovery,High,P1,0,Family pressure,Guided mediation
CONCERN_IDE_1508,curiosity about self-growth,Growth Orientation,Self Discovery,Medium,P3,0,Limited inspiration,Self-development exposure
CONCERN_GRO_1509,understanding personal values,Values Exploration,Self Discovery,Medium,P3,0,Lack of introspection,Values clarification
CONCERN_VAL_1510,Excessive comparison reducing individuality,Self Identity,Self Discovery,High,P2,0,Social comparison conditioning,Identity strengthening
CONCERN_SEL_1511,awareness about behavioral patterns,Behavioral Reflection,Self Discovery,Medium,P3,0,Low self-observation,Reflective diagnostics
CONCERN_BEH_1512,Fear of failure preventing self-exploration,Exploration Inhibition,Self Discovery,High,P2,0,Fear conditioning,Safe experimentation
CONCERN_EXP_1513,decision-making confidence,Personal Decision Making,Self Discovery,Medium,P2,0,Lack of autonomy practice,Decision coaching
CONCERN_PER_1514,understanding social strengths and weaknesses,Social Self-Awareness,Self Discovery,Medium,P3,0,Poor social reflection,Social feedback coaching
CONCERN_SOC_1515,resilience after setbacks,Recovery Orientation,Self Discovery,High,P1,0,Low emotional endurance,Resilience development
CONCERN_REC_1516,Students unable to articulate who they are,Identity Expression,Self Discovery,Medium,P2,0,Weak introspection,Narrative-building exercises
CONCERN_IDE_1517,Confusion between skill and identity,Personal Positioning,Self Discovery,Medium,P3,0,Performance dependency,Holistic self-development
CONCERN_PER_1518,adaptability to changing environments,Adaptive Development,Self Discovery,High,P2,0,Fixed mindset conditioning,Adaptability coaching
CONCERN_ADA_1519,identifying motivational drivers,Motivation Mapping,Self Discovery,Medium,P3,0,Extrinsic dependency,Intrinsic discovery
CONCERN_EMO_1521,personal mission or purpose,Purpose Discovery,Self Discovery,High,P2,0,Surface-level goal pursuit,Purpose exploration
CONCERN_PUR_1522,self-discipline and accountability,Personal Effectiveness,Self Discovery,Medium,P2,0,Poor routine systems,Accountability coaching
CONCERN_HOL_1524,recognizing limiting beliefs,Cognitive Self-Awareness,Self Discovery,Medium,P2,0,Conditioning and failures,Cognitive reframing
CONCERN_COG_1525,ownership over personal growth,Self Leadership,Self Discovery,High,P2,0,Over-guidance,Self-leadership development
CONCERN_IDE_1527,awareness about personal strengths,Self Exploration,Self Exploration User,High,P1,0,Limited self-reflection,Guided self-discovery
CONCERN_SEL_1528,identify personal growth areas,Growth Mapping,Self Exploration User,Medium,P2,0,Lack of feedback loops,Structured reflection
CONCERN_GRO_1529,Confusion about long-term personal trajectory,Personal Development,Self Exploration User,High,P2,0,Weak vision clarity,Life mapping
CONCERN_PER_1530,Dependence on external validation for confidence,Emotional Development,Self Exploration User,High,P1,0,External approval conditioning,Confidence building
CONCERN_EMO_1531,understanding natural learning style,Cognitive Mapping,Self Exploration User,Medium,P2,0,Rigid teaching exposure,Personalized learning guidance
CONCERN_COG_1532,self-confidence despite capability,Personal Effectiveness,Self Exploration User,High,P2,0,Fear of judgment,Confidence reinforcement
CONCERN_PER_1533,recognize behavioral patterns,Behavioral Awareness,Self Exploration User,Medium,P3,0,Low self-observation,Behavioral coaching
CONCERN_BEH_1534,clarity about intrinsic motivations,Motivation Mapping,Self Exploration User,Medium,P2,0,Social conditioning,Purpose discovery
CONCERN_MOT_1535,Fear of acknowledging weaknesses,Emotional Maturity,Self Exploration User,Medium,P2,0,Ego defensiveness,Safe feedback environments
CONCERN_EMO_1536,understanding of emotional triggers,Emotional Self-Awareness,Self Exploration User,High,P2,0,Unprocessed stress,Emotional literacy training
CONCERN_EMO_1537,awareness about hidden potential,Potential Discovery,Self Exploration User,Medium,P3,0,Limited exploration opportunities,Strength exploration
CONCERN_POT_1538,personal progress objectively,Growth Measurement,Self Exploration User,Medium,P3,0,Lack of benchmarks,Progress analytics
CONCERN_SEL_1540,Underestimating capabilities due to comparison,Self-Worth Development,Self Exploration User,High,P2,0,Chronic comparison,Positive reinforcement
CONCERN_SEL_1541,clarity about personal values,Identity Formation,Self Exploration User,Medium,P2,0,Weak introspection,Values clarification
CONCERN_IDE_1542,identifying personal blind spots,Reflective Development,Self Exploration User,Medium,P3,0,Absence of reflection systems,Guided introspection
CONCERN_REF_1543,adaptability during life transitions,Adaptive Growth,Self Exploration User,High,P2,0,Rigid self-identity,Adaptive coaching
CONCERN_ADA_1544,articulating strengths confidently,Self-Expression,Self Exploration User,Medium,P3,0,Lack of self-awareness vocabulary,Reflective articulation exercises
CONCERN_SEL_1545,ownership for personal growth,Accountability Development,Self Exploration User,Medium,P2,0,Externalization habits,Responsibility coaching
CONCERN_ACC_1546,Fear of stepping outside comfort zone,Personal Expansion,Self Exploration User,Medium,P2,0,Fear conditioning,Gradual exposure growth
CONCERN_PER_1547,Inconsistent self-discipline affecting growth,Self-Management,Self Exploration User,High,P2,0,Weak structure systems,Behavioral structuring
CONCERN_SEL_1548,balancing ambition and wellbeing,Personal Sustainability,Self Exploration User,High,P2,0,Overachievement pressure,Sustainable growth planning
CONCERN_PER_1549,resilience after setbacks,Recovery Capability,Self Exploration User,High,P1,0,Failure intolerance,Recovery mentoring
CONCERN_REC_1550,curiosity about self-development,Self-Growth Engagement,Self Exploration User,Medium,P3,0,Limited exposure to reflective culture,Growth engagement programs
CONCERN_SEL_1551,Identity confusion during adolescence,Personal Identity Formation,Self Exploration User,High,P1,0,External influence overload,Guided identity exploration
CONCERN_PER_1552,aligning actions with goals,Goal Alignment,Self Exploration User,Medium,P2,0,Weak accountability,Goal alignment coaching
CONCERN_GOA_1553,Overthinking personal decisions constantly,Cognitive-Emotional Balance,Self Exploration User,Medium,P2,0,Fear-based thinking,Structured decision frameworks
CONCERN_COG_1554,emotional resilience in social situations,Social Self-Development,Self Exploration User,Medium,P3,0,Low emotional tolerance,Emotional strengthening
CONCERN_SOC_1555,clarity about future personal identity,Future Self Mapping,Self Exploration User,Medium,P2,0,Weak self-imagination,Future-self visualization
CONCERN_LON_1557,Uncertainty about long-term career direction,Career Reflection,Self Exploration User,High,P1,0,Limited self-awareness,Guided self-reflection
CONCERN_CAR_1558,Choosing careers based only on salary expectations,Career Decision Analysis,Self Exploration User,Medium,P2,0,External reward dependency,Values clarification
CONCERN_CAR_1559,identifying personal strengths,Strength Discovery,Self Exploration User,High,P1,0,Lack of introspection,Strength mapping
CONCERN_STR_1560,Career interests changing frequently,Career Stability Analysis,Self Exploration User,Medium,P2,0,Identity exploration confusion,Career anchoring
CONCERN_CAR_1561,Fear of making irreversible career decisions,Decision Confidence,Self Exploration User,High,P1,0,Fear conditioning,Decision frameworks
CONCERN_DEC_1562,alignment between interests and chosen stream,Career Alignment,Self Exploration User,High,P1,0,External influence,Alignment counselling
CONCERN_CAR_1563,Confusion between passion and hobby,Self-Discovery,Self Exploration User,Medium,P3,0,Limited exposure,Reality-based exploration
CONCERN_CAR_1565,Feeling pressured to pursue conventional careers,Career Autonomy,Self Exploration User,High,P1,0,Social conditioning,Identity empowerment
CONCERN_CAR_1566,awareness about emerging career possibilities,Career Exploration,Self Exploration User,Medium,P2,0,Information limitations,Guided exploration
CONCERN_CAR_1567,connecting personality with career fit,Personality Alignment,Self Exploration User,Medium,P2,0,Poor self-understanding,Personality profiling
CONCERN_PER_1568,Fear of failure influencing career choices,Career Risk Analysis,Self Exploration User,High,P1,0,Low confidence,Courage-building interventions
CONCERN_CAR_1569,confidence in pursuing creative careers,Alternative Career Reflection,Self Exploration User,Medium,P2,0,Social validation dependency,Confidence mentoring
CONCERN_ALT_1570,define personal career values,Career Prioritization,Self Exploration User,Medium,P3,0,Limited reflection practices,Value clarification exercises
CONCERN_CAR_1571,Confusion after poor academic performance,Academic-Career Identity,Self Exploration User,High,P1,0,Performance-linked identity,Confidence rebuilding
CONCERN_ACA_1572,visualizing future self and goals,Future Orientation,Self Exploration User,Medium,P2,0,Limited future exposure,Vision-building exercises
CONCERN_FUT_1573,Overdependence on parental approval for decisions,Decision Independence,Self Exploration User,High,P1,0,Fear of disappointing family,Decision independence coaching
CONCERN_DEC_1574,Career confusion due to social media influence,Aspirational Clarity,Self Exploration User,Medium,P2,0,Misleading digital narratives,Reality grounding
CONCERN_ASP_1575,balancing passion and financial security,Career Tradeoff Reflection,Self Exploration User,Medium,P2,0,Financial anxiety,Structured tradeoff analysis
CONCERN_CAR_1576,confidence after repeated failures,Career Recovery Reflection,Self Exploration User,High,P2,0,Fear of repeated setbacks,Recovery coaching
CONCERN_CAR_1577,Feeling lost despite academic success,Identity Reflection,Self Exploration User,Medium,P3,0,External success dependency,Purpose exploration
CONCERN_IDE_1578,evaluating personal career readiness,Career Preparedness Reflection,Self Exploration User,Medium,P2,0,Limited benchmarking,Readiness diagnostics
CONCERN_CAR_1579,self-discipline impacting career goals,Career Execution Reflection,Self Exploration User,Medium,P2,0,Weak routines,Habit-building interventions
CONCERN_CAR_1580,Feeling disconnected from chosen academic path,Academic-Career Misfit,Self Exploration User,Medium,P2,0,Poor decision fit,Realignment counselling
CONCERN_MUL_1582,Fear of lagging behind peers in career progress,Career Timeline Anxiety,Self Exploration User,Medium,P2,0,Comparison dependency,Individual pacing support
CONCERN_WOR_1584,aligning career with personal purpose,Purpose Alignment,Self Exploration User,Medium,P2,0,Lack of guided reflection,Purpose coaching
CONCERN_PUR_1585,Uncertainty about balancing work-life priorities,Lifestyle-Career Reflection,Self Exploration User,Medium,P3,0,Work-life uncertainty,Sustainable planning
