Concern ID,Domain,Concern Cluster,Relevance in India,Parent Anxiety Level,Growth Trend,Severity,CAPADEX Priority,Common Indian Context,Primary Persona,Contextual Modifier,Concern Category,Intelligence Layer,Signal Cluster,Assessment Dimension,Root Cause Group,Intervention Lens,Capability Mapping,Relational_Bridge_Tag,age_min,age_max
CONCERN_EMO_507,"Confidence, Self-Concept & Comparison",Difficulty Building Confidence for Senior Role Applications,Medium,Medium,Rising,Medium,P2,Fear of applying beyond current level,Job Seeker,Career Growth,Senior Role Confidence Deficit,Emotional Intelligence,Self-Limiting Signals,Leadership Readiness,Fear of Rejection,Confidence Coaching,Career Advancement,CONFIDENCE_SELF,30,50
CONCERN_CON_508,Lifestyle & Pressure Environment,Weak Ability to Balance Job Search with Current Employment,High,Medium,Rising,Medium,P2,Burnout from dual responsibilities,Job Seeker,Productivity Balance,Employed Job Search Fatigue,Systems Intelligence,Exhaustion & Overload Signals,Sustainable Productivity,Time & Energy Mismanagement,Balance Coaching,Career Transition Management,LIFESTYLE_PRESSURE,24,45
CONCERN_LIF_509,"Confidence, Self-Concept & Comparison",Difficulty Managing Imposter Syndrome During Interviews,High,High,Rising,High,P1,Feeling unworthy despite qualifications,Job Seeker,Emotional Stability,Interview Imposter Syndrome,Emotional Intelligence,Self-Doubt & Anxiety Signals,Confidence Stability,Low Internal Validation,Emotional Coaching,Professional Self-Belief,CONFIDENCE_SELF,22,45
CONCERN_CON_510,Financial Readiness,Weak Understanding of Industry Salary Benchmarks,Medium,Medium,Rising,Medium,P2,Unrealistic compensation expectations,Job Seeker,Financial Awareness,Salary Benchmark Awareness Deficit,Strategic Intelligence,Misaligned Expectation Signals,Financial Preparedness,Lack of Market Research,Salary Coaching,Compensation Awareness,FINANCIAL_READINESS,24,45
CONCERN_FIN_511,Emotional Recovery,Difficulty Rebuilding Career Momentum After Burnout,High,High,Rising,High,P1,Burnout leading to disengagement,Job Seeker,Recovery Stability,Burnout Recovery Difficulty,Wellness Intelligence,Emotional Exhaustion Signals,Recovery Stability,Chronic Workplace Stress,Wellness Coaching,Sustainable Career Recovery,EMOTIONAL_RECOVERY,25,50
CONCERN_EMO_512,Leadership Readiness,Weak Ability to Showcase Leadership Potential,Medium,Medium,Rising,Medium,P2,Technical expertise without leadership positioning,Job Seeker,Leadership Branding,Leadership Visibility Weakness,Strategic Intelligence,Low Influence Signals,Leadership Readiness,Lack of Leadership Framing,Leadership Coaching,Managerial Positioning,LEADERSHIP_READINESS,28,50
CONCERN_LEA_513,Emotional Regulation,Difficulty Handling Silence After Interviews,Medium,Medium,Rising,Medium,P2,Anxiety waiting for recruiter response,Job Seeker,Emotional Stability,Post-Interview Waiting Anxiety,Emotional Intelligence,Overthinking & Stress Signals,Emotional Stability,Uncertainty Intolerance,Emotional Coaching,Patience & Stability,EMOTIONAL_REGULATION,22,45
CONCERN_EMO_514,Social & Emotional Intelligence,Weak Ability to Build Recruiter Relationships,Medium,Medium,Rising,Medium,P2,Transactional networking patterns,Job Seeker,Relationship Building,Recruiter Relationship Weakness,Social Intelligence,Low Engagement Signals,Networking Readiness,Limited Networking Skills,Networking Coaching,Professional Relationship Management,SOCIAL_EMOTIONAL,22,45
CONCERN_SOC_515,"Confidence, Self-Concept & Comparison",Difficulty Managing Self-Worth During Unemployment,Very High,Critical,Rising,Critical,P1,Identity tied to employment status,Job Seeker,Emotional Identity,Employment-Based Self-Worth Instability,Emotional Intelligence,Shame & Withdrawal Signals,Identity Stability,Social Validation Dependency,Emotional Coaching,Internal Self-Worth,CONFIDENCE_SELF,24,50
CONCERN_CON_516,Career Readiness,Weak Awareness of Emerging Career Opportunities,Medium,Medium,Rising,Medium,P2,Missing new-age career domains,Job Seeker,Opportunity Awareness,Emerging Career Awareness Deficit,Exploratory Intelligence,Narrow Opportunity Signals,Career Adaptability,Limited Industry Exposure,Exploration Coaching,Opportunity Mapping,CAREER_READINESS,22,45
CONCERN_CAR_517,Career Planning,Difficulty Building a Strategic Long-Term Career Narrative,Medium,Medium,Rising,Medium,P2,Career history appearing disconnected,Job Seeker,Professional Positioning,Career Narrative Instability,Strategic Intelligence,Fragmented Identity Signals,Long-Term Positioning,Reactive Career Decisions,Career Coaching,Strategic Storytelling,CAREER_PLANNING,25,50
CONCERN_CAR_518,Emotional Recovery,Weak Confidence in Reapplying After Previous Rejections,High,High,Rising,High,P1,Avoiding companies after rejection,Job Seeker,Emotional Persistence,Reapplication Anxiety,Emotional Intelligence,Avoidance & Fear Signals,Persistence Stability,Fear of Repeated Failure,Recovery Coaching,Resilient Application Behavior,EMOTIONAL_RECOVERY,22,45
CONCERN_EMO_519,"Confidence, Self-Concept & Comparison",Difficulty Managing Emotional Fatigue from Constant Comparison,High,High,Rising,High,P1,LinkedIn success comparison culture,Job Seeker,Emotional Stability,Professional Comparison Burnout,Emotional Intelligence,Inferiority & Hopelessness Signals,Confidence Stability,Social Comparison Dependency,Emotional Coaching,Independent Confidence,CONFIDENCE_SELF,24,45
CONCERN_CON_520,Holistic Development,Weak Holistic Readiness for Sustainable Career Transition,Very High,Critical,Rising,Critical,P1,"Skills, confidence, identity, and adaptability gaps",Job Seeker,Whole-Person Transition,Career Transition Readiness Instability,Systems Intelligence,Fragmented Adaptation Signals,Holistic Employability,Unintegrated Growth Systems,Holistic Coaching,Sustainable Career Capability,HOLISTIC_DEVELOPMENT,22,50
CONCERN_HOL_521,"Confidence, Self-Concept & Comparison",Difficulty Managing Confidence During Career Stagnation,High,High,Rising,High,P1,Feeling “stuck” despite experience,Job Seeker,Career Growth,Career Stagnation Anxiety,Emotional Intelligence,Frustration & Inferiority Signals,Confidence Stability,Lack of Visible Progress,Confidence Coaching,Career Growth Mindset,CONFIDENCE_SELF,28,50
CONCERN_CON_522,Career Transition,Weak Ability to Reposition Experience for New Job Markets,High,Medium,Rising,Medium,P2,Traditional experience losing relevance,Job Seeker,Professional Rebranding,Experience Repositioning Weakness,Strategic Intelligence,Market Misalignment Signals,Employability Positioning,Changing Industry Expectations,Rebranding Coaching,Adaptive Positioning,CAREER_TRANSITION,28,50
CONCERN_CAR_523,Emotional Regulation,Difficulty Managing Emotional Uncertainty During Career Pivots,High,High,Rising,High,P1,Fear while shifting domains/functions,Job Seeker,Career Adaptation,Career Pivot Emotional Instability,Emotional Intelligence,Anxiety & Overthinking Signals,Emotional Stability,Uncertain Future Outcomes,Emotional Coaching,Career Flexibility,EMOTIONAL_REGULATION,25,50
CONCERN_EMO_524,Career Readiness,Weak Confidence in Applying for International Opportunities,Medium,Medium,Rising,Medium,P2,Hesitation toward global applications,Job Seeker,Global Employability,International Career Anxiety,Emotional Intelligence,Self-Doubt Signals,Global Readiness,Limited Global Exposure,Career Coaching,International Positioning,CAREER_READINESS,24,45
CONCERN_CAR_525,Employability,Difficulty Handling Skill Obsolescence Fear,High,High,Rising,High,P1,Fear of outdated experience,Job Seeker,Skill Relevance,Skill Obsolescence Anxiety,Emotional Intelligence,Hopelessness & Stress Signals,Future Employability,Rapid Technological Change,Skill Coaching,Future Readiness,EMPLOYABILITY,28,50
CONCERN_EMP_526,Communication & Expression,Weak Ability to Showcase Adaptability During Interviews,Medium,Medium,Rising,Medium,P2,Experience appearing rigid,Job Seeker,Interview Positioning,Adaptability Communication Weakness,Adaptive Intelligence,Low Flexibility Signals,Transition Readiness,Static Career Narrative,Interview Coaching,Adaptability Positioning,COMMUNICATION_EXPRESSION,24,45
CONCERN_COM_527,Emotional Regulation,Difficulty Managing Emotional Pressure from Financial Responsibilities,Very High,Critical,Rising,Critical,P1,Family dependency during transitions,Job Seeker,Financial Stability,Financial Responsibility Anxiety,Emotional Intelligence,Chronic Stress & Panic Signals,Emotional Stability,Economic Pressure,Emotional Coaching,Financial Resilience,EMOTIONAL_REGULATION,28,50
CONCERN_EMO_528,Emotional Recovery,Weak Confidence in Career Rebuilding After Business Failure,High,High,Rising,High,P1,Startup/business shutdown recovery,Job Seeker,Career Recovery,Business Failure Recovery Anxiety,Emotional Intelligence,Shame & Withdrawal Signals,Recovery Stability,Identity Loss,Recovery Coaching,Reinvention Resilience,EMOTIONAL_RECOVERY,28,55
CONCERN_EMO_529,Lifestyle & Pressure Environment,Difficulty Balancing Upskilling with Family Commitments,High,High,Rising,High,P1,Work-family-learning overload,Job Seeker,Work-Life Balance,Upskilling-Family Balance Stress,Systems Intelligence,Burnout & Fatigue Signals,Holistic Stability,Time & Energy Constraints,Balance Coaching,Sustainable Growth,LIFESTYLE_PRESSURE,28,50
CONCERN_LIF_530,Career Readiness,Weak Ability to Build a Distinctive Personal Brand,Medium,Medium,Rising,Medium,P2,Generic professional identity online,Job Seeker,Professional Branding,Personal Branding Weakness,Strategic Intelligence,Low Visibility Signals,Career Positioning,Weak Self-Marketing,Branding Coaching,Professional Visibility,CAREER_READINESS,24,45
CONCERN_CAR_531,Emotional Recovery,Difficulty Recovering from Career Confidence Collapse,High,Critical,Rising,Critical,P1,Long unemployment affecting self-belief,Job Seeker,Emotional Stability,Career Confidence Breakdown,Emotional Intelligence,Hopelessness & Withdrawal Signals,Confidence Stability,Repeated Rejection Trauma,Recovery Coaching,Psychological Recovery,EMOTIONAL_RECOVERY,25,50
CONCERN_EMO_532,Career Readiness,Weak Awareness of Role-Industry Fitment,Medium,Medium,Rising,Medium,P2,Applying to mismatched opportunities,Job Seeker,Career Alignment,Role-Industry Misalignment,Strategic Intelligence,Direction Drift Signals,Application Accuracy,Weak Market Understanding,Alignment Coaching,Strategic Job Targeting,CAREER_READINESS,24,45
CONCERN_CAR_533,Emotional Regulation,Difficulty Managing Anxiety During Notice Period Transitions,Medium,Medium,Rising,Medium,P2,Fear of uncertain next opportunity,Job Seeker,Career Transition,Notice Period Anxiety,Emotional Intelligence,Stress & Overthinking Signals,Emotional Stability,Transition Uncertainty,Emotional Coaching,Transition Management,EMOTIONAL_REGULATION,24,45
CONCERN_EMO_534,Career Transition,Weak Ability to Position Career Breaks Positively,High,Medium,Rising,Medium,P2,Parenting/health breaks misunderstood,Job Seeker,Professional Positioning,Career Break Narrative Weakness,Strategic Intelligence,Credibility Gap Signals,Employability Positioning,Weak Story Framing,Narrative Coaching,Career Continuity,CAREER_TRANSITION,26,50
CONCERN_CAR_535,"Confidence, Self-Concept & Comparison",Difficulty Building Trust in Personal Competence After Failures,High,High,Rising,High,P1,Self-doubt after setbacks,Job Seeker,Emotional Stability,Competence Trust Deficit,Emotional Intelligence,Inferiority & Fear Signals,Confidence Stability,Failure-Based Identity Erosion,Confidence Coaching,Professional Self-Belief,CONFIDENCE_SELF,24,50
CONCERN_CON_536,Career Readiness,Weak Ability to Evaluate Company Culture Fit,Medium,Medium,Rising,Medium,P2,Joining misaligned workplaces,Job Seeker,Workplace Awareness,Company Fit Evaluation Weakness,Social Intelligence,Workplace Misalignment Signals,Career Stability,Lack of Workplace Research,Workplace Coaching,Organizational Fitment,CAREER_READINESS,24,45
CONCERN_CAR_537,Lifestyle & Pressure Environment,Difficulty Sustaining Energy Through Long Hiring Cycles,High,High,Rising,High,P1,Multi-round interview fatigue,Job Seeker,Wellness Recovery,Hiring Cycle Burnout,Wellness Intelligence,Mental Exhaustion Signals,Recovery Stability,Continuous Evaluation Pressure,Wellness Coaching,Sustainable Persistence,LIFESTYLE_PRESSURE,22,50
CONCERN_LIF_538,Career Transition,Weak Confidence in Returning After Maternity or Caregiving Breaks,High,High,Rising,High,P1,Fear of skill irrelevance after breaks,Job Seeker,Workforce Reentry,Caregiving Break Reintegration Anxiety,Emotional Intelligence,Self-Doubt & Anxiety Signals,Employability Confidence,Career Continuity Gaps,Reentry Coaching,Workforce Reintegration,CAREER_TRANSITION,28,45
CONCERN_CAR_539,Academic Identity & Meaning,Difficulty Managing Professional Identity During Freelance/Gig Transitions,Medium,Medium,Rising,Medium,P2,Shift from full-time to gig work,Job Seeker,Identity Adaptation,Freelance Identity Instability,Identity Intelligence,Direction & Belonging Signals,Identity Stability,Nontraditional Career Structures,Identity Coaching,Flexible Career Identity,ACADEMIC_IDENTITY,24,45
CONCERN_ACA_540,Communication & Expression,Weak Ability to Communicate Strategic Career Intentions,Medium,Medium,Rising,Medium,P2,Career goals appearing unclear,Job Seeker,Career Communication,Career Intent Clarity Weakness,Linguistic Intelligence,Direction Ambiguity Signals,Interview Positioning,Lack of Strategic Clarity,Communication Coaching,Executive Clarity,COMMUNICATION_EXPRESSION,24,45
CONCERN_COM_541,Emotional Regulation,Difficulty Handling Employment Instability Emotionally,High,Critical,Rising,Critical,P1,Contract jobs and layoffs instability,Job Seeker,Emotional Security,Employment Instability Anxiety,Emotional Intelligence,Chronic Fear Signals,Emotional Stability,Economic Volatility,Emotional Coaching,Stability Resilience,EMOTIONAL_REGULATION,24,50
CONCERN_EMO_542,Career Readiness,Weak Awareness of Hidden Job Market Opportunities,Medium,Medium,Rising,Medium,P2,Overdependence on job portals,Job Seeker,Opportunity Discovery,Hidden Market Awareness Deficit,Exploratory Intelligence,Limited Opportunity Signals,Career Expansion,Weak Networking Reach,Networking Coaching,Opportunity Discovery,CAREER_READINESS,24,45
CONCERN_CAR_543,"Confidence, Self-Concept & Comparison",Difficulty Managing Fear of Starting at Lower Levels Again,High,High,Rising,High,P1,Role downgrade during transitions,Job Seeker,Career Reinvention,Seniority Reset Anxiety,Emotional Intelligence,Ego Threat & Fear Signals,Confidence Stability,Identity Linked to Designation,Emotional Coaching,Adaptive Reinvention,CONFIDENCE_SELF,30,50
CONCERN_CON_544,"Discipline, Habits & Consistency",Weak Ability to Build Interview Readiness Consistently,Medium,Medium,Rising,Medium,P2,Sporadic preparation patterns,Job Seeker,Interview Preparation,Interview Discipline Weakness,Habit Intelligence,Inconsistent Practice Signals,Readiness Stability,Weak Accountability Systems,Discipline Coaching,Consistent Preparation,DISCIPLINE_HABITS,22,45
CONCERN_DIS_545,Social & Emotional Intelligence,Difficulty Managing Emotional Fatigue from Networking Efforts,Medium,Medium,Rising,Medium,P2,Exhaustion from continuous outreach,Job Seeker,Relationship Building,Networking Fatigue,Emotional Intelligence,Social Withdrawal Signals,Networking Stability,Repeated Non-Responses,Wellness Coaching,Sustainable Networking,SOCIAL_EMOTIONAL,24,45
CONCERN_SOC_546,Communication & Expression,Weak Ability to Align Skills with Business Impact Narratives,Medium,Medium,Rising,Medium,P2,Technical skills without business framing,Job Seeker,Strategic Communication,Business Impact Communication Weakness,Applied Intelligence,Weak Value Signals,Executive Readiness,Narrow Technical Framing,Communication Coaching,Business Alignment,COMMUNICATION_EXPRESSION,24,50
CONCERN_COM_547,"Motivation, Values & Responsibility",Difficulty Maintaining Long-Term Career Optimism,High,High,Rising,High,P1,Prolonged uncertainty affecting hope,Job Seeker,Emotional Persistence,Career Optimism Decline,Motivational Intelligence,Hopelessness Signals,Persistence Stability,Repeated Setbacks,Motivation Coaching,Long-Term Resilience,MOTIVATION_VALUES,24,50
CONCERN_MOT_548,"Confidence, Self-Concept & Comparison",Weak Confidence in Applying for Stretch Roles,Medium,Medium,Rising,Medium,P2,Avoiding ambitious opportunities,Job Seeker,Growth Confidence,Stretch Role Anxiety,Emotional Intelligence,Self-Limiting Signals,Leadership Readiness,Fear of Rejection,Confidence Coaching,Career Expansion,CONFIDENCE_SELF,25,45
CONCERN_CON_549,Emotional Regulation,Difficulty Managing Stress During Background Verification Processes,Medium,Medium,Rising,Medium,P2,Anxiety around documentation/history,Job Seeker,Hiring Process,Background Verification Anxiety,Emotional Intelligence,Panic & Overthinking Signals,Process Stability,Fear of Disqualification,Process Coaching,Hiring Preparedness,EMOTIONAL_REGULATION,24,45
CONCERN_EMO_550,Career Transition,Weak Ability to Build Credibility in New Domains Quickly,Medium,Medium,Rising,Medium,P2,Lack of trust in new industry shifts,Job Seeker,Reinvention Positioning,New Domain Credibility Weakness,Strategic Intelligence,Low Authority Signals,Transition Readiness,Limited Domain Proof,Branding Coaching,Domain Adaptability,CAREER_TRANSITION,25,50
CONCERN_CAR_551,Emotional Recovery,Difficulty Recovering from Toxic Workplace Experiences,High,High,Rising,High,P1,Burnout from unhealthy workplaces,Job Seeker,Emotional Healing,Toxic Workplace Trauma,Emotional Intelligence,Fear & Withdrawal Signals,Recovery Stability,Workplace Psychological Damage,Recovery Coaching,Emotional Resilience,EMOTIONAL_RECOVERY,24,50
CONCERN_EMO_552,Leadership Readiness,Weak Awareness of Executive Presence Expectations,Medium,Medium,Rising,Medium,P2,Technical competence without leadership image,Job Seeker,Leadership Branding,Executive Presence Awareness Deficit,Social Intelligence,Low Influence Signals,Leadership Readiness,Limited Leadership Exposure,Executive Coaching,Leadership Presence,LEADERSHIP_READINESS,30,50
CONCERN_LEA_553,Career Planning,Difficulty Balancing Pragmatic Choices with Career Aspirations,High,High,Rising,High,P1,Taking survival jobs vs dream roles,Job Seeker,Career Decision-Making,Aspiration-Pragmatism Conflict,Strategic Intelligence,Internal Conflict Signals,Decision Stability,Financial Pressure vs Ambition,Decision Coaching,Balanced Career Planning,CAREER_PLANNING,24,50
CONCERN_CAR_554,"Discipline, Habits & Consistency",Weak Ability to Maintain Self-Discipline During Unemployment,High,Medium,Rising,Medium,P2,Productivity collapse without routine,Job Seeker,Self Regulation,Unemployment Discipline Weakness,Habit Intelligence,Delay & Avoidance Signals,Productivity Stability,Loss of Structured Environment,Discipline Coaching,Self-Managed Execution,DISCIPLINE_HABITS,22,50
CONCERN_DIS_555,Emotional Recovery,Difficulty Building Confidence After Public Professional Failure,High,High,Rising,High,P1,Failed startup/project visibility,Job Seeker,Recovery Intelligence,Public Career Failure Anxiety,Emotional Intelligence,Shame & Isolation Signals,Recovery Stability,Social Judgment Fear,Recovery Coaching,Professional Recovery,EMOTIONAL_RECOVERY,24,50
CONCERN_EMO_556,Competency Development,Weak Ability to Sustain Career Learning Momentum,Medium,Medium,Rising,Medium,P2,Upskilling inconsistency during stress,Job Seeker,Continuous Learning,Career Learning Momentum Weakness,Motivational Intelligence,Engagement Drop Signals,Growth Continuity,Emotional Fatigue,Learning Coaching,Lifelong Employability,COMPETENCY_DEVELOPMENT,24,50
CONCERN_COM_557,Emotional Regulation,Difficulty Managing Anxiety About Future Career Relevance,High,High,Rising,High,P1,Fear of becoming professionally irrelevant,Job Seeker,Future Readiness,Career Relevance Anxiety,Emotional Intelligence,Fear & Uncertainty Signals,Emotional Stability,Rapid Industry Evolution,Emotional Coaching,Future Adaptability,EMOTIONAL_REGULATION,28,50
CONCERN_EMO_558,Social & Emotional Intelligence,Weak Ability to Rebuild Professional Networks After Career Disruptions,Medium,Medium,Rising,Medium,P2,Isolation after layoffs or breaks,Job Seeker,Relationship Recovery,Network Rebuilding Weakness,Social Intelligence,Low Outreach Signals,Networking Stability,Career Disruption Isolation,Networking Coaching,Professional Connectivity,SOCIAL_EMOTIONAL,28,50
CONCERN_SOC_559,Emotional Regulation,Difficulty Sustaining Emotional Stability Through Career Reinvention,High,Critical,Rising,Critical,P1,Long reinvention journeys causing fatigue,Job Seeker,Reinvention Recovery,Career Reinvention Emotional Fatigue,Emotional Intelligence,Exhaustion & Hopelessness Signals,Emotional Recovery,Extended Transition Pressure,Emotional Coaching,Reinvention Resilience,EMOTIONAL_REGULATION,28,55
CONCERN_EMO_560,Holistic Development,Weak Holistic Readiness for Sustainable Employability and Transition,Very High,Critical,Rising,Critical,P1,"Skills, adaptability, confidence, and identity gaps",Job Seeker,Whole-Person Employability,Sustainable Employability Instability,Systems Intelligence,Fragmented Career Signals,Holistic Career Readiness,Unintegrated Growth Systems,Holistic Coaching,Sustainable Professional Capability,HOLISTIC_DEVELOPMENT,22,55
CONCERN_HOL_561,Workplace Performance,Difficulty Maintaining Consistent Workplace Performance,Very High,High,Rising,High,P1,Pressure from continuous deliverables,Working Professional,Performance Stability,Workplace Consistency Instability,Execution Intelligence,Productivity Fluctuation Signals,Operational Reliability,Burnout & Cognitive Overload,Performance Coaching,Consistent Execution,WORKPLACE_PERFORMANCE,24,50
CONCERN_WOR_562,Communication & Expression,Weak Confidence During High-Stakes Presentations,High,Medium,Rising,Medium,P2,Client and leadership presentation fear,Working Professional,Executive Communication,Presentation Performance Anxiety,Emotional Intelligence,Nervousness & Hesitation Signals,Communication Stability,Fear of Judgment,Presentation Coaching,Executive Presence,COMMUNICATION_EXPRESSION,24,50
CONCERN_COM_563,Emotional Regulation,Difficulty Managing Workplace Stress Effectively,Very High,Critical,Rising,Critical,P1,High-pressure corporate culture,Working Professional,Emotional Stability,Workplace Stress Instability,Emotional Intelligence,Chronic Stress Signals,Recovery Stability,Continuous Performance Pressure,Emotional Coaching,Stress Resilience,EMOTIONAL_REGULATION,24,55
CONCERN_EMO_564,Strategic Preparation,Weak Ability to Prioritize Competing Responsibilities,High,Medium,Rising,Medium,P2,Multiple deadlines and meetings,Working Professional,Productivity Management,Task Prioritization Weakness,Strategic Intelligence,Overload & Delay Signals,Execution Stability,Weak Planning Systems,Productivity Coaching,Strategic Execution,STRATEGIC_PREPARATION,25,50
CONCERN_STR_565,Career Growth,Difficulty Building Visibility for Contributions,High,Medium,Rising,Medium,P2,Hard work not being recognized,Working Professional,Professional Branding,Contribution Visibility Deficit,Strategic Intelligence,Low Recognition Signals,Career Advancement,Weak Self-Advocacy,Visibility Coaching,Career Positioning,CAREER_GROWTH,25,45
CONCERN_CAR_566,Communication & Expression,Weak Confidence in Leadership Interactions,Medium,Medium,Rising,Medium,P2,Hesitation speaking with senior leaders,Working Professional,Leadership Communication,Leadership Interaction Anxiety,Emotional Intelligence,Low Authority Signals,Executive Communication,Fear of Judgment,Communication Coaching,Leadership Presence,COMMUNICATION_EXPRESSION,24,45
CONCERN_COM_567,Workplace Adaptation,Difficulty Managing Workplace Politics Emotionally,High,High,Rising,High,P1,Emotional reactions to office dynamics,Working Professional,Organizational Adaptation,Workplace Politics Sensitivity,Emotional Intelligence,Frustration & Withdrawal Signals,Emotional Stability,Low Political Awareness,Emotional Coaching,Organizational Maturity,WORKPLACE_ADAPTATION,25,50
CONCERN_WOR_568,Lifestyle & Pressure Environment,Weak Ability to Balance Productivity and Wellbeing,Very High,High,Rising,High,P1,Burnout from overwork culture,Working Professional,Wellness Balance,Productivity-Wellbeing Imbalance,Wellness Intelligence,Fatigue & Burnout Signals,Sustainable Performance,Poor Boundary Management,Wellness Coaching,Sustainable Productivity,LIFESTYLE_PRESSURE,24,55
CONCERN_LIF_569,Adaptive Learning,Difficulty Adapting to Rapid Workplace Changes,High,Medium,Rising,Medium,P2,Organizational restructuring and AI adoption,Working Professional,Workplace Adaptability,Change Adaptation Anxiety,Adaptive Intelligence,Resistance & Stress Signals,Adaptability Stability,Fear of Uncertainty,Adaptability Coaching,Change Readiness,ADAPTIVE_LEARNING,24,50
CONCERN_ADA_570,Thinking Quality Under Pressure,Weak Confidence in Decision-Making Under Pressure,High,High,Rising,High,P1,Fast-paced business decisions,Working Professional,Strategic Judgment,Pressure Decision Anxiety,Emotional Intelligence,Hesitation & Overthinking Signals,Judgment Stability,Fear of Mistakes,Decision Coaching,Executive Judgment,THINKING_QUALITY,25,50
CONCERN_THI_571,Collaboration & Ownership,Difficulty Managing Team Collaboration Conflicts,High,Medium,Rising,Medium,P2,Misalignment within teams,Working Professional,Team Dynamics,Collaboration Conflict Stress,Social Intelligence,Friction & Withdrawal Signals,Team Effectiveness,Weak Conflict Management Skills,Collaboration Coaching,Cross-Functional Coordination,COLLABORATION_OWNERSHIP,25,50
CONCERN_COL_572,Leadership Readiness,Weak Ability to Build Executive Presence,Medium,Medium,Rising,Medium,P2,Technical competence without influence,Working Professional,Professional Influence,Executive Presence Deficit,Social Intelligence,Low Authority Signals,Leadership Readiness,Limited Leadership Exposure,Executive Coaching,Strategic Influence,LEADERSHIP_READINESS,28,50
CONCERN_LEA_573,"Motivation, Values & Responsibility",Difficulty Sustaining Motivation in Repetitive Work Environments,High,Medium,Rising,Medium,P2,Monotony in operational roles,Working Professional,Motivation Stability,Workplace Motivation Decline,Motivational Intelligence,Engagement Reduction Signals,Persistence Stability,Lack of Meaningful Work,Motivation Coaching,Engagement Sustainability,MOTIVATION_VALUES,24,50
CONCERN_MOT_574,Communication & Expression,Weak Ability to Communicate Strategic Ideas Clearly,Medium,Medium,Rising,Medium,P2,Ideas not translating into influence,Working Professional,Strategic Communication,Strategic Expression Weakness,Linguistic Intelligence,Miscommunication Signals,Executive Communication,Weak Structured Thinking,Communication Coaching,Strategic Storytelling,COMMUNICATION_EXPRESSION,25,50
CONCERN_COM_575,Career Growth,Difficulty Managing Career Stagnation Emotionally,High,High,Rising,High,P1,Feeling stuck in same role for years,Working Professional,Career Progression,Career Stagnation Stress,Emotional Intelligence,Frustration & Hopelessness Signals,Career Stability,Lack of Growth Opportunities,Career Coaching,Growth Orientation,CAREER_GROWTH,28,50
CONCERN_CAR_576,Emotional Regulation,Difficulty Managing Performance Anxiety During Reviews,High,High,Rising,High,P1,Appraisal and KPI pressure,Working Professional,Performance Evaluation,Review Anxiety,Emotional Intelligence,Stress & Panic Signals,Emotional Stability,Fear of Negative Evaluation,Emotional Coaching,Performance Resilience,EMOTIONAL_REGULATION,24,50
CONCERN_EMO_577,Communication & Expression,Weak Confidence in Handling Difficult Conversations,Medium,Medium,Rising,Medium,P2,Conflict avoidance with peers/managers,Working Professional,Professional Communication,Difficult Conversation Anxiety,Emotional Intelligence,Avoidance & Hesitation Signals,Communication Stability,Fear of Conflict,Communication Coaching,Assertive Communication,COMMUNICATION_EXPRESSION,25,50
CONCERN_COM_578,Leadership & Ownership,Weak Ability to Delegate Work Effectively,Medium,Medium,Rising,Medium,P2,Micromanagement tendencies,Working Professional,Team Leadership,Delegation Weakness,Ownership Intelligence,Overload & Dependency Signals,Leadership Effectiveness,Trust Deficit,Leadership Coaching,Delegation Capability,LEADERSHIP_OWNERSHIP,28,50
CONCERN_LEA_579,Academic & Cognitive Effectiveness,Difficulty Maintaining Focus in Meeting-Heavy Environments,High,Medium,Rising,Medium,P2,Cognitive exhaustion from excessive meetings,Working Professional,Cognitive Productivity,Attention Fragmentation,Cognitive Intelligence,Focus Drift Signals,Productivity Stability,Continuous Interruptions,Focus Coaching,Deep Work Capability,ACADEMIC_COGNITIVE,24,50
CONCERN_ACA_580,"Confidence, Self-Concept & Comparison",Weak Confidence in Career Growth Potential,High,High,Rising,High,P1,Comparing progress with peers,Working Professional,Career Confidence,Growth Potential Self-Doubt,Emotional Intelligence,Inferiority & Anxiety Signals,Confidence Stability,Social Comparison Pressure,Confidence Coaching,Career Self-Belief,CONFIDENCE_SELF,25,50
CONCERN_CON_581,Workplace Adaptation,Difficulty Handling Ambiguous Managerial Expectations,High,Medium,Rising,Medium,P2,Unclear reporting and shifting priorities,Working Professional,Organizational Alignment,Expectation Ambiguity Anxiety,Adaptive Intelligence,Confusion & Hesitation Signals,Workplace Adaptability,Lack of Role Clarity,Adaptability Coaching,Organizational Navigation,WORKPLACE_ADAPTATION,25,50
CONCERN_WOR_582,Collaboration & Ownership,Weak Confidence in Cross-Functional Collaboration,Medium,Medium,Rising,Medium,P2,Difficulty working across departments,Working Professional,Team Coordination,Cross-Functional Collaboration Anxiety,Social Intelligence,Coordination Friction Signals,Team Effectiveness,Limited Stakeholder Exposure,Collaboration Coaching,Cross-Team Alignment,COLLABORATION_OWNERSHIP,25,50
CONCERN_COL_583,Emotional Regulation,Difficulty Managing Emotional Exhaustion from Continuous Targets,Very High,High,Rising,High,P1,KPI and sales pressure fatigue,Working Professional,Performance Pressure,Target-Driven Burnout,Wellness Intelligence,Exhaustion & Stress Signals,Recovery Stability,Continuous Performance Pressure,Wellness Coaching,Sustainable Performance,EMOTIONAL_REGULATION,25,55
