ID	Anchor	Domain	Sub-Domain	Dimension	Focus Area	Layer (1-12)	Dimension	Question (Self-Assessment)	Question	Response	A (1pt)	B (2pt)	C (3pt)	D (4pt)	E (5pt)	Polarity	Wt	Logic	Age Band	Stage 	Age
FSA-100	No	Cognitive	Metacog	Meta-Awareness	Deep Cognitive	12: Core	Meta-Awareness	Ability to "watch" your thoughts during a test.	Ability to "watch" thoughts during test.	1-10 Scale	1-2	3-4	5-6	7-8	9-10	(+)	1.7	Scale/2 (Max 5)	15-18	Curiosity	C
FSA-101	No	Cognitive	Sensory	A/V Sync	Deep Cognitive	5: Sensory	A/V Sync	Need to see a speaker’s face to understand them?	Need to see speaker's face to understand?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.2	Inverted (5-1)	11-18	Curiosity	B, C
FSA-102	No	Behavioral	Exec Function	Procrastination	High-Impact Behavioral	10: Exec	Procrastination	Clean room just to avoid starting an essay?	Clean room to avoid starting an essay?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.4	Inverted (5-1)	11-18	Curiosity	B, C
FSA-103	No	Cognitive	Memory	Retrieval	Deep Cognitive	7: Memory	Retrieval Recall	Often have the "word on the tip of my tongue"?	"Word on the tip of my tongue"?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.3	Inverted (5-1)	11-18	Curiosity	B, C
FSA-104	No	Cognitive	Exec Function	Breakdown	Deep Cognitive	10: Exec	Goal Breakdown	Can you turn a "Big Project" into 5 small tasks?	Turn Big Project into 5 small tasks?	Always to Never	Never	Rarely	Sometimes	Often	Always	(+)	1.5	Linear (1-5)	15-18	Curiosity	C
FSA-105	No	Emotional	Anxiety	Stress Resp.	Emotional/Anxiety	11: Meta	Stress Response	Does "pressure" make you focus better or shut down?	Pressure: Focus vs Shut down?	Focus / Shut	Shut Down	-	Neutral	-	Focus	(±)	1.4	F=5, S=1	11-18	Curiosity	B, C
FSA-106	No	Cognitive	Precision	Pattern Mastery	Deep Cognitive	6: Diagnostic	Pattern Mastery	Can you spot the pattern in a sequence alone?	Spot patterns in a sequence alone?	Always to Never	Never	Rarely	Sometimes	Often	Always	(+)	1.5	Linear (1-5)	11-18	Curiosity	B, C
FSA-107	No	Cognitive	Physiology	Alertness	Deep Cognitive	2: Physical	Alertness Window	Wake up feeling "ready to learn"?	Wake up feeling "ready to learn"?	Always to Never	Never	Rarely	Sometimes	Often	Always	(+)	1.3	Linear (1-5)	15-18	Curiosity	C
FSA-108	No	Cognitive	Endurance	Digital Fatigue	Deep Cognitive	1: Duration	Digital Fatigue	Brain feel "fried" after 1 hour of scrolling?	Brain feel "fried" after 1hr scrolling?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.4	Inverted (5-1)	11-18	Curiosity	B, C
FSA-109	No	Emotional	Anxiety	Authority Bias	Emotional/Anxiety	11: Meta	Authority Bias	Focus better if a teacher you respect is teaching?	Focus better if teacher you respect?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.2	Inverted (5-1)	11-14	Curiosity	B
FSA-110	No	Cognitive	Metacog	Summarize	Deep Cognitive	12: Core	Summarize	List the 3 most important things learned today?	List 3 most important things learned today?	Always to Never	Never	Rarely	Sometimes	Often	Always	(+)	1.6	Linear (1-5)	15-18	Curiosity	C
FSA-111	No	Cognitive	Processing	Spatial Awareness	Deep Cognitive	9: Synthesis	Spatial Awareness	Struggle with maps, diagrams, or spatial orientation?	Struggle with maps or spatial diagrams?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.2	Inverted (5-1)	11-18	Curiosity	B, C
FSA-112	No	Diagnostic	Motivation	Reward Delay	Hyper-focus Paradox	10: Exec	Reward Delay	Finish work now to have a "bigger fun" later?	Finish work now for "bigger fun" later?	Always to Never	Never	Rarely	Sometimes	Often	Always	(+)	1.5	Linear (1-5)	11-18	Curiosity	B, C
FSA-113	No	Cognitive	Physiology	Wakefulness	Deep Cognitive	2: Physical	Wakefulness	Sharpest within 1 hour of waking up?	Sharpest within 1hr of waking up?	Yes / No	No	-	-	-	Yes	(+)	1.1	Yes=5, No=1	15-18	Curiosity	C
FSA-114	No	Cognitive	Memory	Visual Recall	Deep Cognitive	7: Memory	Visual Recall	Remember where on the page you wrote a note?	Remember where on the page you wrote?	Always to Never	Never	Rarely	Sometimes	Often	Always	(+)	1.3	Linear (1-5)	11-18	Curiosity	B, C
FSA-115	No	Cognitive	Processing	Argument Logic	Deep Cognitive	9: Synthesis	Argument Logic	Do you notice when an argument doesn't make sense?	Notice when an argument doesn't make sense?	Always to Never	Never	Rarely	Sometimes	Often	Always	(+)	1.5	Linear (1-5)	15-18	Curiosity	C
FSA-116	No	Cognitive	Precision	Self-Correction	Deep Cognitive	8: Precision	Self-Correction	Do you catch your own typos while writing?	Catch own typos while writing?	Always to Never	Never	Rarely	Sometimes	Often	Always	(+)	1.4	Linear (1-5)	11-18	Curiosity	B, C
FSA-117	No	Cognitive	Physiology	Hunger	Deep Cognitive	2: Physical	Hunger Focus	Does being slightly hungry make focus impossible?	Slightly hungry makes focus impossible?	Always to Never	Always	Often	Sometimes	Rarely	Never	(-)	1.2	Inverted (5-1)	11-18	Curiosity	B, C
FSA-118	No	Diagnostic	Metacog	Tutoring	Hyper-focus Paradox	12: Core	Tutoring	Do you like explaining hard topics to your friends?	Like explaining hard topics to friends?	Always to Never	Never	Rarely	Sometimes	Often	Always	(+)	1.4	Linear (1-5)	15-18	Curiosity	C
FSA-119	No	Cognitive	Memory	Mental Math	Deep Cognitive	7: Memory	Mental Math	Can you do two-digit multiplication in your head?	Two-digit multiplication in your head?	Yes / No	No	-	-	-	Yes	(+)	1.5	Yes=5, No=1	11-18	Curiosity	B, C
FSA-120	No	Cognitive	Metacog	Future Vision	Deep Cognitive	12: Core	Future Vision	"See" yourself succeeding 5 years from now?	"See" yourself succeeding 5 years away?	Always to Never	Never	Rarely	Sometimes	Often	Always	(+)	1.6	Linear (1-5)	15-18	Curiosity	C
