rank,bridge_tag,concern_count,question_count,classification,best_family,best_domain,best_similarity,candidate_signal_count,impact_score,relationship_path,candidate_examples
77,INTELLECTUAL_GROWTH,1,40,GREEN,"curiosity_driven_learning_signals","Learning Intelligence",0.3211,120,0.321,"INTELLECTUAL_GROWTH -> domain:Learning Intelligence -> family:curiosity_driven_learning_signals -> 40 atomic signals","Self Initiated Learning Behavior | Self Directed Skill Acquisition | Intrinsic Learning Reward Orientation | Curiosity Fueled Mastery Drive | Long Term Intellectual Engagement | Intellectual Autonomy Orientation"
78,CAREER_EXPLORATION,1,40,GREEN,"career_exploration_signals","Career Intelligence",0.3201,100,0.32,"CAREER_EXPLORATION -> domain:Career Intelligence -> family:career_exploration_signals -> 40 atomic signals","Experimentation With Roles | Exploratory Project Participation | Exploratory Side Project Creation | Self Driven Career Research | Future Of Work Curiosity | Adaptive Career Openness"
79,PERSONAL_EFFECTIVENESS,3,40,YELLOW,"effort_stability_signals","Motivational Intelligence",0.2127,120,0.319,"PERSONAL_EFFECTIVENESS -> domain:Motivational Intelligence -> family:effort_stability_signals -> 40 atomic signals","Long Term Goal Persistence | Persistence Through Slow Progress | Consistency Under Low Motivation | Stable Work Ethic Pattern | Long Cycle Effort Endurance | Disciplined Follow Through"
80,EXPLORATORY_LEARNING,1,40,GREEN,"curiosity_driven_learning_signals","Learning Intelligence",0.3176,120,0.318,"EXPLORATORY_LEARNING -> domain:Learning Intelligence -> family:curiosity_driven_learning_signals -> 40 atomic signals","Self Initiated Learning Behavior | Self Directed Skill Acquisition | Intrinsic Learning Reward Orientation | Curiosity Fueled Mastery Drive | Long Term Intellectual Engagement | Intellectual Autonomy Orientation"
81,LEARNING_SUSTAINABILITY,1,40,GREEN,"academic_confidence_signals","Learning Intelligence",0.3163,120,0.316,"LEARNING_SUSTAINABILITY -> domain:Learning Intelligence -> family:academic_confidence_signals -> 40 atomic signals","Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence | Advanced Learning Confidence"
82,ACADEMIC_CAREER,3,225,YELLOW,"career_clarity_signals","Career Intelligence",0.2098,100,0.315,"ACADEMIC_CAREER -> domain:Career Intelligence -> family:career_clarity_signals -> 20 atomic signals","Career Direction Confusion | Fear Based Career Selection | Career Decision Avoidance | Career Identity Fragmentation | Future Role Uncertainty | Opportunity Overwhelm"
83,STUDENT_BALANCE,1,40,GREEN,"academic_confidence_signals","Learning Intelligence",0.3149,120,0.315,"STUDENT_BALANCE -> domain:Learning Intelligence -> family:academic_confidence_signals -> 40 atomic signals","Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence | Advanced Learning Confidence"
84,PROFESSIONAL_LEADERSHIP,1,40,GREEN,"networking_signals","Social Intelligence",0.3145,200,0.315,"PROFESSIONAL_LEADERSHIP -> domain:Social Intelligence -> family:networking_signals -> 80 atomic signals","Ecosystem Relationship Navigation | Opportunity Relationship Conversion | Strategic Connection Building | Trust Based Networking | Value Driven Networking | Long Term Relationship Nurturing"
85,WORKFORCE_TRENDS,1,40,GREEN,"career_clarity_signals","Career Intelligence",0.313,100,0.313,"WORKFORCE_TRENDS -> domain:Career Intelligence -> family:career_clarity_signals -> 20 atomic signals","Career Direction Confusion | Fear Based Career Selection | Career Decision Avoidance | Career Identity Fragmentation | Future Role Uncertainty | Opportunity Overwhelm"
86,PERSONALITY_ALIGNMENT,1,40,GREEN,"role_fit_signals","Career Intelligence",0.3127,140,0.313,"PERSONALITY_ALIGNMENT -> domain:Career Intelligence -> family:role_fit_signals -> 40 atomic signals","Long Term Role Sustainability | Technical Depth Role Fit | Authentic Role Alignment | Strengths Role Matching | Analytical Role Fit | Career Energy Alignment"
87,CAREER_GUIDANCE,1,40,GREEN,"direction_signals","Career Intelligence",0.3124,100,0.312,"CAREER_GUIDANCE -> domain:Career Intelligence -> family:direction_signals -> 40 atomic signals","Chronic Career Ambiguity | Lack Of Career Vision | Lack Of Professional Alignment | Fragmented Professional Identity | Lack Of Career Structure | Low Professional Self Awareness"
88,COMPETENCY_INTELLIGENCE,3,50,YELLOW,"professional_competency_signals","Employability Intelligence",0.2076,120,0.311,"COMPETENCY_INTELLIGENCE -> domain:Employability Intelligence -> family:professional_competency_signals -> 40 atomic signals","Elite Execution Reliability | Applied Technical Competence | Precision Oriented Work Behavior | Technical Execution Accuracy | Technical Tool Mastery | Problem Solving Execution"
89,PERSONAL_IDENTITY,1,25,GREEN,"identity_confusion_signals","Identity Intelligence",0.3106,120,0.311,"PERSONAL_IDENTITY -> domain:Identity Intelligence -> family:identity_confusion_signals -> 40 atomic signals","External Validation Dependency | Identity Projection Conflict | Internal External Self Conflict | Identity Masking Dependence | Identity Performance Dependency | Identity Pressure Absorption"
90,SELF_AWARENESS,1,40,GREEN,"self_reflection_signals","Cognitive Intelligence",0.3099,200,0.31,"SELF_AWARENESS -> domain:Cognitive Intelligence -> family:self_reflection_signals -> 40 atomic signals","Meta Cognitive Self Monitoring | Reflective Cognitive Maturity | Self Perception Accuracy | Self Improvement Orientation | Self Assumption Questioning | Self Bias Detection"
91,CONFIDENCE_BUILDING,1,300,GREEN,"fear_signals","Emotional Intelligence",0.3089,120,0.309,"CONFIDENCE_BUILDING -> domain:Emotional Intelligence -> family:fear_signals -> 40 atomic signals","Placement Fear | Fear of Failure | Inadequacy Fear | Future Failure Visualization | Interview Fear | Career Failure Fear"
92,CAREER_DEVELOPMENT,1,40,GREEN,"direction_signals","Career Intelligence",0.3085,100,0.308,"CAREER_DEVELOPMENT -> domain:Career Intelligence -> family:direction_signals -> 40 atomic signals","Chronic Career Ambiguity | Lack Of Career Vision | Lack Of Professional Alignment | Fragmented Professional Identity | Lack Of Career Structure | Low Professional Self Awareness"
93,IDENTITY_EXPRESSION,1,25,GREEN,"self_expression_signals","Identity Intelligence",0.3063,120,0.306,"IDENTITY_EXPRESSION -> domain:Identity Intelligence -> family:self_expression_signals -> 40 atomic signals","Integrated Self Expression | Courageous Identity Expression | Emotional Identity Integration | Emotional Honesty Stability | Value Based Expression | Identity Alignment Expression"
94,CAREER_PRIORITIZATION,1,25,GREEN,"personal_values_signals","Identity Intelligence",0.3048,100,0.305,"CAREER_PRIORITIZATION -> domain:Identity Intelligence -> family:personal_values_signals -> 40 atomic signals","Integrity Under Pressure | Ethical Courage | Value Based Identity Stability | Truth Orientation | Ethical Identity Integration | Long Term Value Commitment"
95,IDENTITY_INTEGRATION,1,75,GREEN,"individuality_signals","Identity Intelligence",0.3028,120,0.303,"IDENTITY_INTEGRATION -> domain:Identity Intelligence -> family:individuality_signals -> 40 atomic signals","Autonomous Life Direction | Self Authorship Tendency | Self Defined Success Metrics | Individuality Visibility Resilience | Personal Principle Stability | Independent Identity Stability"
96,PLACEMENT_RISK,1,25,GREEN,"placement_confidence_signals","Career Intelligence",0.301,120,0.301,"PLACEMENT_RISK -> domain:Career Intelligence -> family:placement_confidence_signals -> 40 atomic signals","Placement Outcome Resilience | Technical Interview Confidence | Recruitment Pressure Tolerance | Rejection Recovery Strength | Interview Question Navigation | Professional Identity Confidence"
97,PSYCHOLOGICAL_ADAPTATION,1,40,GREEN,"academic_confidence_signals","Learning Intelligence",0.3012,120,0.301,"PSYCHOLOGICAL_ADAPTATION -> domain:Learning Intelligence -> family:academic_confidence_signals -> 40 atomic signals","Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence | Advanced Learning Confidence"
98,ACADEMIC_COUNSELLING,1,40,GREEN,"academic_confidence_signals","Learning Intelligence",0.3002,120,0.3,"ACADEMIC_COUNSELLING -> domain:Learning Intelligence -> family:academic_confidence_signals -> 40 atomic signals","Long Term Learning Confidence | Growth Mindset Learning Confidence | Problem Solving Confidence | Failure Recovery Learning Confidence | Analytical Learning Confidence | Advanced Learning Confidence"
99,MATURITY_DEVELOPMENT,1,25,GREEN,"fear_signals","Emotional Intelligence",0.2989,120,0.299,"MATURITY_DEVELOPMENT -> domain:Emotional Intelligence -> family:fear_signals -> 40 atomic signals","Placement Fear | Fear of Failure | Inadequacy Fear | Future Failure Visualization | Interview Fear | Career Failure Fear"
100,VALUES_BASED,1,25,GREEN,"personal_values_signals","Identity Intelligence",0.2992,160,0.299,"VALUES_BASED -> domain:Identity Intelligence -> family:personal_values_signals -> 40 atomic signals","Integrity Under Pressure | Ethical Courage | Value Based Identity Stability | Truth Orientation | Ethical Identity Integration | Long Term Value Commitment"
