id,response_type,question,new_a,new_b,new_c,new_d,new_e
8427,speed,"When studying difficult subjects, how quickly do you lose mental energy?",Very slowly — it takes me a long time,Slowly — it takes a while,Moderately — at an average pace,Quickly — fairly fast,Very quickly — almost immediately
8442,speed,"When you feel low energy, how quickly do you regain focus?",Very slowly — it takes me a long time,Slowly — it takes a while,Moderately — at an average pace,Quickly — fairly fast,Very quickly — almost immediately
8484,recovery,"After receiving no immediate updates, how quickly do you return to emotional balance?",Very slowly — it takes me a long time,Slowly — it takes a while,Moderately — at an average pace,Quickly — fairly fast,Very quickly — almost immediately
8595,clarity,"During stressful academic or work phases, how clearly can you identify what you are feeling emotionally?",Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
8597,ability,"How easily can you distinguish between stress, fatigue, and emotional exhaustion?",Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
8606,speed,"When you feel burnout symptoms, how quickly do you acknowledge them?",Very slowly — it takes me a long time,Slowly — it takes a while,Moderately — at an average pace,Quickly — fairly fast,Very quickly — almost immediately
8610,effectiveness,"When overwhelmed, how effectively can you pause and check your emotional state?",Very ineffective — it doesn't help me,Ineffective — it rarely helps,Neutral — it helps a little,Effective — it usually helps,Very effective — it works well for me
8670,frequency,"After a strong motivation phase drops suddenly, how quickly do you usually lose your study or work consistency?",Very slowly — it takes me a long time,Slowly — it takes a while,Moderately — at an average pace,Quickly — fairly fast,Very quickly — almost immediately
8727,consistency,"During peak preparation periods, how consistent is your daily routine (sleep, food, breaks)?",Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
8736,likelihood,"If you had a structured plan, how likely are you to follow a healthy schedule?",Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
8738,likelihood,"If you had heavy workload tomorrow, how likely are you to still maintain basic health habits?",Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
8852,comfort,How comfortable do you feel discussing coaching stress with family or friends?,Very uncomfortable — I'd really avoid it,Uncomfortable — quite uneasy,Neutral — neither at ease nor not,Comfortable — generally at ease,Very comfortable — fully at ease
8867,likelihood,How likely are you to finish your planned revision schedule fully?,Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
8890,confidence,"During moments of panic or high stress, how effectively are you able to think rationally and make clear decisions?",Very ineffective — it doesn't help me,Ineffective — it rarely helps,Neutral — it helps a little,Effective — it usually helps,Very effective — it works well for me
8917,ease,"When comparing different career options, how easily can you decide which one matches your strengths?",Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
8923,ease,How clearly can you list your top 3 strengths right now without hesitation?,Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
8927,ease,"How easy is it for you to decide what role (tech, design, business, etc.) fits your strengths?",Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
8992,support_perception,How much do you feel your family would support a non-traditional career choice?,Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
9000,likelihood,How likely are you to explore startup or freelance opportunities during college?,Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
9013,likelihood,"If you had a chance to try a startup internship, how likely are you to take it?",Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
9165,recovery_speed,"After receiving rejection (internship/job), how quickly do you emotionally recover?",Very slowly — it takes me a long time,Slowly — it takes a while,Moderately — at an average pace,Quickly — fairly fast,Very quickly — almost immediately
9174,difficulty,"After rejection, how hard is it to focus on other tasks?",Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
9179,duration,How often do rejection experiences affect your confidence for weeks?,Never — it doesn't happen to me,Rarely — only once in a while,Sometimes — it happens on and off,Often — it happens regularly,Very often — it happens almost daily
9244,ease,How easy is it for you to explain your career interests to your family?,Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
9297,motivation,"After failing or making a wrong choice, how motivated do you feel to try again?",Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
9438,emotional_impact,How overwhelmed do you feel when you must make decisions alone?,Not at all — it doesn't affect me,Slightly — just a little,Moderately — to a fair degree,Strongly — quite a lot,Extremely — to a very high degree
9488,likelihood,"If given a chance, how likely are you to join a highly competitive group project?",Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
9512,frequency,"After frustration, how quickly do you regain focus?",Very slowly — it takes me a long time,Slowly — it takes a while,Moderately — at an average pace,Quickly — fairly fast,Very quickly — almost immediately
9540,commitment,"How committed are you to mastering a skill or competency over a long-term period (months or years), even without immediate results?",Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
9547,impact_level,How much has difficulty staying consistent affected your progress in mastering skills?,No impact — it doesn't affect me,Mild impact — a small effect,Moderate impact — a noticeable effect,Major impact — a strong effect,Severe impact — it affects me deeply
9647,energy_motivation,How difficult is it for you to design a project even when you clearly understand the theory behind it?,Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
9658,energy_motivation,"After successfully building a small project, how confident do you feel about learning new topics?",Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
9747,difficulty,"During long study cycles, how difficult is it for you to stay emotionally motivated?",Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
9797,energy_motivation,How much does comparing yourself with experts affect your willingness to practice or learn?,Not at all — it doesn't affect me,Slightly — just a little,Moderately — to a fair degree,Strongly — quite a lot,Extremely — to a very high degree
10047,energy_motivation,How much does observing others success affect your motivation to trust your own abilities?,Not at all — it doesn't affect me,Slightly — just a little,Moderately — to a fair degree,Strongly — quite a lot,Extremely — to a very high degree
10108,motivation,"After completing a learning task successfully, how motivated do you feel to continue learning more?",Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
10125,situational_fit,How comfortable are you starting conversations with strangers in professional settings?,Very uncomfortable — I'd really avoid it,Uncomfortable — quite uneasy,Neutral — neither at ease nor not,Comfortable — generally at ease,Very comfortable — fully at ease
10131,coping_effectiveness,"When you make communication mistakes, how quickly do you recover and continue speaking?",Very slowly — it takes me a long time,Slowly — it takes a while,Moderately — at an average pace,Quickly — fairly fast,Very quickly — almost immediately
10136,situational_fit,How comfortable are you giving feedback to others professionally?,Very uncomfortable — I'd really avoid it,Uncomfortable — quite uneasy,Neutral — neither at ease nor not,Comfortable — generally at ease,Very comfortable — fully at ease
10247,energy_motivation,How much has academic workload reduced your consistency in placement preparation?,Not at all — it doesn't affect me,Slightly — just a little,Moderately — to a fair degree,Strongly — quite a lot,Extremely — to a very high degree
10333,emotional_impact,"After completing a project, how satisfied do you feel with your real-world readiness?",Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
10338,likelihood,How likely are you to take up real-world projects if given a chance?,Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
10497,energy_motivation,How much has unclear career growth affected your focus on learning and performance in your current job?,Not at all — it doesn't affect me,Slightly — just a little,Moderately — to a fair degree,Strongly — quite a lot,Extremely — to a very high degree
10702,likelihood,How likely are you to lose focus when thinking about future job security?,Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
10704,comfort,How comfortable are you discussing career stress with others?,Very uncomfortable — I'd really avoid it,Uncomfortable — quite uneasy,Neutral — neither at ease nor not,Comfortable — generally at ease,Very comfortable — fully at ease
10708,relief,"After talking to someone about your career worries, how relieved do you feel?",Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
10713,likelihood,"If given a small daily practice to manage stress, how likely are you to follow it?",Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
10766,difficulty,How difficult is it for you to stop worrying about your long-term career future once these thoughts start?,Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
10817,situational_fit,"When you hear about people switching careers successfully, how achievable does it feel for you?",Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
10830,coping_effectiveness,"When you think about switching industries, how easily can you break the process into small manageable steps?",Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
10833,motivation,"After learning about a new industry, how motivated do you feel to explore it further?",Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
10942,ease,"If your current career choice doesnt feel right, how easy would it be for you to switch paths?",Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
10962,energy_motivation,How difficult is it for you to restart your preparation or work after a major setback?,Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
10987,energy_motivation,How much does waiting for results reduce your focus on other productive activities?,Not at all — none of it,Slightly — a small part,Moderately — about half,Mostly — a large part,Completely — all of it
11061,energy_motivation,How much does comparison with others reduce your motivation to work?,Not at all — it doesn't affect me,Slightly — just a little,Moderately — to a fair degree,Strongly — quite a lot,Extremely — to a very high degree
11072,coping_effectiveness,"After comparing yourself with others, how quickly can you recover emotionally?",Very slowly — it takes me a long time,Slowly — it takes a while,Moderately — at an average pace,Quickly — fairly fast,Very quickly — almost immediately
11187,energy_motivation,How much does a final-round rejection reduce your motivation to apply for the next opportunity?,Not at all — it doesn't affect me,Slightly — just a little,Moderately — to a fair degree,Strongly — quite a lot,Extremely — to a very high degree
11189,confidence,"After a rejection, how difficult is it for you to believe you will succeed in future interviews?",Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
11198,recovery_time,"After rejection, how quickly do you return to practicing mock interviews or tests?",Very slowly — it takes me a long time,Slowly — it takes a while,Moderately — at an average pace,Quickly — fairly fast,Very quickly — almost immediately
11280,emotional_impact,How emotionally drained do you feel when you frequently compare yourself with others?,Not at all — it doesn't affect me,Slightly — just a little,Moderately — to a fair degree,Strongly — quite a lot,Extremely — to a very high degree
11284,emotional_impact,"If you see someone achieving success faster than you, how emotionally affected do you feel overall?",Not at all — it doesn't affect me,Slightly — just a little,Moderately — to a fair degree,Strongly — quite a lot,Extremely — to a very high degree
11405,difficulty,How easy is it for you to find time for upskilling while managing family responsibilities?,Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
11430,speed,"After a setback (exam, rejection, or failure), how quickly do you regain confidence in your career path?",Very slowly — it takes me a long time,Slowly — it takes a while,Moderately — at an average pace,Quickly — fairly fast,Very quickly — almost immediately
11434,confidence,"After a failure, how difficult is it to imagine yourself succeeding in the future?",Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
11439,speed,"When you see repeated failures, how quickly do you lose confidence in your abilities?",Very slowly — it takes me a long time,Slowly — it takes a while,Moderately — at an average pace,Quickly — fairly fast,Very quickly — almost immediately
11440,speed,"After a setback, how quickly do you return to studying or preparation?",Very slowly — it takes me a long time,Slowly — it takes a while,Moderately — at an average pace,Quickly — fairly fast,Very quickly — almost immediately
11443,difficulty,How difficult is it to believe in yourself again after a bad result?,Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
11448,speed,"After encouragement from others, how quickly do you regain confidence?",Very slowly — it takes me a long time,Slowly — it takes a while,Moderately — at an average pace,Quickly — fairly fast,Very quickly — almost immediately
11462,energy_motivation,How much has past failure reduced your willingness to take new initiatives confidently?,Not at all — it doesn't affect me,Slightly — just a little,Moderately — to a fair degree,Strongly — quite a lot,Extremely — to a very high degree
11534,emotional_impact,"If you imagine sudden job loss or lack of placement, how overwhelmed do you feel?",Not at all — it doesn't affect me,Slightly — just a little,Moderately — to a fair degree,Strongly — quite a lot,Extremely — to a very high degree
11535,energy_motivation,How much does fear of job insecurity affect your daily motivation?,No impact — it doesn't affect me,Mild impact — a small effect,Moderate impact — a noticeable effect,Major impact — a strong effect,Severe impact — it affects me deeply
11574,willingness,"If your career required a reset, how willing would you be to accept it?",Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
11655,recovery_speed,"After a public mistake or failure, how quickly are you able to regain confidence in yourself?",Very slowly — it takes me a long time,Slowly — it takes a while,Moderately — at an average pace,Quickly — fairly fast,Very quickly — almost immediately
11664,difficulty,"After failing publicly, how difficult is it for you to trust your own abilities again?",Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
11677,comfort,How comfortable are you interacting with people who witnessed your past mistake?,Very uncomfortable — I'd really avoid it,Uncomfortable — quite uneasy,Neutral — neither at ease nor not,Comfortable — generally at ease,Very comfortable — fully at ease
11808,difficulty,How difficult is it for you to stay motivated during periods of no career growth?,Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
11823,speed,"After a stagnant phase, how quickly do you regain motivation?",Very slowly — it takes me a long time,Slowly — it takes a while,Moderately — at an average pace,Quickly — fairly fast,Very quickly — almost immediately
11916,comfort,How comfortable are you making mistakes while figuring out unclear tasks?,Very uncomfortable — I'd really avoid it,Uncomfortable — quite uneasy,Neutral — neither at ease nor not,Comfortable — generally at ease,Very comfortable — fully at ease
11917,speed_confidence,"When project goals are unclear, how quickly can you still begin meaningful work?",Very slowly — it takes me a long time,Slowly — it takes a while,Moderately — at an average pace,Quickly — fairly fast,Very quickly — almost immediately
11923,coping_effectiveness,"When things dont go as planned at work, how quickly can you adjust your approach?",Very slowly — it takes me a long time,Slowly — it takes a while,Moderately — at an average pace,Quickly — fairly fast,Very quickly — almost immediately
11998,energy_motivation,"After a workplace disagreement, how quickly do you usually return to emotional calmness?",Very slowly — it takes me a long time,Slowly — it takes a while,Moderately — at an average pace,Quickly — fairly fast,Very quickly — almost immediately
12017,coping_effectiveness,"During team work, how comfortable are you continuing your effort even if others receive more credit?",Very uncomfortable — I'd really avoid it,Uncomfortable — quite uneasy,Neutral — neither at ease nor not,Comfortable — generally at ease,Very comfortable — fully at ease
12073,confidence,"After completing urgent tasks, how quickly do you recover from stress?",Very slowly — it takes me a long time,Slowly — it takes a while,Moderately — at an average pace,Quickly — fairly fast,Very quickly — almost immediately
12198,confidence,"After rest or sleep, how quickly do you regain productivity?",Very slowly — it takes me a long time,Slowly — it takes a while,Moderately — at an average pace,Quickly — fairly fast,Very quickly — almost immediately
12282,effectiveness,"When multiple tasks have the same deadline, how easily can you prioritize them?",Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
12294,recovery,"After completing a deadline task, how quickly do you recover mentally?",Very slowly — it takes me a long time,Slowly — it takes a while,Moderately — at an average pace,Quickly — fairly fast,Very quickly — almost immediately
12392,coping_effectiveness,"When you see others succeed, how comfortable are you in appreciating their success without feeling negative about yourself?",Very uncomfortable — I'd really avoid it,Uncomfortable — quite uneasy,Neutral — neither at ease nor not,Comfortable — generally at ease,Very comfortable — fully at ease
12412,energy_motivation,How much has economic uncertainty reduced your motivation to build skills or prepare for jobs?,Not at all — it doesn't affect me,Slightly — just a little,Moderately — to a fair degree,Strongly — quite a lot,Extremely — to a very high degree
12448,confidence,"After handling uncertainty, how quickly do you regain emotional balance?",Very slowly — it takes me a long time,Slowly — it takes a while,Moderately — at an average pace,Quickly — fairly fast,Very quickly — almost immediately
12542,intensity,How difficult is it for you to stay calm when thinking about long-term career survival?,Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
12565,frequency,"When a crisis begins, how quickly are you able to take decisive action?",Very slowly — it takes me a long time,Slowly — it takes a while,Moderately — at an average pace,Quickly — fairly fast,Very quickly — almost immediately
12696,recovery_speed,"After completing a stressful task, how quickly do you feel mentally normal again?",Very slowly — it takes me a long time,Slowly — it takes a while,Moderately — at an average pace,Quickly — fairly fast,Very quickly — almost immediately
13292,manageability,"While thinking about changing or improving your career path, how manageable do your current responsibilities feel?",Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
13746,confidence,How easy is it for you to imagine a better version of your future despite current struggles?,Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
13751,coping_difficulty,"During setbacks, how difficult is it for you to emotionally recover and continue?",Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
13774,energy_motivation,How much has disappointment from past career failures reduced your willingness to take risks again?,Not at all — none of it,Slightly — a small part,Moderately — about half,Mostly — a large part,Completely — all of it
13901,likelihood,How likely are you to stay silent in group prep even when you know the answer?,Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
13915,likelihood,"If given an opportunity, how likely are you to actively participate in competitive events?",Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
14015,likelihood,How likely are you to invest time in learning emerging industry skills?,Very low — far below where I want it,Low — below where I want it,Moderate — somewhere in the middle,High — above average for me,Very high — well above average
14017,emotional_impact,"When multiple deadlines come close together, how emotionally drained do you usually feel?",Not at all — it doesn't affect me,Slightly — just a little,Moderately — to a fair degree,Strongly — quite a lot,Extremely — to a very high degree
14018,intensity,"During heavy academic or project weeks, how difficult is it for you to stay mentally fresh throughout the day?",Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
14020,emotional_impact,"When you finish one task and immediately start another, how emotionally tired do you feel?",Not at all — it doesn't affect me,Slightly — just a little,Moderately — to a fair degree,Strongly — quite a lot,Extremely — to a very high degree
14036,confidence,"Even after a stressful deadline period, how quickly do you feel ready for the next challenge?",Very slowly — it takes me a long time,Slowly — it takes a while,Moderately — at an average pace,Quickly — fairly fast,Very quickly — almost immediately
14133,coping_effectiveness,"After calming down, how quickly do you recover from job-related anxiety?",Very slowly — it takes me a long time,Slowly — it takes a while,Moderately — at an average pace,Quickly — fairly fast,Very quickly — almost immediately
14146,difficulty,How difficult is it for you to take breaks without worrying about falling behind?,Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
14158,outcome,"After a break, how refreshed do you usually feel?",Not at all — it doesn't affect me,Slightly — just a little,Moderately — to a fair degree,Strongly — quite a lot,Extremely — to a very high degree
14199,coping_effectiveness,How difficult is it for you to recover emotionally after long periods of continuous pressure?,Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
14210,energy_motivation,"After resting properly, how quickly do you regain emotional energy for tasks?",Very slowly — it takes me a long time,Slowly — it takes a while,Moderately — at an average pace,Quickly — fairly fast,Very quickly — almost immediately
14229,coping_effectiveness,"During decision-making, how comfortable are you choosing between work and personal priorities without regret?",Very uncomfortable — I'd really avoid it,Uncomfortable — quite uneasy,Neutral — neither at ease nor not,Comfortable — generally at ease,Very comfortable — fully at ease
14251,intensity,How difficult is it for you to stay motivated during periods of no career progress?,Not difficult — it's easy for me,Slightly difficult — minor effort,Moderately difficult — some struggle,Very difficult — a real struggle,Extremely difficult — almost impossible
14282,agreement,Some people completely shut down when deadlines are near. How true is this for you?,Never true — this is never the case,Rarely true — only occasionally,Sometimes true — it varies,Often true — usually the case,Always true — this is always the case
