id,feeling,question,new_a,new_b,new_c,new_d,new_e
2351,confident,How well are you currently able to manage the emotional pressure that comes with leadership responsibilities?,Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
2355,confident,"If your leadership responsibilities increased tomorrow, how confident are you that you could still maintain emotional balance and wellbeing?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
2370,confident,"Even if leadership pressure feels emotionally difficult now, how confident are you that you can gradually build healthier emotional resilience?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
2375,hopeful,"Even if leadership pressure feels emotionally exhausting now, how hopeful are you that you can eventually lead others while maintaining emotional wellbeing and balance?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
2376,balanced,"While managing continuous responsibilities, how emotionally balanced do you usually feel?",Not balanced at all — I feel pulled apart,Slightly balanced — I struggle often,Moderately balanced — it varies a lot,Mostly balanced — I manage it well,Very balanced — I feel well in control
2380,stable,"If your current level of responsibility continued long-term, how emotionally sustainable would it feel?",Not stable at all — I feel easily shaken,Slightly stable — I waver often,Moderately stable — it varies a lot,Mostly stable — I stay steady most times,Very stable — I stay calm and grounded
2395,confident,"Even if responsibilities feel emotionally exhausting now, how confident are you that you can build a healthier balance over time?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
2400,hopeful,"Even if continuous responsibilities feel emotionally exhausting now, how hopeful are you that you can achieve healthier emotional balance and recovery over time?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
2401,prepared,How prepared do you feel overall for transitioning from an individual contributor to a leadership role?,Not prepared at all — I'd struggle to begin,Slightly prepared — I'd need much more,Moderately prepared — I could manage parts of it,Well prepared — I'd handle it with some effort,Fully prepared — I'm ready right now
2405,ready,"If you were placed in a leadership role tomorrow, how ready would you feel to manage performance, communication, and emotional balance together?",Not ready at all — I'd struggle to begin,Slightly ready — I'd need much more,Moderately ready — I could manage parts of it,Mostly ready — I'd handle it with some effort,Fully ready — I could begin right now
2420,confident,How confident are you that you can grow into a successful leader without losing emotional stability or personal balance?,Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
2425,hopeful,"Even if leadership growth feels overwhelming now, how hopeful are you that you can eventually become a balanced and effective leader?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
2426,balanced,How balanced do you currently feel between leadership responsibilities and your personal wellbeing?,Not balanced at all — I feel pulled apart,Slightly balanced — I struggle often,Moderately balanced — it varies a lot,Mostly balanced — I manage it well,Very balanced — I feel well in control
2430,confident,"If your leadership responsibilities increased tomorrow, how confident are you that you could still maintain emotional balance and personal wellbeing?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
2445,confident,"Even if balancing leadership and wellbeing feels difficult now, how confident are you that you can gradually create a healthier balance?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
2450,hopeful,"Even if balancing leadership expectations and personal wellbeing feels emotionally difficult now, how hopeful are you that you can eventually lead effectively while maintaining emotional health and balance?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
2451,stable,"While pursuing leadership and long-term growth, how emotionally aligned do you feel with your personal identity and values?",Not stable at all — I feel easily shaken,Slightly stable — I waver often,Moderately stable — it varies a lot,Mostly stable — I stay steady most times,Very stable — I stay calm and grounded
2455,hopeful,"Even with changing responsibilities and ambitions, how hopeful are you that you can stay true to yourself long-term?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
2470,confident,"Even if balancing identity and ambition feels difficult now, how confident are you that you can grow without losing yourself over time?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
2475,hopeful,"Even if balancing leadership, identity, and long-term growth feels emotionally exhausting now, how hopeful are you that you can build a more authentic and sustainable future over time?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
2476,prepared,"How prepared do you feel to balance leadership responsibilities, personal well-being, and organizational expectations together?",Not prepared at all — I'd struggle to begin,Slightly prepared — I'd need much more,Moderately prepared — I could manage parts of it,Well prepared — I'd handle it with some effort,Fully prepared — I'm ready right now
2480,ready,"If you were placed in a high-responsibility role tomorrow, how ready would you feel to maintain performance, relationships, and personal stability together?",Not ready at all — I'd struggle to begin,Slightly ready — I'd need much more,Moderately ready — I could manage parts of it,Mostly ready — I'd handle it with some effort,Fully ready — I could begin right now
2495,confident,How confident are you that you can become an impactful leader without sacrificing your emotional well-being?,Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
2500,hopeful,"Even if balancing leadership and well-being feels difficult now, how hopeful are you that you can eventually build a sustainable and impactful leadership style?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
2501,confident,"How aligned do you currently feel between your leadership role, personal purpose, and long-term organizational growth goals?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
2505,confident,"If your organizational responsibilities increased tomorrow, how confident are you that you could still lead with clarity, purpose, and emotional balance?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
2520,confident,"Even if balancing leadership, purpose, and organizational growth feels difficult now, how confident are you that you can gradually create a healthier and more meaningful balance?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
2525,hopeful,"Even if balancing leadership, purpose, and enterprise growth feels emotionally difficult now, how hopeful are you that you can eventually lead in a meaningful, emotionally healthy, and sustainable way?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
2526,confident,How confident are you in moving beyond technical or functional expertise into broader strategic leadership responsibilities?,Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
2530,hopeful,"Even if strategic leadership feels challenging now, how hopeful are you that you can grow into it successfully over time?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
2545,confident,"Even if strategic leadership feels uncomfortable now, how confident are you that you can eventually lead beyond technical expertise?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
2550,hopeful,"Even if moving from technical expertise to strategic leadership feels emotionally difficult now, how hopeful are you that you can grow into a confident and effective leader over time?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
2551,confident,How confident do you feel about balancing long-term planning with daily execution responsibilities?,Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
2555,ready,"If you were given leadership responsibility tomorrow, how ready would you feel to manage vision, planning, and execution simultaneously?",Not ready at all — I'd struggle to begin,Slightly ready — I'd need much more,Moderately ready — I could manage parts of it,Mostly ready — I'd handle it with some effort,Fully ready — I could begin right now
2570,confident,How confident are you that you can eventually manage both strategic leadership and operational execution effectively?,Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
2575,hopeful,"Even if balancing strategic vision and execution feels difficult now, how hopeful are you that you can eventually master both effectively?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
2576,balanced,"While pursuing leadership ambitions, how emotionally balanced do you usually feel personally?",Not balanced at all — I feel pulled apart,Slightly balanced — I struggle often,Moderately balanced — it varies a lot,Mostly balanced — I manage it well,Very balanced — I feel well in control
2580,stable,"If your current leadership pace continued long-term, how emotionally sustainable would it feel for you?",Not stable at all — I feel easily shaken,Slightly stable — I waver often,Moderately stable — it varies a lot,Mostly stable — I stay steady most times,Very stable — I stay calm and grounded
2595,confident,"Even if balancing leadership ambition and wellbeing feels difficult now, how confident are you that you can create a healthier lifestyle over time?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
2600,hopeful,"Even if balancing leadership ambition and wellbeing feels emotionally exhausting now, how hopeful are you that you can achieve a healthier and more sustainable lifestyle over time?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
2601,confident,How confident are you in your readiness to handle enterprise-level leadership and long-term strategic growth responsibilities?,Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
2605,hopeful,"Even if enterprise leadership feels challenging now, how hopeful are you that you can grow into it successfully over time?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
2620,confident,"Even if enterprise leadership feels difficult now, how confident are you that you can eventually lead strategic growth successfully?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
2625,hopeful,"Even if enterprise leadership and strategic growth feel emotionally overwhelming now, how hopeful are you that you can become a confident and effective large-scale leader over time?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
2626,prepared,"How prepared do you feel to balance strategic leadership, influence over others, and personal well-being together?",Not prepared at all — I'd struggle to begin,Slightly prepared — I'd need much more,Moderately prepared — I could manage parts of it,Well prepared — I'd handle it with some effort,Fully prepared — I'm ready right now
2630,ready,"If you were placed in a strategic leadership role tomorrow, how ready would you feel to guide people, make decisions, and maintain personal stability together?",Not ready at all — I'd struggle to begin,Slightly ready — I'd need much more,Moderately ready — I could manage parts of it,Mostly ready — I'd handle it with some effort,Fully ready — I could begin right now
2645,confident,How confident are you that you can become a strategic and influential leader without sacrificing your well-being?,Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
2650,hopeful,"Even if balancing leadership, influence, and well-being feels difficult now, how hopeful are you that you can eventually build a sustainable and impactful leadership style?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
2651,balanced,"While managing enterprise leadership and strategic growth responsibilities, how emotionally stable and personally balanced do you usually feel?",Not balanced at all — I feel pulled apart,Slightly balanced — I struggle often,Moderately balanced — it varies a lot,Mostly balanced — I manage it well,Very balanced — I feel well in control
2655,stable,"If your current leadership and growth demands continued long-term, how emotionally sustainable would it feel?",Not stable at all — I feel easily shaken,Slightly stable — I waver often,Moderately stable — it varies a lot,Mostly stable — I stay steady most times,Very stable — I stay calm and grounded
2670,confident,"Even if balancing enterprise leadership and personal stability feels difficult now, how confident are you that you can build a healthier long-term balance?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
2675,hopeful,"Even if balancing enterprise leadership, strategic growth, and personal stability feels emotionally exhausting now, how hopeful are you that you can create a healthier and more sustainable future over time?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
2676,confident,How confident are you in balancing strategic leadership responsibilities while maintaining your emotional wellbeing?,Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
2680,hopeful,"Even if balancing leadership and wellbeing feels difficult now, how hopeful are you that you can manage both successfully long-term?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
2695,confident,"Even if balancing leadership influence and wellbeing feels difficult now, how confident are you that you can build a healthier long-term balance?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
2700,hopeful,"Even if balancing strategy, leadership, organizational influence, and wellbeing feels emotionally exhausting now, how hopeful are you that you can create a sustainable and fulfilling leadership future over time?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
2701,prepared,How prepared do you feel to adapt to the work culture of a completely different industry?,Not prepared at all — I'd struggle to begin,Slightly prepared — I'd need much more,Moderately prepared — I could manage parts of it,Well prepared — I'd handle it with some effort,Fully prepared — I'm ready right now
2705,ready,"If you entered a completely new industry tomorrow, how ready would you feel to adjust to its expectations and work style?",Not ready at all — I'd struggle to begin,Slightly ready — I'd need much more,Moderately ready — I could manage parts of it,Mostly ready — I'd handle it with some effort,Fully ready — I could begin right now
2720,confident,How confident are you that you can eventually succeed in a completely different industry culture?,Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
2725,hopeful,"Even if adapting to a new industry feels difficult now, how hopeful are you that you can eventually adjust successfully?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
2726,confident,"During career or life transitions, how financially secure do you usually feel?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
2730,confident,How confident are you that you can maintain financial stability during future transitions or changes?,Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
2745,confident,"Even if financial transitions feel stressful now, how confident are you that you can achieve long-term financial stability?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
2750,hopeful,"Even if financial transitions feel uncertain now, how hopeful are you that you can build stable and stress-free financial habits over time?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
2751,confident,How confident are you in your ability to shift into an entirely new industry when required?,Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
2755,confident,"Even if changing industries feels difficult now, how confident are you that you can successfully reinvent your career over time?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
2770,confident,"Even if switching industries feels difficult now, how confident are you that you can successfully reinvent your career in the future?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
2775,hopeful,"Even if your current skills feel limited for a new industry, how hopeful are you that you can successfully reinvent yourself over time?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
2776,confident,How confident do you feel in managing emotional stress caused by uncertainty about your future career?,Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
2780,clear,"If your career direction is unclear for the next year, how well do you think you can emotionally manage that situation?",Not clear at all — I have no idea,Slightly clear — mostly unsure,Moderately clear — somewhat formed,Mostly clear — fairly defined,Completely clear — I know exactly
2795,confident,How confident are you that you can eventually handle career uncertainty without emotional stress?,Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
2800,hopeful,"Even if your career path feels unclear now, how hopeful are you that you will eventually find clarity?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
2801,stable,"While dealing with family financial dependence, how emotionally stable do you usually feel?",Not stable at all — I feel easily shaken,Slightly stable — I waver often,Moderately stable — it varies a lot,Mostly stable — I stay steady most times,Very stable — I stay calm and grounded
2805,stable,"If your familys financial dependence continues, how emotionally sustainable would your current situation feel?",Not stable at all — I feel easily shaken,Slightly stable — I waver often,Moderately stable — it varies a lot,Mostly stable — I stay steady most times,Very stable — I stay calm and grounded
2820,confident,"Even if financial responsibility continues, how confident are you that you can manage it without emotional burnout over time?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
2825,hopeful,"Even if family financial dependence feels emotionally heavy now, how hopeful are you that you can build a stable and emotionally balanced future over time?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
2826,confident,How confident are you in successfully reinventing your career while staying true to your identity and maintaining stability?,Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
2830,confident,"Even if you decide to reinvent your career, how confident are you that you can maintain emotional and financial stability?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
2845,confident,"Even if career reinvention feels uncertain now, how confident are you that you can build both stability and identity clarity over time?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
2850,hopeful,"Even if changing careers feels emotionally risky now, how hopeful are you that you can achieve stability and identity clarity through reinvention over time?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
2851,prepared,How prepared do you feel to reinvent your skills while maintaining employability and emotional stability together?,Not prepared at all — I'd struggle to begin,Slightly prepared — I'd need much more,Moderately prepared — I could manage parts of it,Well prepared — I'd handle it with some effort,Fully prepared — I'm ready right now
2855,ready,"If your career required a major shift tomorrow, how ready would you feel to adapt without losing emotional balance?",Not ready at all — I'd struggle to begin,Slightly ready — I'd need much more,Moderately ready — I could manage parts of it,Mostly ready — I'd handle it with some effort,Fully ready — I could begin right now
2870,confident,How confident are you that you can reinvent your skills without losing emotional stability or employability?,Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
2875,hopeful,"Even if reinvention feels difficult now, how hopeful are you that you can build a stable, employable, and emotionally balanced future?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
2876,stable,"While trying to reinvent yourself professionally, how emotionally stable and internally aligned do you usually feel?",Not stable at all — I feel easily shaken,Slightly stable — I waver often,Moderately stable — it varies a lot,Mostly stable — I stay steady most times,Very stable — I stay calm and grounded
2880,confident,"Even with continuous reinvention efforts, how confident are you that you can stay emotionally stable and authentic long-term?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
2895,confident,"Even if reinvention feels emotionally tiring now, how confident are you that you can build a stable and authentic long-term career identity?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
2900,hopeful,"Even if balancing reinvention, identity, employability, and emotional stability feels overwhelming now, how hopeful are you that you can achieve long-term clarity and balance?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
2901,confident,"During mentally demanding tasks, how consistently are you able to maintain your focus?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
2905,confident,"Even in highly demanding environments, how confident are you in sustaining long-term focus?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
2920,confident,"Even if current focus is inconsistent under pressure, how confident are you that you can improve sustained attention over time?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
2925,hopeful,"Even if sustaining focus during heavy mental load feels difficult now, how hopeful are you that you can develop strong and consistent concentration over time?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
2926,confident,How confident do you feel in managing stress and avoiding burnout in high-pressure work situations?,Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
2930,prepared,"If you were in a demanding job for several months, how prepared would you feel to maintain energy and mental balance?",Not prepared at all — I'd struggle to begin,Slightly prepared — I'd need much more,Moderately prepared — I could manage parts of it,Well prepared — I'd handle it with some effort,Fully prepared — I'm ready right now
2945,confident,How confident are you that you can handle long-term workload pressure without burning out?,Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
2950,hopeful,"Even if you feel stressed now, how hopeful are you that you can manage future workplace pressure effectively?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
2951,stable,"While pursuing career growth, how emotionally stable do you generally feel in relation to your professional identity?",Not stable at all — I feel easily shaken,Slightly stable — I waver often,Moderately stable — it varies a lot,Mostly stable — I stay steady most times,Very stable — I stay calm and grounded
2955,confident,"Even if your career path continues to evolve, how confident are you that you can maintain emotional stability and a strong identity?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
2970,confident,"Even if career uncertainty continues, how confident are you that you can maintain emotional stability and a strong professional identity?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
2975,hopeful,"Even if balancing career growth, emotional stability, and identity feels difficult now, how hopeful are you that you can achieve long-term alignment and stability?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
2976,balanced,"While trying to improve productivity and personal growth, how emotionally balanced do you usually feel?",Not balanced at all — I feel pulled apart,Slightly balanced — I struggle often,Moderately balanced — it varies a lot,Mostly balanced — I manage it well,Very balanced — I feel well in control
2980,confident,"Even if maintaining productivity is demanding, how confident are you that you can sustain both growth and emotional wellbeing long-term?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
2995,confident,"Even if maintaining productivity feels difficult now, how confident are you that you can achieve a healthy balance between growth and emotional wellbeing over time?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
3000,hopeful,"Even if balancing productivity, growth, and emotional wellbeing feels challenging now, how hopeful are you that you can build a sustainable and fulfilling routine over time?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
3001,prepared,"How prepared do you feel to balance career growth, personal well-being, and your sense of identity together?",Not prepared at all — I'd struggle to begin,Slightly prepared — I'd need much more,Moderately prepared — I could manage parts of it,Well prepared — I'd handle it with some effort,Fully prepared — I'm ready right now
3005,ready,"If your career progressed rapidly, how ready would you feel to maintain your well-being and personal identity simultaneously?",Not ready at all — I'd struggle to begin,Slightly ready — I'd need much more,Moderately ready — I could manage parts of it,Mostly ready — I'd handle it with some effort,Fully ready — I could begin right now
3020,confident,How confident are you that you can build a successful career without losing your identity or well-being?,Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
3025,hopeful,"Even if balancing career, identity, and well-being feels difficult now, how hopeful are you that you can eventually achieve it?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
3026,stable,How well are you able to maintain productivity while staying emotionally stable and focused on long-term career growth and wellbeing?,Not stable at all — I feel easily shaken,Slightly stable — I waver often,Moderately stable — it varies a lot,Mostly stable — I stay steady most times,Very stable — I stay calm and grounded
3030,confident,"If your current lifestyle continues, how sustainable would your balance between productivity, emotional health, and career growth feel?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
3045,confident,"Even if balancing productivity, emotions, and career feels difficult now, how confident are you that you can achieve long-term sustainable growth?",Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
3050,hopeful,"Even if achieving balance across productivity, emotional stability, career growth, and wellbeing feels challenging now, how hopeful are you that you can build a sustainable and fulfilling life over time?",Not hopeful at all — I can't see it improving,Slightly hopeful — but I have real doubts,Moderately hopeful — it might improve,Quite hopeful — I believe it can improve,Very hopeful — I'm confident it will improve
3051,confident,How confident are you in identifying learning gaps across an entire school or class early in the academic cycle?,Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
3055,confident,How confident are you that you can consistently identify learning gaps early in future academic cycles?,Not confident at all — I really doubt I can,Slightly confident — I have strong doubts,Moderately confident — it could go either way,Quite confident — I believe I can with effort,Completely confident — I'm sure I can
