intent,target_id,target_tag,before_class,after_class,resolved_id,confidence
"i have trouble with emotional control during negative feedback",CONCERN_DIS_126,SOCIAL_EMOTIONAL,drift,exact,CONCERN_DIS_126,43
"i keep struggling with emotional control during negative feedback",CONCERN_DIS_126,SOCIAL_EMOTIONAL,drift,exact,CONCERN_DIS_126,36
"i cannot manage emotional control during negative feedback",CONCERN_DIS_126,SOCIAL_EMOTIONAL,drift,exact,CONCERN_DIS_126,36
"i need help with emotional control during negative feedback",CONCERN_DIS_126,SOCIAL_EMOTIONAL,drift,exact,CONCERN_DIS_126,36
"i keep struggling with emotional recovery after negative comparisons",CONCERN_DIS_154,CONFIDENCE_SELF,drift,exact,CONCERN_DIS_154,37
"i have trouble with study discipline",CONCERN_DIS_1660,DISCIPLINE_HABITS,drift,exact,CONCERN_DIS_1660,36
"i have trouble with consistency in performance",CONCERN_DIS_1662,ACADEMIC_PERFORMANCE,drift,exact,CONCERN_DIS_1662,36
"i have trouble with academic expectations",CONCERN_DIS_1695,EXAMINATION_STRESS,drift,exact,CONCERN_DIS_1695,32
"peer pressure",CONCERN_DIS_1745,SOCIAL_EMOTIONAL,drift,exact,CONCERN_DIS_1745,45
"i have trouble with peer pressure",CONCERN_DIS_1745,SOCIAL_EMOTIONAL,drift,exact,CONCERN_DIS_1745,32
"tuition dependency",CONCERN_DIS_1762,ACADEMIC_COGNITIVE,drift,exact,CONCERN_DIS_1762,49
"i struggle with tuition dependency",CONCERN_DIS_1762,ACADEMIC_COGNITIVE,drift,exact,CONCERN_DIS_1762,37
"i have trouble with tuition dependency",CONCERN_DIS_1762,ACADEMIC_COGNITIVE,drift,exact,CONCERN_DIS_1762,37
"weak emotional regulation",CONCERN_DIS_1780,EXAMINATION_STRESS,drift,exact,CONCERN_DIS_1780,33
"i have trouble with emotional regulation",CONCERN_DIS_1780,EXAMINATION_STRESS,drift,exact,CONCERN_DIS_1780,30
"i keep struggling with child showing emotional fatigue from constant comparison",CONCERN_DIS_1900,CONFIDENCE_SELF,drift,exact,CONCERN_DIS_1900,34
"i cannot manage child showing emotional fatigue from constant comparison",CONCERN_DIS_1900,CONFIDENCE_SELF,drift,exact,CONCERN_DIS_1900,34
"i need help with child showing emotional fatigue from constant comparison",CONCERN_DIS_1900,CONFIDENCE_SELF,drift,exact,CONCERN_DIS_1900,34
"i cannot manage revising without guidance",CONCERN_DIS_2011,EXAMINATION_READINESS,drift,exact,CONCERN_DIS_2011,39
"i struggle with concept simplification ability",CONCERN_DIS_2074,COMMUNICATION_EXPRESSION,drift,exact,CONCERN_DIS_2074,41
"i keep struggling with concept simplification ability",CONCERN_DIS_2074,COMMUNICATION_EXPRESSION,drift,exact,CONCERN_DIS_2074,41
"i keep struggling with handling students with weak concept transfer skills",CONCERN_DIS_2252,INTERDISCIPLINARY_LEARNING,drift,exact,CONCERN_DIS_2252,31
"i cannot manage handling students with weak concept transfer skills",CONCERN_DIS_2252,INTERDISCIPLINARY_LEARNING,drift,failure,,0
"i cannot manage handling students with weak cognitive accuracy under pressure",CONCERN_DIS_2288,THINKING_QUALITY,drift,failure,,0
"i need help with handling students with weak cognitive accuracy under pressure",CONCERN_DIS_2288,THINKING_QUALITY,drift,failure,,0
"i need help with supporting students with weak learning recovery after academic breaks",CONCERN_DIS_2292,ACADEMIC_COGNITIVE,drift,failure,,0
"i keep struggling with child becoming emotionally reactive during feedback",CONCERN_DIS_2329,SOCIAL_EMOTIONAL,drift,exact,CONCERN_DIS_2329,36
"i cannot manage child becoming emotionally reactive during feedback",CONCERN_DIS_2329,SOCIAL_EMOTIONAL,drift,exact,CONCERN_DIS_2329,36
"i need help with child becoming emotionally reactive during feedback",CONCERN_DIS_2329,SOCIAL_EMOTIONAL,drift,exact,CONCERN_DIS_2329,36
"i need help with students with weak numerical reasoning",CONCERN_DIS_2455,STEM_LEARNING,drift,exact,CONCERN_DIS_2455,37
"i need help with supporting students with weak learning structure across subjects",CONCERN_DIS_2460,ACADEMIC_COGNITIVE,drift,failure,,0
"i keep struggling with solving unfamiliar problems",CONCERN_DIS_286,THINKING_QUALITY,drift,exact,CONCERN_DIS_286,39
"weak emotional stability during career uncertainty",CONCERN_DIS_36,EXAMINATION_STRESS,drift,exact,CONCERN_DIS_36,39
"i struggle with emotional stability during career uncertainty",CONCERN_DIS_36,EXAMINATION_STRESS,drift,exact,CONCERN_DIS_36,38
"i have trouble with emotional stability during career uncertainty",CONCERN_DIS_36,EXAMINATION_STRESS,drift,exact,CONCERN_DIS_36,38
"i keep struggling with emotional stability during career uncertainty",CONCERN_DIS_36,EXAMINATION_STRESS,drift,exact,CONCERN_DIS_36,31
"i need help with emotional stability during career uncertainty",CONCERN_DIS_36,EXAMINATION_STRESS,drift,exact,CONCERN_DIS_36,31
"i need help with handle technical assessments under pressure",CONCERN_DIS_488,EXAMINATION_READINESS,drift,exact,CONCERN_DIS_488,37
"difficulty managing emotional fatigue from networking efforts",CONCERN_DIS_545,SOCIAL_EMOTIONAL,drift,exact,CONCERN_DIS_545,38
"i struggle with emotional fatigue from networking efforts",CONCERN_DIS_545,SOCIAL_EMOTIONAL,drift,exact,CONCERN_DIS_545,41
"i have trouble with emotional fatigue from networking efforts",CONCERN_DIS_545,SOCIAL_EMOTIONAL,drift,exact,CONCERN_DIS_545,41
"i keep struggling with emotional fatigue from networking efforts",CONCERN_DIS_545,SOCIAL_EMOTIONAL,drift,exact,CONCERN_DIS_545,36
"i cannot manage emotional fatigue from networking efforts",CONCERN_DIS_545,SOCIAL_EMOTIONAL,drift,exact,CONCERN_DIS_545,36
"i need help with emotional fatigue from networking efforts",CONCERN_DIS_545,SOCIAL_EMOTIONAL,drift,exact,CONCERN_DIS_545,36
"i keep struggling with building confidence after public professional failure",CONCERN_DIS_555,EMOTIONAL_RECOVERY,drift,exact,CONCERN_DIS_555,34
"weak ability to build long-term professional confidence",CONCERN_EMO_1106,CONFIDENCE_SELF,drift,exact,CONCERN_EMO_1106,36
"i struggle with build long-term professional confidence",CONCERN_EMO_1106,CONFIDENCE_SELF,drift,near,CONCERN_CAR_256,35
"i have trouble with build long-term professional confidence",CONCERN_EMO_1106,CONFIDENCE_SELF,drift,exact,CONCERN_EMO_1106,38
"i keep struggling with build long-term professional confidence",CONCERN_EMO_1106,CONFIDENCE_SELF,drift,exact,CONCERN_EMO_1106,33
"i need help with build long-term professional confidence",CONCERN_EMO_1106,CONFIDENCE_SELF,drift,exact,CONCERN_EMO_1106,33
"i have trouble with emotional pressure from team dependencies",CONCERN_EMO_1137,COLLABORATION_OWNERSHIP,drift,failure,,0
"i keep struggling with sustaining emotional stability during economic uncertainty",CONCERN_EMO_1159,EMPLOYABILITY,drift,exact,CONCERN_EMO_1159,32
"i cannot manage sustaining emotional stability during economic uncertainty",CONCERN_EMO_1159,EMPLOYABILITY,drift,exact,CONCERN_EMO_1159,32
"i need help with sustaining emotional stability during economic uncertainty",CONCERN_EMO_1159,EMPLOYABILITY,drift,exact,CONCERN_EMO_1159,32
"i keep struggling with visibility into real classroom participation equity",CONCERN_EMO_1202,COLLABORATION_OWNERSHIP,drift,exact,CONCERN_EMO_1202,36
"i cannot manage visibility into real classroom participation equity",CONCERN_EMO_1202,COLLABORATION_OWNERSHIP,drift,exact,CONCERN_EMO_1202,36
"i need help with visibility into real classroom participation equity",CONCERN_EMO_1202,COLLABORATION_OWNERSHIP,drift,exact,CONCERN_EMO_1202,36
"i keep struggling with student readiness for entrepreneurial careers",CONCERN_EMO_1341,INNOVATION_ENTREPRENEURSHIP,drift,exact,CONCERN_EMO_1341,36
"weak ability to identify transferable skills",CONCERN_EMO_252,CAREER_READINESS,drift,exact,CONCERN_EMO_252,36
"i struggle with identify transferable skills",CONCERN_EMO_252,CAREER_READINESS,drift,exact,CONCERN_EMO_252,40
"i have trouble with identify transferable skills",CONCERN_EMO_252,CAREER_READINESS,drift,exact,CONCERN_EMO_252,40
"i keep struggling with identify transferable skills",CONCERN_EMO_252,CAREER_READINESS,drift,exact,CONCERN_EMO_252,34
"i cannot manage identify transferable skills",CONCERN_EMO_252,CAREER_READINESS,drift,exact,CONCERN_EMO_252,34
"i need help with identify transferable skills",CONCERN_EMO_252,CAREER_READINESS,drift,exact,CONCERN_EMO_252,34
"weak awareness of industry-relevant competencies",CONCERN_EMO_274,CAREER_READINESS,drift,exact,CONCERN_EMO_274,32
"i keep struggling with awareness of personal learning style effectiveness",CONCERN_EMO_294,SELF_REFLECTION,drift,exact,CONCERN_EMO_294,35
"i cannot manage awareness of personal learning style effectiveness",CONCERN_EMO_294,SELF_REFLECTION,drift,exact,CONCERN_EMO_294,35
"i need help with awareness of personal learning style effectiveness",CONCERN_EMO_294,SELF_REFLECTION,drift,exact,CONCERN_EMO_294,35
"i struggle with group discussions",CONCERN_EMO_366,COMMUNICATION_EXPRESSION,drift,exact,CONCERN_EMO_366,38
"i have trouble with group discussions",CONCERN_EMO_366,COMMUNICATION_EXPRESSION,drift,exact,CONCERN_EMO_366,38
"weak ability to build recruiter relationships",CONCERN_EMO_514,SOCIAL_EMOTIONAL,drift,exact,CONCERN_EMO_514,36
"i struggle with build recruiter relationships",CONCERN_EMO_514,SOCIAL_EMOTIONAL,drift,exact,CONCERN_EMO_514,40
"i have trouble with build recruiter relationships",CONCERN_EMO_514,SOCIAL_EMOTIONAL,drift,exact,CONCERN_EMO_514,40
"i keep struggling with build recruiter relationships",CONCERN_EMO_514,SOCIAL_EMOTIONAL,drift,exact,CONCERN_EMO_514,34
"i cannot manage build recruiter relationships",CONCERN_EMO_514,SOCIAL_EMOTIONAL,drift,exact,CONCERN_EMO_514,34
"i need help with build recruiter relationships",CONCERN_EMO_514,SOCIAL_EMOTIONAL,drift,exact,CONCERN_EMO_514,34
"weak ability to build credibility in new domains quickly",CONCERN_EMO_550,CAREER_TRANSITION,drift,exact,CONCERN_EMO_550,38
"i keep struggling with build credibility in new domains quickly",CONCERN_EMO_550,CAREER_TRANSITION,drift,exact,CONCERN_EMO_550,36
"i cannot manage build credibility in new domains quickly",CONCERN_EMO_550,CAREER_TRANSITION,drift,exact,CONCERN_EMO_550,36
"i need help with build credibility in new domains quickly",CONCERN_EMO_550,CAREER_TRANSITION,drift,exact,CONCERN_EMO_550,36
"i keep struggling with handling difficult conversations",CONCERN_EMO_577,COMMUNICATION_EXPRESSION,drift,exact,CONCERN_EMO_577,39
"i need help with handling difficult conversations",CONCERN_EMO_577,COMMUNICATION_EXPRESSION,drift,exact,CONCERN_EMO_577,38
"i struggle with understanding long-term career growth pathways",CONCERN_EMO_679,CAREER_GROWTH,drift,exact,CONCERN_EMO_679,43
"i have trouble with understanding long-term career growth pathways",CONCERN_EMO_679,CAREER_GROWTH,drift,exact,CONCERN_EMO_679,43
"i keep struggling with understanding long-term career growth pathways",CONCERN_EMO_679,CAREER_GROWTH,drift,exact,CONCERN_EMO_679,35
"i cannot manage understanding long-term career growth pathways",CONCERN_EMO_679,CAREER_GROWTH,drift,exact,CONCERN_EMO_679,35
"i need help with understanding long-term career growth pathways",CONCERN_EMO_679,CAREER_GROWTH,drift,failure,,0
"i cannot manage driving organizational change",CONCERN_EMO_784,STRATEGIC_LEADERSHIP,drift,exact,CONCERN_EMO_784,38
"i struggle with build leadership alignment across geographies",CONCERN_EMO_886,COLLABORATION_OWNERSHIP,drift,exact,CONCERN_EMO_886,33
"i have trouble with build leadership alignment across geographies",CONCERN_EMO_886,COLLABORATION_OWNERSHIP,drift,exact,CONCERN_EMO_886,33
"i keep struggling with build leadership alignment across geographies",CONCERN_EMO_886,COLLABORATION_OWNERSHIP,drift,exact,CONCERN_EMO_886,33
"i cannot manage build leadership alignment across geographies",CONCERN_EMO_886,COLLABORATION_OWNERSHIP,drift,exact,CONCERN_EMO_886,33
"i need help with build leadership alignment across geographies",CONCERN_EMO_886,COLLABORATION_OWNERSHIP,drift,exact,CONCERN_EMO_886,33
"i cannot manage emotional pressure from past career success comparisons",CONCERN_EMP_1053,CONFIDENCE_SELF,drift,exact,CONCERN_EMP_1053,37
"i struggle with emotional reactions to workplace politics",CONCERN_EMP_1071,WORKPLACE_ADAPTATION,drift,exact,CONCERN_EMP_1071,41
"i have trouble with emotional reactions to workplace politics",CONCERN_EMP_1071,WORKPLACE_ADAPTATION,drift,exact,CONCERN_EMP_1071,41
"i keep struggling with emotional reactions to workplace politics",CONCERN_EMP_1071,WORKPLACE_ADAPTATION,drift,exact,CONCERN_EMP_1071,36
"i cannot manage emotional reactions to workplace politics",CONCERN_EMP_1071,WORKPLACE_ADAPTATION,drift,exact,CONCERN_EMP_1071,36
"i need help with emotional reactions to workplace politics",CONCERN_EMP_1071,WORKPLACE_ADAPTATION,drift,exact,CONCERN_EMP_1071,36
"difficulty managing emotional stress during leadership reviews",CONCERN_EMP_1095,LEADERSHIP_OWNERSHIP,drift,exact,CONCERN_EMP_1095,35
"i keep struggling with visibility into institutional collaboration culture",CONCERN_EMP_1214,COLLABORATION_OWNERSHIP,drift,exact,CONCERN_EMP_1214,36
"i keep struggling with visibility into student self-learning capability",CONCERN_EMP_1238,COMPETENCY_DEVELOPMENT,drift,exact,CONCERN_EMP_1238,35
"i need help with visibility into student career direction clarity",CONCERN_EMP_1318,CAREER_GROWTH,drift,failure,,0
"i have trouble with placement pressure",CONCERN_EMP_17,EXAMINATION_STRESS,drift,exact,CONCERN_EMP_17,34
"i keep struggling with building consistent learning habits in college",CONCERN_EMP_21,DISCIPLINE_HABITS,drift,exact,CONCERN_EMP_21,34
"i struggle with building long-term career vision",CONCERN_EMP_31,CAREER_READINESS,drift,exact,CONCERN_EMP_31,40
"i have trouble with building long-term career vision",CONCERN_EMP_31,CAREER_READINESS,drift,exact,CONCERN_EMP_31,40
"i keep struggling with building long-term career vision",CONCERN_EMP_31,CAREER_READINESS,drift,exact,CONCERN_EMP_31,35
"i cannot manage building long-term career vision",CONCERN_EMP_31,CAREER_READINESS,drift,exact,CONCERN_EMP_31,35
"i need help with building long-term career vision",CONCERN_EMP_31,CAREER_READINESS,drift,exact,CONCERN_EMP_31,35
"i have trouble with rejection during placements",CONCERN_EMP_33,EXAMINATION_STRESS,drift,exact,CONCERN_EMP_33,39
"i keep struggling with rejection during placements",CONCERN_EMP_33,EXAMINATION_STRESS,drift,exact,CONCERN_EMP_33,34
"i cannot manage rejection during placements",CONCERN_EMP_33,EXAMINATION_STRESS,drift,exact,CONCERN_EMP_33,34
"i need help with rejection during placements",CONCERN_EMP_33,EXAMINATION_STRESS,drift,exact,CONCERN_EMP_33,34
"i cannot manage building confidence in professional writing",CONCERN_EMP_395,COMMUNICATION_EXPRESSION,drift,exact,CONCERN_EMP_395,35
"i cannot manage building long-term confidence after low salary offers",CONCERN_EMP_413,CONFIDENCE_SELF,drift,exact,CONCERN_EMP_413,33
"i need help with building long-term confidence after low salary offers",CONCERN_EMP_413,CONFIDENCE_SELF,drift,exact,CONCERN_EMP_413,33
"i have trouble with job interviews",CONCERN_EMP_462,COMMUNICATION_EXPRESSION,drift,exact,CONCERN_EMP_462,37
"i cannot manage transitioning into enterprise-level leadership",CONCERN_EMP_794,LEADERSHIP_READINESS,drift,exact,CONCERN_EMP_794,41
"i keep struggling with sustaining motivation over long academic cycles",CONCERN_ENG_1466,LONG_TERM,drift,exact,CONCERN_ENG_1466,36
"i cannot manage sustaining motivation over long academic cycles",CONCERN_ENG_1466,LONG_TERM,drift,exact,CONCERN_ENG_1466,36
"i struggle with difficulty maintaining focus during long study hours",CONCERN_EXA_111,ACADEMIC_COGNITIVE,drift,exact,CONCERN_EXA_111,39
"i have trouble with difficulty maintaining focus during long study hours",CONCERN_EXA_111,ACADEMIC_COGNITIVE,drift,exact,CONCERN_EXA_111,39
"i keep struggling with difficulty maintaining focus during long study hours",CONCERN_EXA_111,ACADEMIC_COGNITIVE,drift,exact,CONCERN_EXA_111,32
"i cannot manage difficulty maintaining focus during long study hours",CONCERN_EXA_111,ACADEMIC_COGNITIVE,drift,exact,CONCERN_EXA_111,32
"i need help with difficulty maintaining focus during long study hours",CONCERN_EXA_111,ACADEMIC_COGNITIVE,drift,near,CONCERN_COM_2453,32
"i struggle with solving high-weightage problems",CONCERN_EXA_142,CONFIDENCE_SELF,drift,exact,CONCERN_EXA_142,44
"i keep struggling with solving high-weightage problems",CONCERN_EXA_142,CONFIDENCE_SELF,drift,exact,CONCERN_EXA_142,43
"fear of exams",CONCERN_EXA_1665,EXAMINATION_STRESS,drift,exact,CONCERN_EXA_1665,49
"i struggle with fear of exams",CONCERN_EXA_1665,EXAMINATION_STRESS,drift,near,CONCERN_MOT_2172,24
"i have trouble with fear of exams",CONCERN_EXA_1665,EXAMINATION_STRESS,drift,exact,CONCERN_EXA_1665,35
"difficulty handling academic pressure",CONCERN_EXA_1667,EXAMINATION_STRESS,drift,exact,CONCERN_EXA_1667,30
"i have trouble with academic pressure",CONCERN_EXA_1667,EXAMINATION_STRESS,drift,near,CONCERN_ACA_1731,30
"i keep struggling with solving application-based questions",CONCERN_EXA_1709,COMPETENCY_DEVELOPMENT,drift,exact,CONCERN_EXA_1709,38
"i have trouble with academic endurance",CONCERN_EXA_1715,ACADEMIC_PERFORMANCE,drift,exact,CONCERN_EXA_1715,38
"screen addiction",CONCERN_EXA_1732,LIFESTYLE_PRESSURE,drift,exact,CONCERN_EXA_1732,54
"i struggle with screen addiction",CONCERN_EXA_1732,LIFESTYLE_PRESSURE,drift,exact,CONCERN_EXA_1732,42
"i have trouble with screen addiction",CONCERN_EXA_1732,LIFESTYLE_PRESSURE,drift,exact,CONCERN_EXA_1732,42
"i need help with motivation",CONCERN_EXA_1743,MOTIVATION_VALUES,drift,near,CONCERN_STE_2219,25
"social isolation",CONCERN_EXA_1748,ADJUSTMENT_COPING,drift,exact,CONCERN_EXA_1748,48
"i struggle with social isolation",CONCERN_EXA_1748,ADJUSTMENT_COPING,drift,exact,CONCERN_EXA_1748,36
"i have trouble with social isolation",CONCERN_EXA_1748,ADJUSTMENT_COPING,drift,exact,CONCERN_EXA_1748,36
"low resilience",CONCERN_EXA_1755,EXAMINATION_STRESS,drift,exact,CONCERN_EXA_1755,37
"lack of purpose & direction",CONCERN_EXA_1760,ACADEMIC_IDENTITY,drift,exact,CONCERN_EXA_1760,40
"i struggle with purpose & direction",CONCERN_EXA_1760,ACADEMIC_IDENTITY,drift,exact,CONCERN_EXA_1760,38
"i have trouble with purpose & direction",CONCERN_EXA_1760,ACADEMIC_IDENTITY,drift,exact,CONCERN_EXA_1760,38
"study burnout",CONCERN_EXA_1764,EXAMINATION_STRESS,drift,exact,CONCERN_EXA_1764,47
"i struggle with study burnout",CONCERN_EXA_1764,EXAMINATION_STRESS,drift,exact,CONCERN_EXA_1764,35
"i have trouble with study burnout",CONCERN_EXA_1764,EXAMINATION_STRESS,drift,exact,CONCERN_EXA_1764,35
"i have trouble with reading habits",CONCERN_EXA_1765,FOUNDATIONAL_LEARNING,drift,exact,CONCERN_EXA_1765,37
"fear of judgement",CONCERN_EXA_1781,CONFIDENCE_SELF,drift,exact,CONCERN_EXA_1781,49
"i struggle with fear of judgement",CONCERN_EXA_1781,CONFIDENCE_SELF,drift,exact,CONCERN_EXA_1781,36
"i have trouble with fear of judgement",CONCERN_EXA_1781,CONFIDENCE_SELF,drift,exact,CONCERN_EXA_1781,36
"i struggle with group discussions",CONCERN_EXA_18,COMMUNICATION_EXPRESSION,drift,near,CONCERN_EMO_366,38
"i have trouble with group discussions",CONCERN_EXA_18,COMMUNICATION_EXPRESSION,drift,near,CONCERN_EMO_366,38
"i struggle with emotional over-sensitivity",CONCERN_EXA_1803,SOCIAL_EMOTIONAL,drift,exact,CONCERN_EXA_1803,41
"constant overthinking",CONCERN_EXA_1824,EXAMINATION_STRESS,drift,exact,CONCERN_EXA_1824,50
"i struggle with constant overthinking",CONCERN_EXA_1824,EXAMINATION_STRESS,drift,exact,CONCERN_EXA_1824,38
"i have trouble with constant overthinking",CONCERN_EXA_1824,EXAMINATION_STRESS,drift,exact,CONCERN_EXA_1824,38
"emotional exhaustion",CONCERN_EXA_1825,EXAMINATION_STRESS,drift,exact,CONCERN_EXA_1825,45
"i have trouble with emotional exhaustion",CONCERN_EXA_1825,EXAMINATION_STRESS,drift,exact,CONCERN_EXA_1825,33
"i cannot manage chronic academic stress",CONCERN_EXA_1831,EXAMINATION_STRESS,drift,exact,CONCERN_EXA_1831,38
"i need help with chronic academic stress",CONCERN_EXA_1831,EXAMINATION_STRESS,drift,exact,CONCERN_EXA_1831,38
"fear of competitive exams",CONCERN_EXA_1832,EXAMINATION_STRESS,drift,exact,CONCERN_EXA_1832,48
"i struggle with fear of competitive exams",CONCERN_EXA_1832,EXAMINATION_STRESS,drift,failure,,0
"i have trouble with fear of competitive exams",CONCERN_EXA_1832,EXAMINATION_STRESS,drift,exact,CONCERN_EXA_1832,39
"i keep struggling with fear of competitive exams",CONCERN_EXA_1832,EXAMINATION_STRESS,drift,exact,CONCERN_EXA_1832,33
"i cannot manage fear of competitive exams",CONCERN_EXA_1832,EXAMINATION_STRESS,drift,exact,CONCERN_EXA_1832,33
"lack of career awareness",CONCERN_EXA_1833,ACADEMIC_IDENTITY,drift,exact,CONCERN_EXA_1833,37
"i have trouble with career awareness",CONCERN_EXA_1833,ACADEMIC_IDENTITY,drift,exact,CONCERN_EXA_1833,33
"i keep struggling with child avoiding difficult subjects completely",CONCERN_EXA_1912,ACADEMIC_COGNITIVE,drift,exact,CONCERN_EXA_1912,36
"i cannot manage child avoiding difficult subjects completely",CONCERN_EXA_1912,ACADEMIC_COGNITIVE,drift,exact,CONCERN_EXA_1912,36
"i need help with child avoiding difficult subjects completely",CONCERN_EXA_1912,ACADEMIC_COGNITIVE,drift,exact,CONCERN_EXA_1912,36
"i keep struggling with child becoming emotionally aggressive online",CONCERN_EXA_1916,LIFESTYLE_PRESSURE,drift,exact,CONCERN_EXA_1916,35
"i cannot manage child becoming emotionally aggressive online",CONCERN_EXA_1916,LIFESTYLE_PRESSURE,drift,exact,CONCERN_EXA_1916,35
"i need help with child becoming emotionally aggressive online",CONCERN_EXA_1916,LIFESTYLE_PRESSURE,drift,exact,CONCERN_EXA_1916,35
"weak goal orientation",CONCERN_EXA_1962,MOTIVATION_VALUES,drift,exact,CONCERN_EXA_1962,38
"i struggle with goal orientation",CONCERN_EXA_1962,MOTIVATION_VALUES,drift,exact,CONCERN_EXA_1962,38
"i have trouble with goal orientation",CONCERN_EXA_1962,MOTIVATION_VALUES,drift,exact,CONCERN_EXA_1962,38
"i struggle with multiple subjects",CONCERN_EXA_1972,ACADEMIC_COGNITIVE,drift,near,CONCERN_COM_1684,36
"i have trouble with multiple subjects",CONCERN_EXA_1972,ACADEMIC_COGNITIVE,drift,near,CONCERN_COM_1684,36
"i need help with sustaining hope during long competitive journeys",CONCERN_EXA_199,MOTIVATION_VALUES,drift,exact,CONCERN_EXA_199,39
"i keep struggling with academic recovery after poor scores",CONCERN_EXA_2000,CONFIDENCE_SELF,drift,near,CONCERN_CAR_256,27
"i cannot manage academic recovery after poor scores",CONCERN_EXA_2000,CONFIDENCE_SELF,drift,exact,CONCERN_EXA_2000,32
"i need help with academic recovery after poor scores",CONCERN_EXA_2000,CONFIDENCE_SELF,drift,exact,CONCERN_EXA_2000,32
"weak long-term career vision",CONCERN_EXA_206,ACADEMIC_IDENTITY,drift,exact,CONCERN_EXA_206,38
"i struggle with long-term career vision",CONCERN_EXA_206,ACADEMIC_IDENTITY,drift,exact,CONCERN_EXA_206,37
"i have trouble with long-term career vision",CONCERN_EXA_206,ACADEMIC_IDENTITY,drift,exact,CONCERN_EXA_206,37
"i keep struggling with long-term career vision",CONCERN_EXA_206,ACADEMIC_IDENTITY,drift,exact,CONCERN_EXA_206,32
"i need help with long-term career vision",CONCERN_EXA_206,ACADEMIC_IDENTITY,drift,exact,CONCERN_EXA_206,32
"i struggle with consistency across subjects",CONCERN_EXA_2061,ACADEMIC_PERFORMANCE,drift,exact,CONCERN_EXA_2061,38
"i have trouble with consistency across subjects",CONCERN_EXA_2061,ACADEMIC_PERFORMANCE,drift,exact,CONCERN_EXA_2061,38
"i keep struggling with consistency across subjects",CONCERN_EXA_2061,ACADEMIC_PERFORMANCE,drift,exact,CONCERN_EXA_2061,32
"i cannot manage consistency across subjects",CONCERN_EXA_2061,ACADEMIC_PERFORMANCE,drift,exact,CONCERN_EXA_2061,32
"i need help with consistency across subjects",CONCERN_EXA_2061,ACADEMIC_PERFORMANCE,drift,exact,CONCERN_EXA_2061,32
"i keep struggling with adaptive problem-solving skills",CONCERN_EXA_2068,THINKING_QUALITY,drift,exact,CONCERN_EXA_2068,36
"i keep struggling with helping students recover after poor results",CONCERN_EXA_2141,CONFIDENCE_SELF,drift,exact,CONCERN_EXA_2141,34
"i cannot manage helping students recover after poor results",CONCERN_EXA_2141,CONFIDENCE_SELF,drift,exact,CONCERN_EXA_2141,34
"i need help with helping students recover after poor results",CONCERN_EXA_2141,CONFIDENCE_SELF,drift,exact,CONCERN_EXA_2141,41
"i need help with managing students with weak classroom engagement",CONCERN_EXA_2153,CLASSROOM_ENGAGEMENT,drift,exact,CONCERN_EXA_2153,31
"i keep struggling with supporting students with weak conceptual integration",CONCERN_EXA_2157,INTERDISCIPLINARY_LEARNING,drift,exact,CONCERN_EXA_2157,32
"i cannot manage supporting students with weak conceptual integration",CONCERN_EXA_2157,INTERDISCIPLINARY_LEARNING,drift,exact,CONCERN_EXA_2157,32
"i need help with supporting students with weak conceptual integration",CONCERN_EXA_2157,INTERDISCIPLINARY_LEARNING,drift,exact,CONCERN_EXA_2157,32
"i cannot manage supporting students with weak attention recovery",CONCERN_EXA_2159,ACADEMIC_COGNITIVE,drift,failure,,0
"i struggle with student burnout during competitive preparation",CONCERN_EXA_2168,EXAMINATION_STRESS,drift,exact,CONCERN_EXA_2168,39
"i have trouble with student burnout during competitive preparation",CONCERN_EXA_2168,EXAMINATION_STRESS,drift,exact,CONCERN_EXA_2168,39
"i keep struggling with student burnout during competitive preparation",CONCERN_EXA_2168,EXAMINATION_STRESS,drift,exact,CONCERN_EXA_2168,32
"i cannot manage student burnout during competitive preparation",CONCERN_EXA_2168,EXAMINATION_STRESS,drift,exact,CONCERN_EXA_2168,32
"i need help with student burnout during competitive preparation",CONCERN_EXA_2168,EXAMINATION_STRESS,drift,exact,CONCERN_EXA_2168,32
"i cannot manage supporting students with weak verbal participation",CONCERN_EXA_2169,COMMUNICATION_EXPRESSION,drift,exact,CONCERN_EXA_2169,32
"i keep struggling with supporting students with weak goal persistence",CONCERN_EXA_2171,MOTIVATION_VALUES,drift,exact,CONCERN_EXA_2171,31
"i need help with supporting students with weak goal persistence",CONCERN_EXA_2171,MOTIVATION_VALUES,drift,exact,CONCERN_EXA_2171,31
"i keep struggling with supporting students with weak practical application skills",CONCERN_EXA_2173,COMPETENCY_DEVELOPMENT,drift,exact,CONCERN_EXA_2173,32
"i cannot manage supporting students with weak practical application skills",CONCERN_EXA_2173,COMPETENCY_DEVELOPMENT,drift,exact,CONCERN_EXA_2173,32
"i need help with supporting students with weak practical application skills",CONCERN_EXA_2173,COMPETENCY_DEVELOPMENT,drift,exact,CONCERN_EXA_2173,32
"i cannot manage supporting students with weak reading fluency",CONCERN_EXA_2182,COMMUNICATION_EXPRESSION,drift,exact,CONCERN_EXA_2182,33
"i need help with supporting students with weak reading fluency",CONCERN_EXA_2182,COMMUNICATION_EXPRESSION,drift,failure,,0
"i cannot manage supporting students with weak interpretation skills",CONCERN_EXA_2196,COMMUNICATION_EXPRESSION,drift,exact,CONCERN_EXA_2196,32
"i keep struggling with supporting students with low academic curiosity",CONCERN_EXA_2235,MOTIVATION_VALUES,drift,exact,CONCERN_EXA_2235,32
