bridge_tag,concern_count,current_signal_count,tier3_links,question_count,candidate_signal_count,best_family,best_domain,best_similarity,evidence_strength,classification
TALENT_DISCOVERY,1,0,2,25,120,"exploration_drive_signals","Creativity Intelligence",0.2057,moderate,YELLOW
IDENTITY_CONFLICT,1,59,2,30,120,"personal_values_signals","Identity Intelligence",0.202,moderate,ALREADY_GROUNDED
GROWTH_ORIENTATION,1,0,2,39,120,"growth_orientation_signals","Motivational Intelligence",0.2815,strong,GREEN
VALUES_EXPLORATION,1,0,1,40,120,"personal_values_signals","Identity Intelligence",0.3235,strong,GREEN
BEHAVIORAL_REFLECTION,1,0,1,40,120,"self_awareness_signals","Identity Intelligence",0.2288,strong,GREEN
EXPLORATION_INHIBITION,1,25,4,25,120,"fear_signals","Emotional Intelligence",0.244,strong,ALREADY_GROUNDED
PERSONAL_DECISION,1,0,3,40,120,"decision_signals","Cognitive Intelligence",0.2012,moderate,YELLOW
RECOVERY_ORIENTATION,1,0,2,40,120,"setback_response_signals","Resilience Intelligence",0.3293,strong,GREEN
IDENTITY_EXPRESSION,1,0,1,25,120,"self_expression_signals","Identity Intelligence",0.3063,strong,GREEN
PERSONAL_POSITIONING,1,0,4,40,120,"personal_values_signals","Identity Intelligence",0.2277,strong,GREEN
ADAPTIVE_DEVELOPMENT,1,0,2,40,120,"adaptability_signals","Adaptive Intelligence",0.1877,moderate,YELLOW
EMOTIONAL_IDENTITY,1,0,4,25,120,"emotional_suppression_signals","Emotional Intelligence",0.2216,strong,GREEN
PURPOSE_DISCOVERY,1,0,1,25,120,"purpose_signals","Identity Intelligence",0.2696,strong,GREEN
COGNITIVE_SELF,1,0,2,50,80,"self_belief_signals","Identity Intelligence",0.2016,moderate,YELLOW
IDENTITY_INTEGRATION,1,0,3,75,120,"individuality_signals","Identity Intelligence",0.3028,strong,GREEN
GROWTH_MAPPING,1,0,2,40,120,"personal_values_signals","Identity Intelligence",0.1734,moderate,YELLOW
COGNITIVE_MAPPING,1,0,2,40,120,"comprehension_signals","Learning Intelligence",0.1764,moderate,YELLOW
BEHAVIORAL_AWARENESS,1,0,1,250,120,"responsiveness_signals","Behavioral Intelligence",0.2329,strong,GREEN
EMOTIONAL_SELF,1,0,2,25,160,"comprehension_signals","Learning Intelligence",0.1743,moderate,YELLOW
POTENTIAL_DISCOVERY,1,0,2,25,120,"role_fit_signals","Career Intelligence",0.1438,moderate,YELLOW
GROWTH_MEASUREMENT,1,0,1,40,120,"personal_values_signals","Identity Intelligence",0.1532,moderate,YELLOW
SELF_WORTH,1,29,4,50,120,"perfectionism_signals","Performance Intelligence",0.2369,strong,ALREADY_GROUNDED
ADAPTIVE_GROWTH,1,0,1,40,120,"adaptability_recovery_signals","Resilience Intelligence",0.2339,strong,GREEN
SELF_EXPRESSION,1,0,1,40,120,"self_expression_signals","Identity Intelligence",0.1755,moderate,YELLOW
ACCOUNTABILITY_DEVELOPMENT,1,0,1,50,120,"growth_leadership_signals","Leadership Intelligence",0.2123,moderate,YELLOW
PERSONAL_EXPANSION,1,0,3,25,120,"dependency_behavior_signals","Behavioral Intelligence",0.1865,moderate,YELLOW
SELF_MANAGEMENT,1,0,2,40,120,"motivational_volatility_signals","Motivational Intelligence",0.2185,strong,GREEN
PERSONAL_SUSTAINABILITY,1,0,1,40,120,"ambition_stability_signals","Motivational Intelligence",0.2622,strong,GREEN
RECOVERY_CAPABILITY,1,0,3,40,120,"setback_response_signals","Resilience Intelligence",0.2932,strong,GREEN
SELF_GROWTH,1,0,1,50,120,"growth_orientation_signals","Motivational Intelligence",0.2359,strong,GREEN
PERSONAL_IDENTITY,1,0,3,25,120,"identity_confusion_signals","Identity Intelligence",0.3106,strong,GREEN
GOAL_ALIGNMENT,1,0,1,50,120,"execution_alignment_signals","Decision Intelligence",0.2579,strong,GREEN
COGNITIVE_EMOTIONAL,1,0,4,150,120,"overthinking_signals","Cognitive Intelligence",0.246,strong,GREEN
FUTURE_SELF,1,0,2,25,120,"identity_clarity_signals","Identity Intelligence",0.2837,strong,GREEN
CAREER_REFLECTION,1,0,2,40,100,"career_clarity_signals","Career Intelligence",0.3734,strong,GREEN
STRENGTH_DISCOVERY,1,0,1,25,120,"personal_values_signals","Identity Intelligence",0.1816,moderate,YELLOW
CAREER_STABILITY,1,0,2,40,120,"career_exploration_signals","Career Intelligence",0.3523,strong,GREEN
DECISION_CONFIDENCE,1,0,4,40,100,"career_decision_signals","Career Intelligence",0.2454,strong,GREEN
CAREER_AUTONOMY,1,0,2,25,100,"career_execution_signals","Career Intelligence",0.2244,strong,GREEN
CAREER_EXPLORATION,1,0,3,40,100,"career_exploration_signals","Career Intelligence",0.3201,strong,GREEN
PERSONALITY_ALIGNMENT,1,0,3,40,140,"role_fit_signals","Career Intelligence",0.3127,strong,GREEN
CAREER_RISK,1,0,4,40,120,"career_decision_signals","Career Intelligence",0.2873,strong,GREEN
CAREER_PRIORITIZATION,1,0,2,25,100,"personal_values_signals","Identity Intelligence",0.3048,strong,GREEN
DECISION_INDEPENDENCE,1,33,4,25,120,"dependency_behavior_signals","Behavioral Intelligence",0.1749,moderate,ALREADY_GROUNDED
ASPIRATIONAL_CLARITY,1,0,3,40,100,"career_clarity_signals","Career Intelligence",0.2463,strong,GREEN
CAREER_TRADEOFF,1,0,2,40,120,"belonging_identity_signals","Identity Intelligence",0.1132,moderate,YELLOW
IDENTITY_REFLECTION,1,0,3,40,120,"learning_resilience_signals","Learning Intelligence",0.267,strong,GREEN
MULTI_POTENTIALITY,1,0,2,25,120,"work_life_balance_signals","Wellbeing Intelligence",0.1591,moderate,YELLOW
CAREER_TIMELINE,1,0,4,40,100,"career_decision_signals","Career Intelligence",0.2774,strong,GREEN
WORKPLACE_FIT,1,0,1,25,120,"role_fit_signals","Career Intelligence",0.2261,strong,GREEN
PURPOSE_ALIGNMENT,1,0,1,40,100,"career_clarity_signals","Career Intelligence",0.2236,strong,GREEN
LIFESTYLE_CAREER,1,0,2,40,120,"work_life_balance_signals","Wellbeing Intelligence",0.2896,strong,GREEN
LEARNING_AWARENESS,1,0,2,100,80,"emotional_dependency_signals","Emotional Intelligence",0.1655,moderate,YELLOW
METACOGNITIVE_DEVELOPMENT,1,0,2,40,80,"reflective_learning_signals","Learning Intelligence",0.1251,moderate,YELLOW
COGNITIVE_REFLECTION,1,0,1,40,120,"self_awareness_signals","Identity Intelligence",0.1814,moderate,YELLOW
STUDY_STRATEGY,1,0,1,50,120,"adaptive_learning_signals","Learning Intelligence",0.2492,strong,GREEN
LEARNING_EFFECTIVENESS,1,0,1,25,120,"confusion_signals","Cognitive Intelligence",0.1392,moderate,YELLOW
SELF_MOTIVATION,1,0,2,40,120,"self_awareness_signals","Identity Intelligence",0.1843,moderate,YELLOW
SELF_DIAGNOSTIC,1,0,2,40,120,"direction_signals","Career Intelligence",0.2187,strong,GREEN
PERFORMANCE_REFLECTION,1,0,1,75,120,"personal_values_signals","Identity Intelligence",0.147,moderate,YELLOW
COGNITIVE_WELLNESS,1,0,2,40,120,"wellness_balance_signals","Wellbeing Intelligence",0.2919,strong,GREEN
LEARNING_PSYCHOLOGY,1,0,4,40,120,"approval_seeking_signals","Social Intelligence",0.217,strong,GREEN
LEARNING_OPTIMIZATION,1,0,1,80,120,"adaptive_learning_signals","Learning Intelligence",0.2964,strong,GREEN
EXPLORATORY_LEARNING,1,0,1,40,120,"curiosity_driven_learning_signals","Learning Intelligence",0.3176,strong,GREEN
COGNITIVE_AWARENESS,1,0,2,25,120,"flexibility_signals","Adaptive Intelligence",0.1425,moderate,YELLOW
GROWTH_REFLECTION,1,0,3,40,120,"setback_response_signals","Resilience Intelligence",0.2286,strong,GREEN
SELF_PROGRESS,1,0,3,40,120,"personal_values_signals","Identity Intelligence",0.1356,moderate,YELLOW
ATTENTION_REFLECTION,1,0,1,75,120,"multitasking_signals","Executive Function Intelligence",0.2113,moderate,YELLOW
EMOTIONAL_LEARNING,1,0,1,40,100,"adaptive_learning_signals","Learning Intelligence",0.1763,moderate,YELLOW
FUTURE_LEARNING,1,0,1,50,120,"professional_competency_signals","Employability Intelligence",0.2785,strong,GREEN
TEAM_LEARNING,1,0,3,40,120,"adaptive_learning_signals","Learning Intelligence",0.2649,strong,GREEN
GROWTH_TRACKING,1,0,0,40,120,"growth_orientation_signals","Motivational Intelligence",0.2498,strong,GREEN
SELF_EVALUATION,1,0,2,25,120,"personal_values_signals","Identity Intelligence",0.2428,strong,GREEN
REFLECTIVE_LEARNING,1,0,1,25,120,"reflective_learning_signals","Learning Intelligence",0.1731,moderate,YELLOW
SELF_REGULATION,1,2,3,40,120,"execution_breakdown_signals","Executive Function Intelligence",0.2583,strong,ALREADY_GROUNDED
MOTIVATION_PSYCHOLOGY,1,0,3,40,120,"approval_seeking_signals","Social Intelligence",0.2437,strong,GREEN
SELF_OBSERVATION,1,0,1,40,120,"responsiveness_signals","Behavioral Intelligence",0.1792,moderate,YELLOW
GOAL_REFLECTION,1,0,2,40,120,"personal_values_signals","Identity Intelligence",0.2206,strong,GREEN
HABIT_DEVELOPMENT,1,0,2,40,120,"routine_stability_signals","Behavioral Intelligence",0.1675,moderate,YELLOW
PERSONAL_VISION,1,0,3,100,120,"personal_values_signals","Identity Intelligence",0.2344,strong,GREEN
SELF_ACCEPTANCE,1,0,2,50,120,"adaptive_learning_signals","Learning Intelligence",0.1664,moderate,YELLOW
BEHAVIORAL_GROWTH,1,0,1,40,120,"growth_orientation_signals","Motivational Intelligence",0.2342,strong,GREEN
GROWTH_RECOGNITION,1,0,2,40,120,"personal_values_signals","Identity Intelligence",0.1679,moderate,YELLOW
ACCOUNTABILITY_REFLECTION,1,0,1,40,120,"personal_values_signals","Identity Intelligence",0.2043,moderate,YELLOW
SOCIAL_REFLECTION,1,0,2,40,120,"self_reflection_signals","Cognitive Intelligence",0.1742,moderate,YELLOW
ADAPTIVE_REFLECTION,1,0,2,40,120,"resilience_stability_signals","Resilience Intelligence",0.145,moderate,YELLOW
INTEGRITY_REFLECTION,1,0,1,40,120,"personal_values_signals","Identity Intelligence",0.218,strong,GREEN
GROWTH_PERSISTENCE,1,0,1,25,120,"endurance_signals","Resilience Intelligence",0.28,strong,GREEN
BALANCED_REFLECTION,1,0,2,40,120,"self_reflection_signals","Cognitive Intelligence",0.1903,moderate,YELLOW
REFLECTIVE_SYSTEMS,1,0,1,40,120,"reflective_learning_signals","Learning Intelligence",0.1703,moderate,YELLOW
PURPOSE_REFLECTION,1,0,2,40,120,"self_definition_signals","Identity Intelligence",0.1804,moderate,YELLOW
DIGITAL_LEARNING,1,0,2,25,120,"digital_communication_signals","Communication Intelligence",0.2149,strong,GREEN
METACOGNITION_SELF,1,0,1,40,120,"learning_resilience_signals","Learning Intelligence",0.1517,moderate,YELLOW
GENERAL_CONCERN,1,376,2,125,120,"behavioral_recovery_signals","Behavioral Intelligence",0.2638,strong,ALREADY_GROUNDED
