Assessment name	Stage	Anchor	Domain	Sub-Domain	Dimension	Focus Area	Layer (1-12)	Dimension	Question (Self-Assessment)	Response	A (1pt)	B (2pt)	C (3pt)	D (4pt)	E (5pt)	Polarity	Wt	Logic	Age Band	Stage 	Age
Short attention Span	Insight	Yes	Cognitive Development	Metacog	Resource Mgt	Deep Cognitive Development	12: Core	Cognitive Development Budget	Do you "save" your best focus for the hardest subject?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.8	Linear	15-18	Insight	C
Short attention Span	Insight	No	Behavioral	Inhibition	Tab Hopping	High-Impact	3: Impulse	Digital Flit	Do you change tabs/apps every 2 minutes?	Always to Never	Always	Often	Somet.	Rarely	Never	(-)	1.7	Inverted	11-18	Insight	B, C
Short attention Span	Insight	No	Cognitive Development	Memory	Spatial Memory	Deep Cognitive Development	7: Memory	Mental Map	Can you "see" where a fact was written on the page?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.2	Linear	11-18	Insight	B, C
Short attention Span	Insight	No	Behavioral	Environment	Social Presence	High-Impact	5: Sensory	Study Buddy	Focus better in a library than alone in your room?	No to Yes	No	--	Neutral	--	Yes	(+)	1.1	1=1, 5=5	11-18	Insight	B, C
Short attention Span	Insight	No	Emotional	Anxiety	Social Comp.	Anxiety/Reg	11: Meta	Peer Pressure	I lose focus if I see a classmate finish before me.	Always to Never	Always	Often	Somet.	Rarely	Never	(-)	1.5	Inverted	15-18	Insight	C
Short attention Span	Insight	No	Physiology	Respiration	Breath Pattern	High-Impact	2: Physical	Calm Focus	Do you hold your breath when trying to concentrate?	Always to Never	Always	Often	Somet.	Rarely	Never	(-)	1	Inverted	11-18	Insight	B, C
Short attention Span	Insight	No	Cognitive Development	Processing	Logical Depth	Deep Cognitive Development	8: Precision	Root Cause	When you fail, do you analyze why it happened?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.7	Linear	15-18	Insight	C
Short attention Span	Insight	No	Behavioral	Exec Function	Decisiveness	High-Impact	10: Exec	Choice Fatigue	Does having 3 study options make you choose none?	Always to Never	Always	Often	Somet.	Rarely	Never	(-)	1.4	Inverted	15-18	Insight	C
Short attention Span	Insight	No	Emotional	Motivation	Autonomy	Anxiety/Reg	11: Meta	Self-Deter.	I only focus if I chose the topic myself.	Always to Never	Always	Often	Somet.	Rarely	Never	(-)	1.6	Inverted	11-18	Insight	B, C
Short attention Span	Insight	No	Cognitive Development	Metacog	Internal Talk	Deep Cognitive Development	12: Core	Self-Narrative	Do you "explain" the lesson to yourself in your head?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.9	Linear	11-18	Insight	B, C
Short attention Span	Insight	Yes	Diagnostic	Transitions	Ritual Lag	High-Impact	4: Recovery	Entry Routine	Do you need a 10-min "routine" before you can focus?	Yes to No	Yes	--	Neutral	--	No	(-)	1.3	Inverted	11-18	Insight	B, C
Short attention Span	Insight	No	Cognitive Development	Synthesis	Cross-Subject	Deep Cognitive Development	9: Synthesis	Transferability	Do you use Math skills in Science without being told?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.8	Linear	15-18	Insight	C
Short attention Span	Insight	No	Behavioral	Inhibition	Emotional Reg.	High-Impact	3: Impulse	Affective Imp.	If you are "excited," do you find it impossible to study?	Always to Never	Always	Often	Somet.	Rarely	Never	(-)	1.5	Inverted	11-18	Insight	B, C
Short attention Span	Insight	No	Emotional	Self-Concept	Competence	Anxiety/Reg	12: Core	Task Efficacy	I believe I am "smart but lazy" with my focus.	Agree to Disagree	Agree	Incline	Neutral	Disinc	Disagree	(-)	1.4	Inverted	15-18	Insight	C
Short attention Span	Insight	No	Cognitive Development	Processing	Resolution	Deep Cognitive Development	8: Precision	Detail Gating	Do you ignore small grammar errors to save focus?	Always to Never	Always	Often	Somet.	Rarely	Never	(-)	1.2	Inverted	11-18	Insight	B, C
Short attention Span	Insight	Yes	Cognitive Development	Metacog	Self-Awareness	Deep Cognitive Development	12: Core	Cognitive Development Meta	Do you know exactly when your focus is about to break?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	2	Linear	15-18	Insight	C
Short attention Span	Growth	Yes	Cognitive Development	Adaptability	Strategy Shift	Deep Cognitive Development	12: Core	Cognitive Development Flex	If one study method fails, do you instantly try a new one?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.8	Linear	11-18	Growth	B, C
Short attention Span	Growth	No	Behavioral	Exec Function	Planning	High-Impact	10: Exec	Dynamic Plan	Do you adjust your schedule if a task takes longer than expected?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.6	Linear	15-18	Growth	C
Short attention Span	Growth	No	Cognitive Development	Endurance	Resiliency	Deep Cognitive Development	1: Duration	Recovery Power	Can you refocus within 60 seconds after a major interruption?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.7	Linear	11-18	Growth	B, C
Short attention Span	Growth	No	Emotional	Resilience	Growth Mindset	Anxiety/Reg	11: Meta	Challenge Seek	Do you choose "hard" topics first to test your brain?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.5	Linear	11-18	Growth	B, C
Short attention Span	Growth	Yes	Cognitive Development	Metacog	Calibration	Deep Cognitive Development	12: Core	Effort Monitor	Can you feel exactly when your "brain battery" is at 10%?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.9	Linear	15-18	Growth	C
Short attention Span	Growth	No	Cognitive Development	Processing	Depth	Deep Cognitive Development	8: Precision	Deep Work	Can you stay in "the zone" even if the topic is boring?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.8	Linear	15-18	Growth	C
Short attention Span	Growth	No	Behavioral	Inhibition	Self-Shield	High-Impact	3: Impulse	Impulse Block	Do you actively hide your phone before you start working?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.4	Linear	11-18	Growth	B, C
Short attention Span	Growth	No	Cognitive Development	Memory	Consolidation	Deep Cognitive Development	7: Memory	Active Recall	Do you test yourself without looking at your notes?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.6	Linear	11-18	Growth	B, C
Short attention Span	Growth	No	Emotional	Motivation	Intrinsic Flow	Anxiety/Reg	11: Meta	Flow State	Do you ever get so focused that you "forget to eat"?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.7	Linear	15-18	Growth	C
Short attention Span	Growth	No	Physiology	Recovery	Neural Rest	High-Impact	2: Physical	Active Rest	Do you take "brain breaks" that don't involve a screen?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.3	Linear	11-18	Growth	B, C
Short attention Span	Growth	No	Cognitive Development	Synthesis	Application	Deep Cognitive Development	9: Synthesis	Transfer Skill	Can you use a trick from a video game to help you study?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.5	Linear	11-14	Growth	B
Short attention Span	Growth	Yes	Behavioral	Exec Function	Complexity	High-Impact	10: Exec	Layered Focus	Can you track two different goals at the same time?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.8	Linear	15-18	Growth	C
Short attention Span	Growth	No	Cognitive Development	Processing	Precision	Deep Cognitive Development	8: Precision	Error Filtering	Do you spot mistakes in a text while reading it the first time?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.4	Linear	11-18	Growth	B, C
Short attention Span	Growth	No	Emotional	Resilience	Feedback Opt.	Anxiety/Reg	12: Core	Pivot Ability	If you get a low mark, do you immediately ask for the "correct logic"?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.6	Linear	11-18	Growth	B, C
Short attention Span	Growth	No	Cognitive Development	Metacog	Self-Analysis	Deep Cognitive Development	12: Core	Strategy Val.	Do you know which study music/sound works best for you?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.2	Linear	11-18	Growth	B, C
Short attention Span	Growth	No	Behavioral	Inhibition	Context Guard	High-Impact	3: Impulse	Focus Boundary	Can you say "no" to a friend’s text until your work is done?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.7	Linear	15-18	Growth	C
Short attention Span	Growth	No	Diagnostic	Efficiency	Velocity	High-Impact	6: Diagnostic	Speed Scaling	Can you "speed up" your focus if a deadline is close?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.5	Linear	15-18	Growth	C
Short attention Span	Growth	No	Cognitive Development	Sensory	Gating	Deep Cognitive Development	5: Sensory	Habituation	Can you "tune out" a repetitive noise after 2 minutes?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.3	Linear	11-14	Growth	B
Short attention Span	Growth	No	Cognitive Development	Synthesis	Linkage	Deep Cognitive Development	9: Synthesis	Pattern Mastery	Do you notice patterns in new subjects without being told?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.8	Linear	11-18	Growth	B, C
Short attention Span	Growth	Yes	Cognitive Development	Metacog	Agency	Deep Cognitive Development	12: Core	Executive Agency	Do you feel like you are the "boss" of your own brain?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	2	Linear	11-18	Growth	B, C
Short attention Span	Growth	No	Cognitive Development	Endurance	Longevity	Deep Cognitive Development	1: Duration	Deep Work Cap	Can you study for 90 minutes with zero digital breaks?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.8	Linear	15-18	Growth	C
Short attention Span	Growth	No	Behavioral	Exec Function	Environment	High-Impact	5: Sensory	Env. Priming	Do you have a specific "ritual" that instantly triggers focus?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.4	Linear	11-18	Growth	B, C
Short attention Span	Growth	No	Cognitive Development	Processing	Integration	Deep Cognitive Development	9: Synthesis	Mental Sandbox	Can you simulate a science experiment in your mind?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.7	Linear	11-18	Growth	B, C
Short attention Span	Growth	No	Emotional	Resilience	Self-Correction	Anxiety/Reg	12: Core	Pivot Speed	When you make a mistake, do you find it "interesting"?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.6	Linear	15-18	Growth	C
Short attention Span	Growth	Yes	Cognitive Development	Metacog	Calibration	Deep Cognitive Development	12: Core	Accuracy Bias	Can you accurately predict which questions you got right?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.9	Linear	15-18	Growth	C
Short attention Span	Growth	No	Behavioral	Inhibition	Social Shield	High-Impact	3: Impulse	Peer Boundary	Can you study in a group without joining the gossip?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.5	Linear	11-18	Growth	B, C
Short attention Span	Growth	No	Cognitive Development	Memory	Structuring	Deep Cognitive Development	7: Memory	Loci Method	Do you use mental "folders" to organize facts?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.6	Linear	15-18	Growth	C
Short attention Span	Growth	No	Physiology	Recovery	Neural Reboot	High-Impact	2: Physical	Micro-Rest	Can you do a 2-minute breathing exercise to reset?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.3	Linear	11-18	Growth	B, C
Short attention Span	Growth	No	Cognitive Development	Processing	Logic	Deep Cognitive Development	8: Precision	First Principles	Do you break a hard problem down into its smallest parts?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.7	Linear	15-18	Growth	C
Short attention Span	Growth	No	Behavioral	Exec Function	Prioritization	High-Impact	10: Exec	ROI Study	Do you focus on the topics worth the most marks first?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.5	Linear	15-18	Growth	C
Short attention Span	Growth	No	Emotional	Motivation	Ambition	Anxiety/Reg	11: Meta	Goal Pull	Does your "future self" motivate you to focus today?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.8	Linear	15-18	Growth	C
Short attention Span	Growth	No	Cognitive Development	Metacog	Self-Analysis	Deep Cognitive Development	12: Core	Strategy Audit	Do you track which study time (AM vs PM) is best?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.4	Linear	15-18	Growth	C
Short attention Span	Growth	No	Behavioral	Inhibition	Boredom Ctrl	High-Impact	3: Impulse	Interest Hack	Can you make a boring subject fun by gamifying it?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.7	Linear	11-18	Growth	B, C
Short attention Span	Growth	No	Cognitive Development	Synthesis	Multi-Source	Deep Cognitive Development	9: Synthesis	Cross-Pollin.	Do you use concepts from English to help with History?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.6	Linear	15-18	Growth	C
Short attention Span	Growth	Yes	Cognitive Development	Endurance	Stamina	Deep Cognitive Development	1: Duration	Flow Entrance	Can you get "into the zone" in under 5 minutes?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.8	Linear	11-18	Growth	B, C
Short attention Span	Growth	No	Behavioral	Exec Function	Note-Taking	High-Impact	10: Exec	Info Sifting	Do you summarize notes in your own words instantly?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.4	Linear	11-18	Growth	B, C
Short attention Span	Growth	No	Cognitive Development	Sensory	Signal/Noise	Deep Cognitive Development	5: Sensory	Audio Gating	Can you read a book while people are talking nearby?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.5	Linear	11-14	Growth	B
Short attention Span	Growth	No	Emotional	Resilience	Persistence	Anxiety/Reg	11: Meta	Grit Factor	Do you keep working even if the first 3 tries fail?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.7	Linear	11-18	Growth	B, C
Short attention Span	Growth	No	Cognitive Development	Memory	Retrieval	Deep Cognitive Development	7: Memory	Recall Speed	Can you name 5 key points of a lesson 1 hour later?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.6	Linear	11-18	Growth	B, C
Short attention Span	Growth	Yes	Cognitive Development	Metacog	Monitoring	Deep Cognitive Development	12: Core	Cog. Vigilance	Do you stop before you get too tired to think?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.9	Linear	15-18	Growth	C
Short attention Span	Growth	No	Behavioral	Exec Function	Deadlines	High-Impact	10: Exec	Buffer Mgt	Do you finish projects 1 day before they are due?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.5	Linear	15-18	Growth	C
Short attention Span	Growth	No	Cognitive Development	Processing	Accuracy	Deep Cognitive Development	8: Precision	Detail Gating	Do you check for typos without being prompted?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.4	Linear	11-18	Growth	B, C
Short attention Span	Growth	No	Emotional	Self-Concept	Agency	Anxiety/Reg	12: Core	Ownership	I feel in total control of my academic success.	Agree to Disagree	Agree	Incline	Neutral	Disinc	Disagree	(+)	1.8	Linear	15-18	Growth	C
Short attention Span	Growth	No	Physiology	Nutrition	Hydration	High-Impact	2: Physical	Bio-Fueling	Do you drink water specifically to keep your brain sharp?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.2	Linear	11-18	Growth	B, C
Short attention Span	Growth	No	Cognitive Development	Synthesis	Innovation	Deep Cognitive Development	9: Synthesis	New Solution	Can you find a new way to solve an old problem?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.7	Linear	15-18	Growth	C
Short attention Span	Growth	No	Behavioral	Inhibition	Focus Barrier	High-Impact	3: Impulse	Digital Fast	Can you go a full weekend without "doomscrolling"?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.6	Linear	15-18	Growth	C
Short attention Span	Growth	No	Cognitive Development	Endurance	Reading	Deep Cognitive Development	1: Duration	Semantic Stam.	Can you read 20 pages of non-fiction in one sitting?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.5	Linear	15-18	Growth	C
Short attention Span	Growth	No	Diagnostic	Efficiency	Optimization	High-Impact	6: Diagnostic	Tech Leverage	Do you use AI or apps to help focus, not replace it?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.4	Linear	15-18	Growth	C
Short attention Span	Growth	No	Emotional	Motivation	Self-Start	Anxiety/Reg	11: Meta	Zero Friction	Can you start homework without anyone telling you?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.8	Linear	11-14	Growth	B
Short attention Span	Growth	Yes	Cognitive Development	Metacog	Agency	Deep Cognitive Development	12: Core	Brain Boss	Do you feel like you "own" your attention?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	2	Linear	11-18	Growth	B, C
Short attention Span	Growth	No	Cognitive Development	Processing	Logic	Deep Cognitive Development	8: Precision	Edge Case	Do you look for exceptions to a rule while learning?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.6	Linear	15-18	Growth	C
Short attention Span	Growth	No	Behavioral	Exec Function	Routine	High-Impact	10: Exec	Automacity	Is your study time so regular it feels automatic?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.5	Linear	11-18	Growth	B, C
Short attention Span	Growth	No	Emotional	Resilience	Ego	Anxiety/Reg	11: Meta	Failure Pivot	If a plan fails, do you laugh and start a better one?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.4	Linear	15-18	Growth	C
Short attention Span	Growth	No	Cognitive Development	Memory	Working Mem.	Deep Cognitive Development	7: Memory	Mental Notepad	Can you do 3-digit addition in your head easily?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.7	Linear	11-18	Growth	B, C
Short attention Span	Growth	Yes	Behavioral	Inhibition	Focus Shield	High-Impact	3: Impulse	Deep Work Prot.	Do you set your phone to "Do Not Disturb" manually?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.8	Linear	15-18	Growth	C
Short attention Span	Growth	No	Cognitive Development	Synthesis	Teaching	Deep Cognitive Development	9: Synthesis	Feynman Tech.	Can you explain a hard topic to a 5-year-old?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.9	Linear	15-18	Growth	C
Short attention Span	Growth	No	Behavioral	Environment	Ergonomics	High-Impact	5: Sensory	Flow Design	Do you adjust your chair/light to maximize focus?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.2	Linear	11-18	Growth	B, C
Short attention Span	Growth	No	Emotional	Self-Concept	Growth	Anxiety/Reg	12: Core	Plasticity	I believe I can "train" my brain to be a genius.	Agree to Disagree	Agree	Incline	Neutral	Disinc	Disagree	(+)	1.7	Linear	11-18	Growth	B, C
Short attention Span	Growth	No	Cognitive Development	Metacog	Reflection	Deep Cognitive Development	12: Core	Weekly Review	Do you look back at your week to see focus wins?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.6	Linear	15-18	Growth	C
Short attention Span	Growth	No	Physiology	Sleep	Circadian	High-Impact	2: Physical	Wake-Up Sharp	Do you feel 100% alert within 15 mins of waking?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.4	Linear	15-18	Growth	C
Short attention Span	Growth	No	Cognitive Development	Endurance	Stress	Deep Cognitive Development	1: Duration	Pressure Focus	Do you focus better when the clock is ticking?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.5	Linear	15-18	Growth	C
Short attention Span	Growth	No	Behavioral	Exec Function	Complexity	High-Impact	10: Exec	Parallelism	Can you watch a video and take perfect notes?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.6	Linear	15-18	Growth	C
Short attention Span	Growth	No	Emotional	Motivation	Values	Anxiety/Reg	11: Meta	Value-Align	Do you focus because the subject matters to you?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.8	Linear	11-18	Growth	B, C
Short attention Span	Growth	No	Cognitive Development	Processing	Speed	Deep Cognitive Development	8: Precision	High-Freq Th.	Can you read a page in 30 seconds and get the gist?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.5	Linear	15-18	Growth	C
Short attention Span	Growth	Yes	Cognitive Development	Metacog	Meta-Choice	Deep Cognitive Development	12: Core	Resource Mgt.	Do you choose the hardest task for your best hour?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.9	Linear	15-18	Growth	C
Short attention Span	Growth	No	Behavioral	Inhibition	Social Imp.	High-Impact	3: Impulse	Silence Tol.	Can you stay in a silent room for 1 hour alone?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.4	Linear	11-18	Growth	B, C
Short attention Span	Growth	No	Cognitive Development	Memory	Long-term	Deep Cognitive Development	7: Memory	Spaced Rep.	Do you review old notes even if no test is coming?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.7	Linear	15-18	Growth	C
Short attention Span	Growth	No	Behavioral	Environment	Distraction	High-Impact	5: Sensory	Chaos Focus	Can you focus in a noisy cafeteria if you have to?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.6	Linear	11-18	Growth	B, C
Short attention Span	Growth	No	Emotional	Anxiety	Resilience	Anxiety/Reg	11: Meta	Post-Panic Rec.	After a bad grade, are you studying within 1 hour?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.8	Linear	15-18	Growth	C
Short attention Span	Growth	Yes	Cognitive Development	Metacog	Mastery	Deep Cognitive Development	12: Core	Flow Control	Can you enter a "Flow State" on command?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	2	Linear	15-18	Growth	C
Short attention Span	Growth	No	Cognitive Development	Processing	Precision	Deep Cognitive Development	8: Precision	Verification	Do you double-check your logic even if you feel "sure"?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.6	Linear	15-18	Growth	C
Short attention Span	Growth	No	Behavioral	Inhibition	Sustained Inhib.	High-Impact	3: Impulse	Screen Gating	Can you use a laptop for research without opening YouTube?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.8	Linear	11-18	Growth	B, C
Short attention Span	Growth	No	Cognitive Development	Memory	Manipulation	Deep Cognitive Development	7: Memory	Mental Rotation	Can you "rearrange" a math formula in your head?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.7	Linear	15-18	Growth	C
Short attention Span	Growth	No	Emotional	Resilience	Stamina	Anxiety/Reg	1: Duration	Pressure Flow	Does "limited time" make you focus sharper?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.5	Linear	11-18	Growth	B, C
Short attention Span	Growth	Yes	Cognitive Development	Metacog	Strategy Dev.	Deep Cognitive Development	12: Core	Procedural Meta	Do you create your own "rules" to solve hard problems?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.9	Linear	15-18	Growth	C
Short attention Span	Growth	No	Behavioral	Exec Function	Consistency	High-Impact	10: Exec	Routine Lock	Is your study space ready for work in under 60 seconds?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.4	Linear	11-18	Growth	B, C
Short attention Span	Growth	No	Cognitive Development	Sensory	Adaptation	Deep Cognitive Development	5: Sensory	Habituation	Can you study in a library without being distracted by whispers?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.3	Linear	11-18	Growth	B, C
Short attention Span	Growth	No	Emotional	Motivation	Self-Start	Anxiety/Reg	11: Meta	Initiation Vol.	Do you start your work before you are "inspired"?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.7	Linear	11-18	Growth	B, C
Short attention Span	Growth	No	Cognitive Development	Synthesis	Cross-Linking	Deep Cognitive Development	9: Synthesis	Analogy Logic	Do you use Science facts to help explain History events?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.8	Linear	15-18	Growth	C
Short attention Span	Growth	No	Physiology	Recovery	Active Reset	High-Impact	2: Physical	Micro-Break Eff	Can you refresh your brain in a 5-minute break?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.4	Linear	11-18	Growth	B, C
Short attention Span	Growth	No	Cognitive Development	Endurance	Load Capacity	Deep Cognitive Development	1: Duration	Cog. Resistance	Can you handle 3 hours of testing without a total crash?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.8	Linear	15-18	Growth	C
Short attention Span	Growth	No	Behavioral	Exec Function	Organization	High-Impact	10: Exec	Info Mapping	Do you draw "mind maps" to link new ideas together?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.5	Linear	11-18	Growth	B, C
Short attention Span	Growth	No	Emotional	Self-Concept	Growth Mindset	Anxiety/Reg	12: Core	Self-Plasticity	I seek out harder work because I know it grows my brain.	Disagr to Agree	Disagree	Incline	Neutral	Disinc	Agree	(+)	1.7	Linear	11-18	Growth	B, C
Short attention Span	Growth	No	Cognitive Development	Processing	Speed	Deep Cognitive Development	8: Precision	High-Speed Logic	Can you skim a paragraph and find the "main point" in 5s?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.6	Linear	15-18	Growth	C
Short attention Span	Growth	Yes	Cognitive Development	Metacog	Meta-Regulation	Deep Cognitive Development	12: Core	Intentionality	Do you set a specific "goal" for every 30 mins of work?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	2	Linear	15-18	Growth	C
Short attention Span	Growth	No	Behavioral	Inhibition	Distraction Ctrl	High-Impact	3: Impulse	Impulse Delay	Can you wait until dinner to check social media notifications?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.7	Linear	15-18	Growth	C
Short attention Span	Growth	No	Cognitive Development	Memory	Consolidation	Deep Cognitive Development	7: Memory	Sleep Recall	Do you remember what you studied "better" after a night's sleep?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.6	Linear	11-18	Growth	B, C
Short attention Span	Growth	No	Behavioral	Environment	Sound Scaping	High-Impact	5: Sensory	Auditory Pref.	Do you know which specific background sound helps you focus?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.2	Linear	11-18	Growth	B, C
Short attention Span	Growth	No	Emotional	Anxiety	Resilience	Anxiety/Reg	11: Meta	Panic Recovery	If you "blank" during a test, can you calm yourself and focus?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.8	Linear	15-18	Growth	C
Short attention Span	Growth	No	Physiology	Nutrition	Bio-Feedback	High-Impact	2: Physical	Diet Monitoring	Do you notice a focus boost when you eat less sugar?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.3	Linear	15-18	Growth	C
Short attention Span	Growth	No	Cognitive Development	Processing	Analytical	Deep Cognitive Development	8: Precision	Skepticism	Do you look for "holes" in a theory while learning it?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.7	Linear	15-18	Growth	C
Short attention Span	Growth	No	Behavioral	Exec Function	Monitoring	High-Impact	10: Exec	Task Pacing	Do you check the clock to ensure you aren't stuck on one item?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.5	Linear	11-18	Growth	B, C
Short attention Span	Growth	No	Emotional	Motivation	Values	Anxiety/Reg	11: Meta	Purpose Drive	I focus because I want to be an "expert" in this field.	Agree to Disagree	Agree	Incline	Neutral	Disinc	Disagree	(+)	1.8	Linear	15-18	Growth	C
Short attention Span	Growth	No	Cognitive Development	Metacog	Self-Talk	Deep Cognitive Development	12: Core	Inner Tutor	Do you "teach" the concept to yourself while reading?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.9	Linear	11-18	Growth	B, C
Short attention Span	Growth	Yes	Diagnostic	Transitions	Shift Efficiency	High-Impact	4: Recovery	Context Fluidity	Can you switch from "Play" to "Work" in under 2 minutes?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.8	Linear	11-18	Growth	B, C
Short attention Span	Growth	No	Cognitive Development	Synthesis	Schema Build	Deep Cognitive Development	9: Synthesis	Fact Weaving	Do you connect new facts to things you learned years ago?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.7	Linear	15-18	Growth	C
Short attention Span	Growth	No	Behavioral	Inhibition	Social Media	High-Impact	3: Impulse	App Satiety	Can you delete a distracting app without feeling "FOMO"?	Never to Always	Never	Rarely	Somet.	Often	Always	(+)	1.6	Linear	15-18	Growth	C
Short attention Span	Growth	No	Emotional	Self-Concept	Agency	Anxiety/Reg	12: Core	Focus Autonomy	I feel like the "Captain" of my own attention span.	Disagr to Agree	Disagree	Incline	Neutral	Disinc	Agree	(+)	1.9	Linear	11-18	Growth	B, C
