concern_id,concern_name,canonical_type,match_tokens
CONCERN_PER_1636,recognizing personal progress milestones,Problem,recognizing personal progress milestones
CONCERN_POT_1538,personal progress objectively,Problem,personal progress objectively
CONCERN_REF_1617,accurately evaluate personal strengths,Problem,accurately evaluate personal strengths
CONCERN_SEL_1416,distractions,Problem,distractions
CONCERN_SEL_1452,Avoidance of challenging tasks,Behavior,avoidance challenging tasks
CONCERN_SEL_1464,Resistance to behavioral feedback from teachers,Behavior,resistance behavioral feedback teachers
CONCERN_SEL_1499,Confusion between passion and temporary excitement,Problem,confusion between passion temporary excitement
CONCERN_SEL_1618,identifying improvement areas,Capability,identifying improvement areas
CONCERN_SEL_1676,Following Instructions Properly,Problem,following instructions properly
CONCERN_SEL_2023,Structuring Long Answers,Problem,structuring long answers
CONCERN_SEL_2150,Supporting Students with Weak Real-World Application Skills,Capability,real-world application real-world application real-world application gap display label capability real-world application whose concern category deficit-state real-world application gap topical overlap 67
CONCERN_SEL_2227,Students with Overloaded Tuition Schedules,Problem,overloaded tuition schedules
CONCERN_SEL_295,Prioritizing Practice Over Passive Consumption,Capability,prioritizing practice passive consumption
CONCERN_SOC_1471,Students unable to handle criticism constructively,Problem,unable handle criticism constructively
CONCERN_SOC_1640,adapting after poor performance outcomes,Capability,adapting performance outcomes
CONCERN_SOC_1771,Cyberbullying Exposure,Problem,cyberbullying exposure
CONCERN_SOC_1783,Avoidance of Family Interaction,Behavior,avoidance family interaction
CONCERN_SOC_1806,Accept Criticism,Problem,accept criticism
CONCERN_SOC_1809,Overprotective Parenting Impact,Problem,overprotective parenting impact
CONCERN_SOC_1881,Child Becoming Too Emotionally Sensitive Online,Problem,child becoming too emotionally sensitive online
CONCERN_SOC_1890,Child Feeling Constantly Judged,Problem,child feeling constantly judged
CONCERN_SOC_1902,Child Becoming Emotionally Dependent on Online Communities,Problem,child becoming emotionally dependent online communities
CONCERN_SOC_1922,Child Developing Negative Self-Talk,Problem,child negative self-talk
CONCERN_SOC_2373,Trust Building Among Students,Problem,trust among
CONCERN_SOC_2376,Students Escalating Conflicts Emotionally,Problem,escalating conflicts emotionally
CONCERN_SOC_2389,Students Struggling to Handle Criticism Constructively,Problem,handle criticism constructively
CONCERN_STE_1729,Practical Application of Knowledge,Problem,practical application knowledge
CONCERN_STE_2025,Unexpected Questions,Problem,unexpected questions
CONCERN_STE_2107,Scientific Temperament,Problem,scientific temperament
CONCERN_STE_2201,Students Who Depend Excessively on Model Answers,Problem,depend excessively model answers
CONCERN_STR_219,Identifying Careers Aligned to Personality,Capability,identifying careers aligned personality identifying careers aligned personality personality-career misalignment display label capability identifying careers aligned personality whose concern category deficit-state personality-career misalignment topical overlap 20
CONCERN_STR_267,Applying Skills in Real-World Scenarios,Capability,applying real-world scenarios applying real-world scenarios real-world application display label capability applying real-world scenarios whose concern category deficit-state real-world application topical overlap 33
CONCERN_STR_588,Handle Constructive Criticism Professionally,Capability,handle constructive criticism professionally
CONCERN_STR_826,Build Psychological Safety Across Diverse Teams,Capability,psychological safety across diverse teams psychological safety across diverse teams psychological safety display label capability psychological safety across diverse teams whose concern category deficit-state psychological safety topical overlap 50
CONCERN_STR_882,Build Scalable Organizational Culture,Capability,scalable organizational culture scalable organizational culture culture display label capability scalable organizational culture whose concern category deficit-state culture topical overlap 50
CONCERN_TAL_1172,Measure Future Readiness Institutionally,Outcome,measure future readiness institutionally
CONCERN_THI_123,Sleep During Preparation Cycles,Problem,sleep preparation cycles
CONCERN_THI_129,Recovering Momentum After Breaks,Problem,recovering momentum breaks
CONCERN_THI_1323,Aligning Student Skills with Market Demand Trends,Capability,aligning market demand trends aligning market demand trends skill-market misalignment display label capability aligning market demand trends whose concern category deficit-state skill-market misalignment topical overlap 20
CONCERN_THI_1682,Competitive Environments,Problem,competitive environments
CONCERN_THI_183,Family Sacrifice Guilt During Preparation,Problem,family sacrifice guilt preparation
CONCERN_THI_1838,Declining Physical Fitness,Problem,declining physical fitness
CONCERN_THI_1960,Applying Knowledge Practically,Capability,applying knowledge practically applying knowledge practically practical application gap display label capability applying knowledge practically whose concern category deficit-state practical application gap topical overlap 00
CONCERN_THI_2013,Retaining Multi-Step Procedures,Problem,retaining multi-step procedures
CONCERN_THI_2193,Students with Inconsistent Attendance,Problem,inconsistent attendance
CONCERN_THI_2350,Complexity in Competitive Questions,Problem,complexity competitive questions
CONCERN_THI_2354,Error Recognition During Assessments,Problem,error recognition assessments
CONCERN_THI_317,Building Long-Term Competency Roadmaps,Capability,long-term competency roadmaps long-term competency roadmaps competency roadmap display label capability long-term competency roadmaps whose concern category deficit-state competency roadmap topical overlap 33
CONCERN_THI_476,Switching Careers Midway,Problem,switching careers midway
CONCERN_THI_894,Build Trust During Organizational Restructuring,Capability,trust organizational restructuring trust organizational restructuring restructuring trust display label capability trust organizational restructuring whose concern category deficit-state restructuring trust topical overlap 00
CONCERN_TRA_2312,Child Unable to Handle Sudden Routine Changes,Problem,child unable handle sudden routine changes
CONCERN_VOC_1400,Students pursuing careers misaligned with personality,Problem,pursuing careers misaligned personality
CONCERN_WOR_562,High-Stakes Presentations,Problem,high-stakes presentations
CONCERN_WOR_622,Navigate Matrix Reporting Structures,Capability,navigate matrix reporting structures navigate matrix reporting structures matrix structure navigation display label capability navigate matrix reporting structures whose concern category deficit-state matrix structure navigation topical overlap 20
CONCERN_WOR_673,Imposter Syndrome in Early Roles,Problem,imposter syndrome early roles
CONCERN_WOR_772,Build Successor Readiness Within Teams,Outcome,successor readiness within teams
