template_key,archetype_key,archetype_name,stakeholder_type,problem_id,plan_title,step_immediate,step_week,step_month,step_quarter,total_days,avg_composite,is_duplicate
motivation_drive::parent,motivation_drive,Motivation & Drive,parent,61,Motivation & Drive — parent action plan,"Today, help your child write down one goal that matters and the first small step toward it.","Each day this week, help your child note what gave a spark of energy or interest and what drained it.","Over the next 30 days, help your child rebuild drive by linking daily effort to one goal worth caring about.","Across this term, help your child develop steady motivation through a term of small, finished goals.",90,4.6,false
motivation_drive::teacher,motivation_drive,Motivation & Drive,teacher,61,Motivation & Drive — teacher action plan,"In class today, have the student write down one goal that matters and the first small step toward it.","Each day this week, have the student note what gave a spark of energy or interest and what drained it.","Over the next month, coach the student to rebuild drive by linking daily effort to one goal worth caring about.","Across the term, support the student to develop steady motivation through a term of small, finished goals.",90,4.8,false
motivation_drive::counselor,motivation_drive,Motivation & Drive,counselor,61,Motivation & Drive — counselor action plan,"In today’s session, guide your client to write down one goal that matters and the first small step toward it.",Set a one-week task for your client to note what gave a spark of energy or interest and what drained it.,"Across a 30-day plan, work with your client to rebuild drive by linking daily effort to one goal worth caring about.","Across a 90-day plan, guide your client to develop steady motivation through a term of small, finished goals.",90,4.8,false
motivation_drive::professional,motivation_drive,Motivation & Drive,professional,61,Motivation & Drive — professional action plan,"Before the workday ends, write down one goal that matters and the first small step toward it.","Each workday this week, note what gave a spark of energy or interest and what drained it.","Over the next 30 days at work, rebuild drive by linking daily effort to one goal worth caring about.","Over the next quarter at work, develop steady motivation through a term of small, finished goals.",90,4.55,false
negotiation_advocacy::student,negotiation_advocacy,Negotiation & Advocacy,student,65,Negotiation & Advocacy — student action plan,"Today, name one needed boundary and say it clearly to someone.","Each day this week, note one moment of standing up or holding back.","Over the next 30 days, practise asking for what is deserved in one low-stakes situation a week.","Over the next 90 days, build the confidence to negotiate and stand firm over the term.",90,4.35,false
negotiation_advocacy::parent,negotiation_advocacy,Negotiation & Advocacy,parent,65,Negotiation & Advocacy — parent action plan,"Today, help your child name one needed boundary and say it clearly to someone.","Each day this week, help your child note one moment of standing up or holding back.","Over the next 30 days, help your child practise asking for what is deserved in one low-stakes situation a week.","Across this term, help your child build the confidence to negotiate and stand firm over the term.",90,4.35,false
negotiation_advocacy::teacher,negotiation_advocacy,Negotiation & Advocacy,teacher,65,Negotiation & Advocacy — teacher action plan,"In class today, have the student name one needed boundary and say it clearly to someone.","Each day this week, have the student note one moment of standing up or holding back.","Over the next month, coach the student to practise asking for what is deserved in one low-stakes situation a week.","Across the term, support the student to build the confidence to negotiate and stand firm over the term.",90,4.4,false
negotiation_advocacy::counselor,negotiation_advocacy,Negotiation & Advocacy,counselor,65,Negotiation & Advocacy — counselor action plan,"In today’s session, guide your client to name one needed boundary and say it clearly to someone.",Set a one-week task for your client to note one moment of standing up or holding back.,"Across a 30-day plan, work with your client to practise asking for what is deserved in one low-stakes situation a week.","Across a 90-day plan, guide your client to build the confidence to negotiate and stand firm over the term.",90,4.4,false
negotiation_advocacy::professional,negotiation_advocacy,Negotiation & Advocacy,professional,66,Negotiation & Advocacy — professional action plan,"Before the workday ends, name one needed boundary and say it clearly to someone.","Each workday this week, note one moment of standing up or holding back.","Over the next 30 days at work, practise asking for what is deserved in one low-stakes situation a week.","Over the next quarter at work, build the confidence to negotiate and stand firm over the term.",90,4.3,false
networking_relationships::student,networking_relationships,Networking & Relationship Building,student,69,Networking & Relationship Building — student action plan,"Today, reach out to one useful contact or a possible mentor.","Each day this week, note one connection to make or a contact to follow up.","Over the next 30 days, build a network by reaching out to two new contacts a week.","Over the next 90 days, grow a real network and one mentor relationship over the term.",90,4.85,false
networking_relationships::parent,networking_relationships,Networking & Relationship Building,parent,69,Networking & Relationship Building — parent action plan,"Today, help your child reach out to one useful contact or a possible mentor.","Each day this week, help your child note one connection to make or a contact to follow up.","Over the next 30 days, help your child build a network by reaching out to two new contacts a week.","Across this term, help your child grow a real network and one mentor relationship over the term.",90,4.85,false
networking_relationships::teacher,networking_relationships,Networking & Relationship Building,teacher,69,Networking & Relationship Building — teacher action plan,"In class today, have the student reach out to one useful contact or a possible mentor.","Each day this week, have the student note one connection to make or a contact to follow up.","Over the next month, coach the student to build a network by reaching out to two new contacts a week.","Across the term, support the student to grow a real network and one mentor relationship over the term.",90,4.9,false
networking_relationships::counselor,networking_relationships,Networking & Relationship Building,counselor,69,Networking & Relationship Building — counselor action plan,"In today’s session, guide your client to reach out to one useful contact or a possible mentor.",Set a one-week task for your client to note one connection to make or a contact to follow up.,"Across a 30-day plan, work with your client to build a network by reaching out to two new contacts a week.","Across a 90-day plan, guide your client to grow a real network and one mentor relationship over the term.",90,4.9,false
networking_relationships::professional,networking_relationships,Networking & Relationship Building,professional,69,Networking & Relationship Building — professional action plan,"Before the workday ends, reach out to one useful contact or a possible mentor.","Each workday this week, note one connection to make or a contact to follow up.","Over the next 30 days at work, build a network by reaching out to two new contacts a week.","Over the next quarter at work, grow a real network and one mentor relationship over the term.",90,4.8,false
performance_anxiety::student,performance_anxiety,Performance Anxiety & Pressure Response,student,73,Performance Anxiety & Pressure Response — student action plan,"Today, write down each moment of panic during one high-pressure task and what set it off.","Each day this week, log what triggers exam, interview, and presentation nerves.","Over the next 30 days, follow a short calm-down routine before every test, presentation, or meeting.","Over the next 90 days, build steady calm under pressure through weekly timed practice runs.",90,4.85,false
performance_anxiety::parent,performance_anxiety,Performance Anxiety & Pressure Response,parent,74,Performance Anxiety & Pressure Response — parent action plan,"Today, help your child write down each moment of panic during one high-pressure task and what set it off.","Each day this week, help your child log what triggers exam, interview, and presentation nerves.","Over the next 30 days, help your child follow a short calm-down routine before every test, presentation, or meeting.","Across this term, help your child build steady calm under pressure through weekly timed practice runs.",90,4.85,false
performance_anxiety::teacher,performance_anxiety,Performance Anxiety & Pressure Response,teacher,74,Performance Anxiety & Pressure Response — teacher action plan,"In class today, have the student write down each moment of panic during one high-pressure task and what set it off.","Each day this week, have the student log what triggers exam, interview, and presentation nerves.","Over the next month, coach the student to follow a short calm-down routine before every test, presentation, or meeting.","Across the term, support the student to build steady calm under pressure through weekly timed practice runs.",90,4.8,false
performance_anxiety::counselor,performance_anxiety,Performance Anxiety & Pressure Response,counselor,74,Performance Anxiety & Pressure Response — counselor action plan,"In today’s session, guide your client to write down each moment of panic during one high-pressure task and what set it off.","Set a one-week task for your client to log what triggers exam, interview, and presentation nerves.","Across a 30-day plan, work with your client to follow a short calm-down routine before every test, presentation, or meeting.","Across a 90-day plan, guide your client to build steady calm under pressure through weekly timed practice runs.",90,4.8,false
performance_anxiety::professional,performance_anxiety,Performance Anxiety & Pressure Response,professional,75,Performance Anxiety & Pressure Response — professional action plan,"Before the workday ends, write down each moment of panic during one high-pressure task and what set it off.","Each workday this week, log what triggers exam, interview, and presentation nerves.","Over the next 30 days at work, follow a short calm-down routine before every test, presentation, or meeting.","Over the next quarter at work, build steady calm under pressure through weekly timed practice runs.",90,4.8,false
resilience_recovery::student,resilience_recovery,Resilience & Failure Recovery,student,77,Resilience & Failure Recovery — student action plan,"Today, write down what one setback taught and one next thing to try.","Each day this week, log one knock or rejection and how it was handled.","Over the next 30 days, follow a habit of trying again within a day of any setback.","Over the next 90 days, grow real resilience by recovering from a term of small failures.",90,4.35,false
resilience_recovery::parent,resilience_recovery,Resilience & Failure Recovery,parent,77,Resilience & Failure Recovery — parent action plan,"Today, help your child write down what one setback taught and one next thing to try.","Each day this week, help your child log one knock or rejection and how it was handled.","Over the next 30 days, help your child follow a habit of trying again within a day of any setback.","Across this term, help your child grow real resilience by recovering from a term of small failures.",90,4.35,false
resilience_recovery::teacher,resilience_recovery,Resilience & Failure Recovery,teacher,77,Resilience & Failure Recovery — teacher action plan,"In class today, have the student write down what one setback taught and one next thing to try.","Each day this week, have the student log one knock or rejection and how it was handled.","Over the next month, coach the student to follow a habit of trying again within a day of any setback.","Across the term, support the student to grow real resilience by recovering from a term of small failures.",90,4.35,false
resilience_recovery::counselor,resilience_recovery,Resilience & Failure Recovery,counselor,77,Resilience & Failure Recovery — counselor action plan,"In today’s session, guide your client to write down what one setback taught and one next thing to try.",Set a one-week task for your client to log one knock or rejection and how it was handled.,"Across a 30-day plan, work with your client to follow a habit of trying again within a day of any setback.","Across a 90-day plan, guide your client to grow real resilience by recovering from a term of small failures.",90,4.35,false
resilience_recovery::professional,resilience_recovery,Resilience & Failure Recovery,professional,77,Resilience & Failure Recovery — professional action plan,"Before the workday ends, write down what one setback taught and one next thing to try.","Each workday this week, log one knock or rejection and how it was handled.","Over the next 30 days at work, follow a habit of trying again within a day of any setback.","Over the next quarter at work, grow real resilience by recovering from a term of small failures.",90,4.3,false
social_connection_belonging::student,social_connection_belonging,Social Connection & Belonging,student,81,Social Connection & Belonging — student action plan,"Today, start one short conversation with someone, even a small hello.","Each day this week, note one moment of feeling connected and one of feeling left out.","Over the next 30 days, reach out to one person a week to build a real friendship.","Over the next 90 days, build a sense of belonging through a term of small social steps.",90,4.45,false
social_connection_belonging::parent,social_connection_belonging,Social Connection & Belonging,parent,81,Social Connection & Belonging — parent action plan,"Today, help your child start one short conversation with someone, even a small hello.","Each day this week, help your child note one moment of feeling connected and one of feeling left out.","Over the next 30 days, help your child reach out to one person a week to build a real friendship.","Across this term, help your child build a sense of belonging through a term of small social steps.",90,4.45,false
social_connection_belonging::teacher,social_connection_belonging,Social Connection & Belonging,teacher,81,Social Connection & Belonging — teacher action plan,"In class today, have the student start one short conversation with someone, even a small hello.","Each day this week, have the student note one moment of feeling connected and one of feeling left out.","Over the next month, coach the student to reach out to one person a week to build a real friendship.","Across the term, support the student to build a sense of belonging through a term of small social steps.",90,4.4,false
social_connection_belonging::counselor,social_connection_belonging,Social Connection & Belonging,counselor,81,Social Connection & Belonging — counselor action plan,"In today’s session, guide your client to start one short conversation with someone, even a small hello.",Set a one-week task for your client to note one moment of feeling connected and one of feeling left out.,"Across a 30-day plan, work with your client to reach out to one person a week to build a real friendship.","Across a 90-day plan, guide your client to build a sense of belonging through a term of small social steps.",90,4.4,false
social_connection_belonging::professional,social_connection_belonging,Social Connection & Belonging,professional,81,Social Connection & Belonging — professional action plan,"Before the workday ends, start one short conversation with someone, even a small hello.","Each workday this week, note one moment of feeling connected and one of feeling left out.","Over the next 30 days at work, reach out to one person a week to build a real friendship.","Over the next quarter at work, build a sense of belonging through a term of small social steps.",90,4.4,false
time_self_discipline::student,time_self_discipline,Time Management & Self-Discipline,student,85,Time Management & Self-Discipline — student action plan,"Today, list the day’s tasks by deadline and start the one most likely to be put off.","Each day this week, log each time procrastination strikes and what got avoided.","Over the next 30 days, follow a daily schedule that protects set hours for assignments before they are due.","Over the next 90 days, become reliable with deadlines through a consistent weekly planning routine.",90,4.6,false
time_self_discipline::parent,time_self_discipline,Time Management & Self-Discipline,parent,85,Time Management & Self-Discipline — parent action plan,"Today, help your child list the day’s tasks by deadline and start the one most likely to be put off.","Each day this week, help your child log each time procrastination strikes and what got avoided.","Over the next 30 days, help your child follow a daily schedule that protects set hours for assignments before they are due.","Across this term, help your child become reliable with deadlines through a consistent weekly planning routine.",90,4.6,false
time_self_discipline::teacher,time_self_discipline,Time Management & Self-Discipline,teacher,85,Time Management & Self-Discipline — teacher action plan,"In class today, have the student list the day’s tasks by deadline and start the one most likely to be put off.","Each day this week, have the student log each time procrastination strikes and what got avoided.","Over the next month, coach the student to follow a daily schedule that protects set hours for assignments before they are due.","Across the term, support the student to become reliable with deadlines through a consistent weekly planning routine.",90,4.7,false
time_self_discipline::counselor,time_self_discipline,Time Management & Self-Discipline,counselor,85,Time Management & Self-Discipline — counselor action plan,"In today’s session, guide your client to list the day’s tasks by deadline and start the one most likely to be put off.",Set a one-week task for your client to log each time procrastination strikes and what got avoided.,"Across a 30-day plan, work with your client to follow a daily schedule that protects set hours for assignments before they are due.","Across a 90-day plan, guide your client to become reliable with deadlines through a consistent weekly planning routine.",90,4.75,false
time_self_discipline::professional,time_self_discipline,Time Management & Self-Discipline,professional,85,Time Management & Self-Discipline — professional action plan,"Before the workday ends, list the day’s tasks by deadline and start the one most likely to be put off.","Each workday this week, log each time procrastination strikes and what got avoided.","Over the next 30 days at work, follow a daily schedule that protects set hours for assignments before they are due.","Over the next quarter at work, become reliable with deadlines through a consistent weekly planning routine.",90,4.55,false
