intent,target_id,target_tag,after_class,resolved_id,tie_count,confidence
"i need help with building student ownership of learning",CONCERN_CLA_2154,MOTIVATION_VALUES,drift,CONCERN_EXA_2297,2,32
"i need help with dependence on external validation for learning confidence",CONCERN_COG_1601,LEARNING_PSYCHOLOGY,drift,CONCERN_PER_1501,1,36
"i keep struggling with reflection after failures and setbacks",CONCERN_COG_1605,GROWTH_REFLECTION,drift,CONCERN_INQ_1254,1,24
"i need help with reflection after failures and setbacks",CONCERN_COG_1605,GROWTH_REFLECTION,drift,CONCERN_CON_2225,1,31
"i struggle with self-doubt during leadership opportunities",CONCERN_COL_1075,CONFIDENCE_SELF,drift,CONCERN_HOL_781,1,29
"i struggle with emotional uncertainty during career transitions",CONCERN_COL_1147,CAREER_GROWTH,drift,CONCERN_REF_1543,1,23
"i cannot manage emotional uncertainty during career transitions",CONCERN_COL_1147,CAREER_GROWTH,drift,CONCERN_CAR_713,1,31
"i cannot manage managing students with low learning persistence",CONCERN_COL_2148,MOTIVATION_VALUES,failure,,1,0
"i cannot manage handling students with weak academic endurance",CONCERN_COL_2198,ACADEMIC_COGNITIVE,failure,,1,0
"i need help with handling students with weak academic endurance",CONCERN_COL_2198,ACADEMIC_COGNITIVE,drift,CONCERN_CLA_2243,1,36
"i cannot manage managing students with reduced interest in classroom learning",CONCERN_COL_2242,CLASSROOM_ENGAGEMENT,drift,CONCERN_STU_1353,1,19
"i cannot manage supporting students with weak concept mapping skills",CONCERN_COL_2259,FOUNDATIONAL_LEARNING,drift,CONCERN_DIS_678,1,23
"i need help with supporting students with weak concept mapping skills",CONCERN_COL_2259,FOUNDATIONAL_LEARNING,failure,,3,0
"i cannot manage emotional fatigue during job hunting",CONCERN_COL_425,LIFESTYLE_PRESSURE,drift,CONCERN_WOR_1139,1,27
"i struggle with handling strategic responsibilities",CONCERN_COL_610,STRATEGIC_PREPARATION,failure,,12,0
"i cannot manage handling strategic responsibilities",CONCERN_COL_610,STRATEGIC_PREPARATION,failure,,3,0
"i need help with handling strategic responsibilities",CONCERN_COL_610,STRATEGIC_PREPARATION,failure,,1,0
"i cannot manage motivation during slow workplace recognition",CONCERN_COL_735,MOTIVATION_VALUES,drift,CONCERN_CAR_368,1,24
"i cannot manage build leadership presence",CONCERN_COL_768,LEADERSHIP_READINESS,drift,CONCERN_WOR_772,1,27
"i cannot manage holistic readiness for leadership transition and growth",CONCERN_COL_780,HOLISTIC_DEVELOPMENT,drift,CONCERN_HOL_761,4,24
"i need help with build long-term confidence in career reinvention success",CONCERN_COM_1010,CONFIDENCE_SELF,failure,,2,0
"i cannot manage motivation during repeated career adjustments",CONCERN_COM_1029,MOTIVATION_VALUES,drift,CONCERN_CAR_368,1,25
"i cannot manage emotional uncertainty about long-term career identity",CONCERN_COM_1033,ACADEMIC_IDENTITY,drift,CONCERN_CAR_713,1,20
"i need help with sustaining confidence during long-term career ambiguity",CONCERN_COM_1059,CONFIDENCE_SELF,failure,,2,0
"i cannot manage emotional anxiety during job insecurity",CONCERN_COM_1091,EMPLOYABILITY,drift,CONCERN_CAR_713,1,25
"i cannot manage emotional anxiety during career stagnation",CONCERN_COM_1109,CAREER_GROWTH,drift,CONCERN_CAR_713,1,25
"i cannot manage emotional self-worth independent of work outcomes",CONCERN_COM_1153,CONFIDENCE_SELF,drift,CONCERN_COM_430,1,29
"i cannot manage holistic visibility into institutional emotional, academic, and leadership ecosystems",CONCERN_COM_1240,HOLISTIC_DEVELOPMENT,drift,CONCERN_LEA_1246,1,36
"i keep struggling with visibility into student cognitive load during instruction",CONCERN_COM_1266,ACADEMIC_COGNITIVE,drift,CONCERN_INQ_1206,8,27
"i cannot manage visibility into student cognitive load during instruction",CONCERN_COM_1266,ACADEMIC_COGNITIVE,drift,CONCERN_LEA_1246,1,31
"i need help with visibility into student cognitive load during instruction",CONCERN_COM_1266,ACADEMIC_COGNITIVE,failure,,1,0
"i keep struggling with student confidence during placement cycles",CONCERN_COM_1321,CONFIDENCE_SELF,drift,CONCERN_INC_1484,1,31
"i cannot manage student confidence during placement cycles",CONCERN_COM_1321,CONFIDENCE_SELF,failure,,3,0
"i need help with student confidence during placement cycles",CONCERN_COM_1321,CONFIDENCE_SELF,failure,,1,0
"i keep struggling with communication skills",CONCERN_COM_1655,COMMUNICATION_EXPRESSION,failure,,3,0
"i cannot manage communication skills",CONCERN_COM_1655,COMMUNICATION_EXPRESSION,failure,,4,0
"i struggle with reading comprehension",CONCERN_COM_1656,ACADEMIC_COGNITIVE,drift,CONCERN_HOL_781,1,23
"i cannot manage multiple subjects",CONCERN_COM_1684,ACADEMIC_PERFORMANCE,failure,,2,0
"i struggle with transitioning between subjects",CONCERN_COM_1703,LEARNING_ADAPTABILITY,drift,CONCERN_COM_1459,1,39
"i struggle with time management",CONCERN_COM_1801,DISCIPLINE_HABITS,drift,CONCERN_HOL_781,1,22
"i struggle with presentation skills",CONCERN_COM_1954,COMMUNICATION_EXPRESSION,drift,CONCERN_ACA_1650,1,30
"i need help with presentation skills",CONCERN_COM_1954,COMMUNICATION_EXPRESSION,failure,,1,0
"i struggle with exam strategy",CONCERN_COM_1961,EXAMINATION_READINESS,drift,CONCERN_MOT_2172,1,22
"i need help with exam strategy",CONCERN_COM_1961,EXAMINATION_READINESS,failure,,1,0
"i need help with focus during long exams",CONCERN_COM_2004,EXAMINATION_READINESS,drift,CONCERN_COM_2453,1,37
"i struggle with academic uncertainty",CONCERN_COM_2053,EXAMINATION_STRESS,drift,CONCERN_CAR_256,7,36
"i keep struggling with academic uncertainty",CONCERN_COM_2053,EXAMINATION_STRESS,failure,,12,0
"i cannot manage academic uncertainty",CONCERN_COM_2053,EXAMINATION_STRESS,failure,,1,0
"i need help with academic uncertainty",CONCERN_COM_2053,EXAMINATION_STRESS,failure,,10,0
"i struggle with cognitive flexibility in learning",CONCERN_COM_2095,LEARNING_ADAPTABILITY,drift,CONCERN_DIS_2131,2,22
"i struggle with building student curiosity",CONCERN_COM_2127,MOTIVATION_VALUES,failure,,1,0
"i need help with building student curiosity",CONCERN_COM_2127,MOTIVATION_VALUES,drift,CONCERN_CLA_2119,8,30
"i struggle with holistic student development",CONCERN_COM_2151,HOLISTIC_DEVELOPMENT,failure,,1,0
"i cannot manage holistic student development",CONCERN_COM_2151,HOLISTIC_DEVELOPMENT,drift,CONCERN_EMO_1412,2,17
"i need help with holistic student development",CONCERN_COM_2151,HOLISTIC_DEVELOPMENT,drift,CONCERN_EXA_2249,2,30
"i keep struggling with supporting students with poor academic self-belief",CONCERN_COM_2203,CONFIDENCE_SELF,drift,CONCERN_CLA_1443,2,15
"i cannot manage supporting students with poor academic self-belief",CONCERN_COM_2203,CONFIDENCE_SELF,drift,CONCERN_DIS_678,1,29
"i need help with supporting students with poor academic self-belief",CONCERN_COM_2203,CONFIDENCE_SELF,failure,,1,0
"i keep struggling with supporting students with weak academic planning",CONCERN_COM_2207,DISCIPLINE_HABITS,failure,,1,0
"i cannot manage supporting students with weak academic planning",CONCERN_COM_2207,DISCIPLINE_HABITS,drift,CONCERN_DIS_678,1,30
"i need help with supporting students with weak academic planning",CONCERN_COM_2207,DISCIPLINE_HABITS,failure,,1,0
"i cannot manage supporting students with low academic persistence",CONCERN_COM_2213,MOTIVATION_VALUES,drift,CONCERN_DIS_678,1,28
"i keep struggling with managing students with weak academic reflection practices",CONCERN_COM_2254,SELF_REFLECTION,drift,CONCERN_LEA_1246,1,15
"i cannot manage managing students with weak academic reflection practices",CONCERN_COM_2254,SELF_REFLECTION,drift,CONCERN_DIS_678,1,30
"i need help with managing students with weak academic reflection practices",CONCERN_COM_2254,SELF_REFLECTION,failure,,8,0
"i keep struggling with supporting students with weak emotional stability during assessments",CONCERN_COM_2268,EXAMINATION_STRESS,drift,CONCERN_INQ_1254,1,16
"i cannot manage supporting students with weak emotional stability during assessments",CONCERN_COM_2268,EXAMINATION_STRESS,drift,CONCERN_DIS_678,1,25
"i need help with supporting students with weak emotional stability during assessments",CONCERN_COM_2268,EXAMINATION_STRESS,drift,CONCERN_HEL_2305,1,16
"i cannot manage handling students with weak long-term goal orientation",CONCERN_COM_2270,ACADEMIC_IDENTITY,failure,,1,0
"i need help with handling students with weak long-term goal orientation",CONCERN_COM_2270,ACADEMIC_IDENTITY,failure,,3,0
"i keep struggling with managing students with weak classroom adaptability",CONCERN_COM_2284,LEARNING_ADAPTABILITY,drift,CONCERN_LEA_1246,1,15
"i cannot manage managing students with weak classroom adaptability",CONCERN_COM_2284,LEARNING_ADAPTABILITY,drift,CONCERN_DIS_678,2,21
"i keep struggling with supporting students with weak learning adaptability during curriculum changes",CONCERN_COM_2295,LEARNING_ADAPTABILITY,drift,CONCERN_SOC_1338,2,21
"i cannot manage supporting students with weak learning adaptability during curriculum changes",CONCERN_COM_2295,LEARNING_ADAPTABILITY,drift,CONCERN_DIS_678,1,25
"i need help with supporting students with weak learning adaptability during curriculum changes",CONCERN_COM_2295,LEARNING_ADAPTABILITY,failure,,1,0
"i struggle with semester pressure",CONCERN_COM_23,EXAMINATION_STRESS,drift,CONCERN_EMP_1053,2,25
"i keep struggling with learning new skills quickly",CONCERN_COM_264,CONFIDENCE_SELF,drift,CONCERN_CON_967,1,31
"i cannot manage learn from constructive feedback",CONCERN_COM_282,SELF_REFLECTION,drift,CONCERN_ACA_1062,1,25
"i keep struggling with translating academic learning into workplace skills",CONCERN_COM_363,EMPLOYABILITY,failure,,1,0
"i keep struggling with understanding workplace expectations",CONCERN_COM_367,CAREER_READINESS,drift,CONCERN_DIS_1186,1,12
"i cannot manage understanding workplace expectations",CONCERN_COM_367,CAREER_READINESS,drift,CONCERN_EMO_664,1,40
"i struggle with technical assessments",CONCERN_COM_370,EXAMINATION_READINESS,drift,CONCERN_MOT_2172,1,24
"i need help with technical assessments",CONCERN_COM_370,EXAMINATION_READINESS,failure,,1,0
"i need help with confidence after poor interview performance",CONCERN_COM_383,EMOTIONAL_RECOVERY,drift,CONCERN_EXA_2141,1,28
"i cannot manage emotional stability during job search delays",CONCERN_COM_396,EMOTIONAL_RECOVERY,drift,CONCERN_CAR_713,1,20
"i keep struggling with understanding corporate hierarchies and dynamics",CONCERN_COM_415,WORKPLACE_ADAPTATION,failure,,1,0
"i cannot manage understanding corporate hierarchies and dynamics",CONCERN_COM_415,WORKPLACE_ADAPTATION,failure,,1,0
"i need help with understanding corporate hierarchies and dynamics",CONCERN_COM_415,WORKPLACE_ADAPTATION,failure,,1,0
"i cannot manage building confidence during professional presentations",CONCERN_COM_433,COMMUNICATION_EXPRESSION,drift,CONCERN_ACA_451,1,33
"i struggle with building confidence after layoffs",CONCERN_COM_481,EMOTIONAL_RECOVERY,drift,CONCERN_CAR_256,1,44
"i struggle with emotional comparison with peers",CONCERN_COM_491,CONFIDENCE_SELF,drift,CONCERN_HOL_781,1,22
"i keep struggling with emotional comparison with peers",CONCERN_COM_491,CONFIDENCE_SELF,drift,CONCERN_HOL_781,1,18
"i struggle with career reinvention possibilities",CONCERN_COM_500,CONFIDENCE_SELF,failure,,3,0
"i need help with career reinvention possibilities",CONCERN_COM_500,CONFIDENCE_SELF,failure,,1,0
"i struggle with emotional pressure from financial responsibilities",CONCERN_COM_527,EMOTIONAL_REGULATION,drift,CONCERN_EMP_1053,2,24
"i cannot manage emotional pressure from financial responsibilities",CONCERN_COM_527,EMOTIONAL_REGULATION,failure,,1,0
"i struggle with employment instability emotionally",CONCERN_COM_541,EMOTIONAL_REGULATION,drift,CONCERN_EMP_1053,1,27
"i struggle with workplace stress effectively",CONCERN_COM_563,EMOTIONAL_REGULATION,drift,CONCERN_EMP_1053,1,22
"i keep struggling with workplace stress effectively",CONCERN_COM_563,EMOTIONAL_REGULATION,drift,CONCERN_EMP_1053,1,16
"i cannot manage workplace stress effectively",CONCERN_COM_563,EMOTIONAL_REGULATION,drift,CONCERN_COM_578,1,19
"i need help with workplace stress effectively",CONCERN_COM_563,EMOTIONAL_REGULATION,failure,,1,0
"i struggle with workplace politics emotionally",CONCERN_COM_567,WORKPLACE_ADAPTATION,drift,CONCERN_EMP_1053,1,25
"i have trouble with workplace politics emotionally",CONCERN_COM_567,WORKPLACE_ADAPTATION,drift,CONCERN_CAR_443,5,39
"i keep struggling with workplace politics emotionally",CONCERN_COM_567,WORKPLACE_ADAPTATION,drift,CONCERN_CAR_443,5,33
"i cannot manage workplace politics emotionally",CONCERN_COM_567,WORKPLACE_ADAPTATION,drift,CONCERN_CAR_443,5,33
"i need help with workplace politics emotionally",CONCERN_COM_567,WORKPLACE_ADAPTATION,drift,CONCERN_CAR_443,5,33
"i struggle with career stagnation emotionally",CONCERN_COM_575,CAREER_GROWTH,drift,CONCERN_EMP_1053,1,29
"i struggle with managing larger responsibilities",CONCERN_COM_596,CONFIDENCE_SELF,failure,,2,0
"i cannot manage managing senior stakeholder expectations",CONCERN_COM_644,LEADERSHIP_OWNERSHIP,drift,CONCERN_MOT_1146,2,29
"i struggle with long-term career anxiety",CONCERN_COM_65,EXAMINATION_STRESS,failure,,3,0
"i cannot manage long-term career anxiety",CONCERN_COM_65,EXAMINATION_STRESS,drift,CONCERN_CAR_713,1,15
"i need help with long-term career anxiety",CONCERN_COM_65,EXAMINATION_STRESS,failure,,1,0
"i keep struggling with understand workplace priorities strategically",CONCERN_COM_686,STRATEGIC_PREPARATION,failure,,1,0
"i cannot manage build professional influence without authority",CONCERN_COM_742,LEADERSHIP_OWNERSHIP,drift,CONCERN_ACA_451,1,28
"i struggle with internship readiness",CONCERN_COM_8,CAREER_READINESS,drift,CONCERN_HOL_781,1,20
"i struggle with long-term leadership motivation",CONCERN_COM_839,MOTIVATION_VALUES,failure,,1,0
"i cannot manage long-term leadership motivation",CONCERN_COM_839,MOTIVATION_VALUES,drift,CONCERN_EMO_740,1,29
"i need help with long-term leadership motivation",CONCERN_COM_839,MOTIVATION_VALUES,drift,CONCERN_EXA_2297,3,27
"i cannot manage emotional exhaustion during career reinvention cycles",CONCERN_COM_995,EMOTIONAL_REGULATION,failure,,1,0
"i struggle with negotiating career growth opportunities",CONCERN_CON_1084,CAREER_GROWTH,drift,CONCERN_REF_1543,1,13
"i cannot manage focus during digital distractions",CONCERN_CON_1107,ACADEMIC_COGNITIVE,drift,CONCERN_COM_1801,1,24
"i need help with uncertainty about results",CONCERN_CON_113,EXAMINATION_STRESS,failure,,1,0
"i cannot manage pressure from multiple expectations",CONCERN_CON_155,ADJUSTMENT_COPING,drift,CONCERN_LEA_783,1,24
"i need help with pressure from multiple expectations",CONCERN_CON_155,ADJUSTMENT_COPING,drift,CONCERN_COM_2261,1,25
"i need help with feedback from teachers",CONCERN_CON_1693,SOCIAL_EMOTIONAL,failure,,3,0
"i struggle with preparation during emotional distress",CONCERN_CON_173,MOTIVATION_VALUES,drift,CONCERN_MOT_2172,1,31
"i struggle with career confusion",CONCERN_CON_1736,ACADEMIC_IDENTITY,drift,CONCERN_CAR_256,3,37
"i cannot manage career confusion",CONCERN_CON_1736,ACADEMIC_IDENTITY,drift,CONCERN_EMO_656,1,39
"i need help with career confusion",CONCERN_CON_1736,ACADEMIC_IDENTITY,failure,,1,0
"i struggle with emotional shutdown",CONCERN_CON_1759,EXAMINATION_STRESS,drift,CONCERN_SOC_2334,4,24
"i struggle with social anxiety",CONCERN_CON_1782,SOCIAL_EMOTIONAL,drift,CONCERN_CAR_256,12,31
"i keep struggling with social anxiety",CONCERN_CON_1782,SOCIAL_EMOTIONAL,failure,,6,0
"i cannot manage social anxiety",CONCERN_CON_1782,SOCIAL_EMOTIONAL,failure,,1,0
"i need help with social anxiety",CONCERN_CON_1782,SOCIAL_EMOTIONAL,failure,,2,0
"i need help with emotional fatigue during revisions",CONCERN_CON_179,EXAMINATION_STRESS,failure,,1,0
"i cannot manage academic comparison by parents",CONCERN_CON_1790,CONFIDENCE_SELF,failure,,1,0
"i need help with academic comparison by parents",CONCERN_CON_1790,CONFIDENCE_SELF,failure,,1,0
"i struggle with curiosity",CONCERN_CON_1795,MOTIVATION_VALUES,drift,CONCERN_CAR_256,12,37
"i keep struggling with curiosity",CONCERN_CON_1795,MOTIVATION_VALUES,drift,CONCERN_LEA_1229,1,26
"i cannot manage curiosity",CONCERN_CON_1795,MOTIVATION_VALUES,drift,CONCERN_COM_1801,58,25
"i need help with curiosity",CONCERN_CON_1795,MOTIVATION_VALUES,drift,CONCERN_CON_1777,10,28
"i struggle with emotional dependency on relationships",CONCERN_CON_1805,SOCIAL_EMOTIONAL,drift,CONCERN_HOL_781,1,29
"i cannot manage emotional dependency on relationships",CONCERN_CON_1805,SOCIAL_EMOTIONAL,drift,CONCERN_WOR_1139,2,20
"i cannot manage fear of making mistakes",CONCERN_CON_1818,CONFIDENCE_SELF,drift,CONCERN_CAR_770,1,20
"i need help with emotional dependence on validation",CONCERN_CON_1842,CONFIDENCE_SELF,drift,CONCERN_PER_1501,1,36
"i struggle with listening skills",CONCERN_CON_1864,COMMUNICATION_EXPRESSION,drift,CONCERN_ACA_1650,1,27
"lack of confidence in studies",CONCERN_CON_1941,CONFIDENCE_SELF,drift,CONCERN_LEA_1438,9,25
"i have trouble with confidence in studies",CONCERN_CON_1941,CONFIDENCE_SELF,drift,CONCERN_CON_189,1,40
"i keep struggling with confidence in studies",CONCERN_CON_1941,CONFIDENCE_SELF,failure,,6,0
"i cannot manage confidence in studies",CONCERN_CON_1941,CONFIDENCE_SELF,failure,,3,0
"i need help with confidence in studies",CONCERN_CON_1941,CONFIDENCE_SELF,failure,,4,0
"i struggle with time management",CONCERN_CON_1942,DISCIPLINE_HABITS,drift,CONCERN_HOL_781,1,22
"i need help with academic expectations from parents",CONCERN_CON_2087,EXAMINATION_STRESS,failure,,1,0
"i need help with understanding future industry trends",CONCERN_CON_211,CAREER_READINESS,drift,CONCERN_THI_1323,1,23
"i keep struggling with supporting students with weak exam strategy",CONCERN_CON_2140,EXAMINATION_READINESS,drift,CONCERN_CON_1322,1,18
"i cannot manage supporting students with weak exam strategy",CONCERN_CON_2140,EXAMINATION_READINESS,drift,CONCERN_DIS_678,1,25
"i need help with supporting students with weak exam strategy",CONCERN_CON_2140,EXAMINATION_READINESS,failure,,7,0
"i struggle with managing students with weak social confidence",CONCERN_CON_2142,SOCIAL_EMOTIONAL,failure,,1,0
"i keep struggling with managing students with weak social confidence",CONCERN_CON_2142,SOCIAL_EMOTIONAL,drift,CONCERN_PRO_1417,1,12
"i cannot manage managing students with weak social confidence",CONCERN_CON_2142,SOCIAL_EMOTIONAL,drift,CONCERN_EMO_1412,1,26
"i need help with managing students with weak social confidence",CONCERN_CON_2142,SOCIAL_EMOTIONAL,failure,,2,0
"i cannot manage student stress before exams",CONCERN_CON_2145,EXAMINATION_STRESS,failure,,1,0
"i cannot manage handling students with weak concept revision methods",CONCERN_CON_2234,EXAMINATION_READINESS,failure,,1,0
"i need help with handling students with weak concept revision methods",CONCERN_CON_2234,EXAMINATION_READINESS,drift,CONCERN_CLA_2243,1,33
"i struggle with supporting students with weak academic goal clarity",CONCERN_CON_2244,ACADEMIC_IDENTITY,failure,,1,0
"i keep struggling with supporting students with weak academic goal clarity",CONCERN_CON_2244,ACADEMIC_IDENTITY,failure,,1,0
"i cannot manage supporting students with weak academic goal clarity",CONCERN_CON_2244,ACADEMIC_IDENTITY,drift,CONCERN_DIS_678,1,30
"i need help with supporting students with weak academic goal clarity",CONCERN_CON_2244,ACADEMIC_IDENTITY,failure,,1,0
"i cannot manage supporting students with weak independent decision-making skills",CONCERN_CON_2274,THINKING_QUALITY,drift,CONCERN_COM_430,1,28
"i need help with supporting students with weak independent decision-making skills",CONCERN_CON_2274,THINKING_QUALITY,failure,,2,0
"i keep struggling with handling students with weak time allocation during exams",CONCERN_CON_2282,EXAMINATION_READINESS,drift,CONCERN_LEA_1246,1,18
"i cannot manage handling students with weak time allocation during exams",CONCERN_CON_2282,EXAMINATION_READINESS,drift,CONCERN_DIS_2120,1,37
"i struggle with adjusting to academic transitions",CONCERN_CON_2367,ADJUSTMENT_COPING,drift,CONCERN_COM_1459,1,38
"i keep struggling with adjusting to academic transitions",CONCERN_CON_2367,ADJUSTMENT_COPING,drift,CONCERN_COM_1459,1,33
"i keep struggling with handling students with weak time allocation during exams",CONCERN_CON_2462,EXAMINATION_READINESS,drift,CONCERN_LEA_1246,1,18
"i cannot manage handling students with weak time allocation during exams",CONCERN_CON_2462,EXAMINATION_READINESS,drift,CONCERN_DIS_2120,1,37
"i keep struggling with students with weak academic motivation over time",CONCERN_CON_2467,MOTIVATION_VALUES,drift,CONCERN_LEA_1246,1,13
"i cannot manage students with weak academic motivation over time",CONCERN_CON_2467,MOTIVATION_VALUES,drift,CONCERN_CAR_368,1,18
"i need help with students with weak academic motivation over time",CONCERN_CON_2467,MOTIVATION_VALUES,drift,CONCERN_ACA_2199,4,27
"i need help with motivation during long learning cycles",CONCERN_CON_265,MOTIVATION_VALUES,drift,CONCERN_EXA_2297,1,33
"i struggle with understanding professional boundaries",CONCERN_CON_439,SOCIAL_EMOTIONAL,failure,,12,0
"i keep struggling with understanding professional boundaries",CONCERN_CON_439,SOCIAL_EMOTIONAL,failure,,2,0
"i cannot manage understanding professional boundaries",CONCERN_CON_439,SOCIAL_EMOTIONAL,failure,,1,0
"i need help with understanding professional boundaries",CONCERN_CON_439,SOCIAL_EMOTIONAL,failure,,1,0
"i struggle with networking confidence for job opportunities",CONCERN_CON_472,SOCIAL_EMOTIONAL,drift,CONCERN_CAR_256,2,30
"i keep struggling with networking confidence for job opportunities",CONCERN_CON_472,SOCIAL_EMOTIONAL,drift,CONCERN_INC_1484,1,37
"i struggle with building entrepreneurial confidence",CONCERN_CON_59,CAREER_READINESS,drift,CONCERN_CAR_256,1,41
"i need help with emotional dependence on manager approval",CONCERN_CON_701,CONFIDENCE_SELF,drift,CONCERN_PER_1501,1,21
"i cannot manage emotional fatigue from workplace learning expectations",CONCERN_CON_741,COMPETENCY_DEVELOPMENT,drift,CONCERN_WOR_1139,1,32
"i cannot manage adapt leadership style across diverse teams",CONCERN_CON_848,LEADERSHIP_OWNERSHIP,drift,CONCERN_COL_1138,1,32
"i keep struggling with adapt quickly to new industry workflows",CONCERN_CON_992,WORKPLACE_PERFORMANCE,drift,CONCERN_CON_967,1,31
"i struggle with ownership for personal growth",CONCERN_DEC_1436,GROWTH_ACCOUNTABILITY,failure,,1,0
"i struggle with confidence in peer interactions",CONCERN_DEC_1470,SOCIAL_LEADERSHIP,failure,,1,0
"i keep struggling with comparison with high performers",CONCERN_DIS_105,CONFIDENCE_SELF,drift,CONCERN_LIF_2336,1,15
"i keep struggling with emotional recovery after poor mock scores",CONCERN_DIS_110,EXAMINATION_STRESS,drift,CONCERN_INQ_1254,2,29
"i need help with emotional recovery after poor mock scores",CONCERN_DIS_110,EXAMINATION_STRESS,drift,CONCERN_EXA_2141,1,29
"i cannot manage visibility into student adaptability and change readiness",CONCERN_DIS_1186,WORKPLACE_ADAPTATION,drift,CONCERN_LEA_1246,1,29
"i need help with visibility into student adaptability and change readiness",CONCERN_DIS_1186,WORKPLACE_ADAPTATION,failure,,1,0
"i struggle with student stress during exam cycles",CONCERN_DIS_1297,EMOTIONAL_REGULATION,drift,CONCERN_MOT_2172,1,26
"i keep struggling with student stress during exam cycles",CONCERN_DIS_1297,EMOTIONAL_REGULATION,drift,CONCERN_MOT_2172,2,23
"i cannot manage student stress during exam cycles",CONCERN_DIS_1297,EMOTIONAL_REGULATION,drift,CONCERN_LEA_1430,1,28
"i need help with student stress during exam cycles",CONCERN_DIS_1297,EMOTIONAL_REGULATION,drift,CONCERN_HEL_2306,1,31
"i struggle with student emotional stress during placement season",CONCERN_DIS_1331,EMOTIONAL_REGULATION,drift,CONCERN_EMP_1053,1,24
"i keep struggling with student emotional stress during placement season",CONCERN_DIS_1331,EMOTIONAL_REGULATION,drift,CONCERN_MOT_2172,2,26
"i need help with student emotional stress during placement season",CONCERN_DIS_1331,EMOTIONAL_REGULATION,drift,CONCERN_HEL_2306,1,34
"i need help with emotional pressure from social media toppers",CONCERN_DIS_163,CONFIDENCE_SELF,failure,,1,0
"i struggle with time management",CONCERN_DIS_1659,DISCIPLINE_HABITS,drift,CONCERN_HOL_781,1,22
"i struggle with study discipline",CONCERN_DIS_1660,DISCIPLINE_HABITS,drift,CONCERN_CAR_256,12,31
"i keep struggling with study discipline",CONCERN_DIS_1660,DISCIPLINE_HABITS,failure,,3,0
"i struggle with consistency in performance",CONCERN_DIS_1662,ACADEMIC_PERFORMANCE,drift,CONCERN_CAR_256,12,31
"i keep struggling with consistency in performance",CONCERN_DIS_1662,ACADEMIC_PERFORMANCE,failure,,1,0
"i cannot manage consistency in performance",CONCERN_DIS_1662,ACADEMIC_PERFORMANCE,failure,,2,0
"i need help with consistency in performance",CONCERN_DIS_1662,ACADEMIC_PERFORMANCE,failure,,7,0
"i struggle with academic expectations",CONCERN_DIS_1695,EXAMINATION_STRESS,drift,CONCERN_CAR_256,7,36
"i keep struggling with academic expectations",CONCERN_DIS_1695,EXAMINATION_STRESS,drift,CONCERN_CLA_1443,3,27
"i cannot manage academic expectations",CONCERN_DIS_1695,EXAMINATION_STRESS,failure,,5,0
"i need help with academic expectations",CONCERN_DIS_1695,EXAMINATION_STRESS,failure,,1,0
"i struggle with peer pressure",CONCERN_DIS_1745,SOCIAL_EMOTIONAL,drift,CONCERN_HOL_781,1,18
"i keep struggling with peer pressure",CONCERN_DIS_1745,SOCIAL_EMOTIONAL,failure,,3,0
"i cannot manage peer pressure",CONCERN_DIS_1745,SOCIAL_EMOTIONAL,drift,CONCERN_MOT_1146,1,14
"i need help with peer pressure",CONCERN_DIS_1745,SOCIAL_EMOTIONAL,failure,,2,0
"i cannot manage tuition dependency",CONCERN_DIS_1762,ACADEMIC_COGNITIVE,failure,,2,0
"i need help with tuition dependency",CONCERN_DIS_1762,ACADEMIC_COGNITIVE,failure,,1,0
"i cannot manage emotional regulation",CONCERN_DIS_1780,EXAMINATION_STRESS,drift,CONCERN_LEA_783,5,30
"i struggle with self-discipline",CONCERN_DIS_1943,DISCIPLINE_HABITS,drift,CONCERN_CAR_256,12,37
"i cannot manage self-discipline",CONCERN_DIS_1943,DISCIPLINE_HABITS,drift,CONCERN_PER_1547,1,40
"i struggle with initiative in learning",CONCERN_DIS_1945,MOTIVATION_VALUES,drift,CONCERN_DIS_2131,2,25
"i need help with initiative in learning",CONCERN_DIS_1945,MOTIVATION_VALUES,failure,,1,0
"i struggle with study motivation",CONCERN_DIS_1985,MOTIVATION_VALUES,drift,CONCERN_CAR_256,12,31
"i keep struggling with study motivation",CONCERN_DIS_1985,MOTIVATION_VALUES,failure,,3,0
"i cannot manage study motivation",CONCERN_DIS_1985,MOTIVATION_VALUES,drift,CONCERN_CON_1942,3,22
"i need help with study motivation",CONCERN_DIS_1985,MOTIVATION_VALUES,drift,CONCERN_CLA_2119,4,31
"i need help with handling students with poor time management",CONCERN_DIS_2120,DISCIPLINE_HABITS,drift,CONCERN_EXA_2195,1,37
"i cannot manage students with attention instability",CONCERN_DIS_2121,ACADEMIC_COGNITIVE,drift,CONCERN_EMO_1412,1,20
"i need help with students with low academic confidence in stem",CONCERN_DIS_2162,STEM_LEARNING,drift,CONCERN_CLA_2243,1,27
"i cannot manage handling students with weak classroom engagement",CONCERN_DIS_2190,CLASSROOM_ENGAGEMENT,failure,,1,0
"i need help with handling students with weak classroom engagement",CONCERN_DIS_2190,CLASSROOM_ENGAGEMENT,failure,,3,0
"i keep struggling with handling students with weak exam writing structure",CONCERN_DIS_2194,EXAMINATION_READINESS,drift,CONCERN_CON_1322,1,19
"i cannot manage handling students with weak exam writing structure",CONCERN_DIS_2194,EXAMINATION_READINESS,failure,,1,0
