concern_id,domain,concern_cluster,display_label,Concern Search,relevance_in_india,parent_anxiety_level,growth_trend,severity,capadex_priority,common_indian_context,primary_persona,contextual_modifier,concern_category,intelligence_layer,signal_cluster,assessment_dimension,root_cause_group,intervention_lens,capability_mapping,relational_bridge_tag,age_min,age_max,source_row_index
CONCERN_MOT_648,Employability,Weak Ability to Build Career Portability Across Industries,Build Career Portability Across Industries,Transfer career across industries,Medium,Medium,Rising,Medium,P2,Experience too narrowly specialized,Working Professional,Career Flexibility,Career Portability Weakness,Strategic Intelligence,Limited Opportunity Signals,Employability Readiness,Narrow Functional Identity,Career Coaching,Cross-Industry Adaptability,EMPLOYABILITY,28,55,648
CONCERN_EMP_649,Leadership & Ownership,Difficulty Handling Performance Expectations After Promotions,Performance Expectations After Promotions,Expectations after promotion,Medium,Medium,Rising,Medium,P2,Increased scrutiny after advancement,Working Professional,Leadership Transition,Post-Promotion Pressure Anxiety,Emotional Intelligence,Self-Doubt & Overload Signals,Leadership Stability,Fear of Failure,Leadership Coaching,Promotion Sustainability,LEADERSHIP_OWNERSHIP,30,55,649
CONCERN_LEA_650,Academic & Cognitive Effectiveness,Weak Ability to Sustain Deep Work in Distracting Environments,Sustain Deep Work in Distracting Environments,Deep work despite distractions,High,Medium,Rising,Medium,P2,Open-office and digital interruption culture,Working Professional,Cognitive Productivity,Deep Work Disruption,Cognitive Intelligence,Focus Fragmentation Signals,Productivity Stability,Constant Interruptions,Focus Coaching,Deep Thinking,ACADEMIC_COGNITIVE,24,55,650
CONCERN_ACA_651,Academic Identity & Meaning,Difficulty Managing Identity Conflict Between Role and Personal Values,Identity Conflict Between Role and Personal Values,Job values conflict,Medium,Medium,Rising,Medium,P2,Ethical or cultural misalignment at work,Working Professional,Identity Alignment,Workplace Identity Conflict,Identity Intelligence,Internal Conflict Signals,Emotional Stability,Value Misalignment,Identity Coaching,Authentic Leadership,ACADEMIC_IDENTITY,28,55,651
CONCERN_ACA_652,Leadership Readiness,Weak Confidence in Transitioning Into Strategic Leadership Roles,Transitioning Into Strategic Leadership Roles,Moving into leadership,Medium,Medium,Rising,Medium,P2,Fear of broader business accountability,Working Professional,Executive Transition,Strategic Leadership Anxiety,Emotional Intelligence,Hesitation & Self-Doubt Signals,Executive Readiness,Limited Strategic Exposure,Leadership Coaching,Strategic Leadership,LEADERSHIP_READINESS,32,55,652
CONCERN_LEA_653,Lifestyle & Pressure Environment,Difficulty Maintaining Healthy Habits During Career Growth Phases,Healthy Habits During Career Growth Phases,Healthy habits during career growth,High,Medium,Rising,Medium,P2,"Sleep, exercise, and health neglect",Working Professional,Wellness Stability,Career Growth Lifestyle Imbalance,Wellness Intelligence,Fatigue & Burnout Signals,Sustainable Stability,Overcommitment Culture,Wellness Coaching,Healthy Performance,LIFESTYLE_PRESSURE,25,55,653
CONCERN_LIF_654,Leadership & Ownership,Weak Ability to Build Psychological Safety Within Teams,Build Psychological Safety Within Teams,Creating safe team culture,Medium,Medium,Rising,Medium,P2,Teams hesitant to speak openly,Working Professional,Team Leadership,Psychological Safety Weakness,Social Intelligence,Silence & Low Engagement Signals,Leadership Effectiveness,Fear-Based Team Culture,Leadership Coaching,Trust-Based Teaming,LEADERSHIP_OWNERSHIP,30,55,654
CONCERN_LEA_655,Emotional Recovery,Difficulty Recovering from Leadership Failures Publicly,Recovering from Leadership Failures Publicly,Recovering from leadership mistakes,Medium,Medium,Rising,Medium,P2,Visible managerial mistakes affecting credibility,Working Professional,Leadership Recovery,Leadership Failure Sensitivity,Emotional Intelligence,Shame & Withdrawal Signals,Recovery Stability,Fear of Judgment,Recovery Coaching,Leadership Resilience,EMOTIONAL_RECOVERY,30,55,655
CONCERN_EMO_656,Career Growth,Weak Ability to Manage Strategic Career Transitions Internally,Manage Strategic Career Transitions Internally,Internal career transition,Medium,Medium,Rising,Medium,P2,Internal mobility confusion,Working Professional,Career Navigation,Internal Career Transition Weakness,Strategic Intelligence,Direction Drift Signals,Growth Alignment,Lack of Career Planning,Career Coaching,Organizational Mobility,CAREER_GROWTH,28,55,656
CONCERN_CAR_657,Social & Emotional Intelligence,Difficulty Sustaining Emotional Stability During Workplace Isolation,Sustaining Emotional Stability During Workplace Isolation,Workplace isolation stress,Medium,Medium,Rising,Medium,P2,Remote work loneliness and disengagement,Working Professional,Workplace Connection,Professional Isolation Anxiety,Emotional Intelligence,Withdrawal & Low Engagement Signals,Emotional Stability,Weak Social Connectivity,Social Coaching,Workplace Belonging,SOCIAL_EMOTIONAL,24,55,657
CONCERN_SOC_658,Employability,Weak Confidence in Long-Term Professional Relevance,Long-Term Professional Relevance,Staying relevant professionally,High,High,Rising,High,P1,Fear of becoming outdated professionally,Working Professional,Future Employability,Long-Term Relevance Anxiety,Emotional Intelligence,Fear & Hopelessness Signals,Future Readiness,Rapid Industry Evolution,Adaptability Coaching,Future-Proof Capability,EMPLOYABILITY,35,55,658
CONCERN_EMP_659,Lifestyle & Pressure Environment,Difficulty Maintaining Consistent Energy Across Career Demands,Consistent Energy Across Career Demands,Maintaining energy at work,High,High,Rising,High,P1,"Workload, travel, family, and upskilling pressure",Working Professional,Energy Management,Career Energy Depletion,Wellness Intelligence,Fatigue & Exhaustion Signals,Sustainable Performance,Chronic Overload,Wellness Coaching,Energy Sustainability,LIFESTYLE_PRESSURE,25,55,659
CONCERN_LIF_660,Holistic Development,"Weak Holistic Integration of Leadership, Performance, and Wellbeing","Holistic Integration of Leadership, Performance, and Wellbeing",Leadership and wellbeing balance,Very High,Critical,Rising,Critical,P1,Success accompanied by emotional and lifestyle imbalance,Working Professional,Whole-Person Leadership,Leadership-Wellbeing Fragmentation,Systems Intelligence,Fragmented Stability Signals,Sustainable Professional Readiness,Unintegrated Growth Systems,Holistic Coaching,Whole-Person Leadership Capability,HOLISTIC_DEVELOPMENT,24,55,660
CONCERN_HOL_661,Workplace Adaptation,Difficulty Adjusting from Campus Culture to Corporate Culture,Adjusting from Campus Culture to Corporate Culture,College to corporate transition,Very High,High,Rising,High,P1,Sudden exposure to formal workplace expectations,Early Career Professional,Transition Readiness,Campus-to-Corporate Adaptation Anxiety,Adaptive Intelligence,Adjustment Stress Signals,Workplace Readiness,Lack of Professional Exposure,Transition Coaching,Corporate Adaptability,WORKPLACE_ADAPTATION,21,30,661
CONCERN_WOR_662,Communication & Expression,Weak Confidence During Initial Team Interactions,Initial Team Interactions,First interactions with team,High,Medium,Rising,Medium,P2,Hesitation interacting with experienced colleagues,Early Career Professional,Workplace Communication,Early Workplace Social Anxiety,Emotional Intelligence,Hesitation & Withdrawal Signals,Team Integration,Fear of Judgment,Communication Coaching,Workplace Collaboration,COMMUNICATION_EXPRESSION,21,30,662
CONCERN_COM_663,Emotional Regulation,Difficulty Managing Performance Pressure in First Job,Performance Pressure in First Job,First job performance pressure,Very High,High,Rising,High,P1,Fear of underperforming during probation,Early Career Professional,Performance Stability,First Job Performance Anxiety,Emotional Intelligence,Stress & Overthinking Signals,Emotional Stability,Fear of Failure,Emotional Coaching,Performance Resilience,EMOTIONAL_REGULATION,21,30,663
CONCERN_EMO_664,Workplace Performance,Weak Ability to Understand Workplace Expectations Quickly,Understand Workplace Expectations Quickly,Understanding workplace expectations,High,Medium,Rising,Medium,P2,Difficulty interpreting manager expectations,Early Career Professional,Workplace Awareness,Expectation Clarity Weakness,Applied Intelligence,Confusion & Delay Signals,Operational Readiness,Limited Workplace Conditioning,Workplace Coaching,Professional Alignment,WORKPLACE_PERFORMANCE,21,30,664
CONCERN_WOR_665,Communication & Expression,Difficulty Building Confidence in Professional Communication,Building Confidence in Professional Communication,Professional communication confidence,High,Medium,Rising,Medium,P2,Informal communication habits affecting professionalism,Early Career Professional,Corporate Communication,Professional Communication Anxiety,Linguistic Intelligence,Unstructured Communication Signals,Communication Stability,Limited Professional Exposure,Communication Coaching,Corporate Communication,COMMUNICATION_EXPRESSION,21,30,665
CONCERN_COM_666,Strategic Preparation,Weak Ability to Prioritize Tasks Independently,Prioritize Tasks Independently,Prioritizing work independently,High,Medium,Rising,Medium,P2,Dependence on constant guidance,Early Career Professional,Productivity Management,Independent Prioritization Weakness,Strategic Intelligence,Delay & Confusion Signals,Execution Stability,Weak Planning Skills,Productivity Coaching,Self-Managed Execution,STRATEGIC_PREPARATION,21,30,666
CONCERN_STR_667,Emotional Recovery,Difficulty Handling Workplace Feedback Emotionally,Workplace Feedback Emotionally,Handling workplace feedback,High,Medium,Rising,Medium,P2,Defensive reactions to corrections,Early Career Professional,Professional Maturity,Feedback Sensitivity,Emotional Intelligence,Withdrawal & Defensiveness Signals,Emotional Stability,Fragile Professional Confidence,Feedback Coaching,Growth Mindset,EMOTIONAL_RECOVERY,21,30,667
CONCERN_EMO_668,Communication & Expression,Weak Confidence in Asking Questions at Work,Asking Questions at Work,Confidence asking questions at work,Medium,Medium,Rising,Medium,P2,Fear of appearing incompetent,Early Career Professional,Learning Communication,Workplace Questioning Anxiety,Emotional Intelligence,Silence & Hesitation Signals,Learning Agility,Fear of Judgment,Communication Coaching,Active Learning,COMMUNICATION_EXPRESSION,21,30,668
CONCERN_COM_669,Lifestyle & Pressure Environment,Difficulty Managing Workload During Initial Months,Workload During Initial Months,Managing workload in first job,High,Medium,Rising,Medium,P2,Sudden transition from academic flexibility,Early Career Professional,Workplace Adjustment,Initial Workload Stress,Wellness Intelligence,Exhaustion & Overwhelm Signals,Adaptability Stability,Sudden Responsibility Shift,Wellness Coaching,Sustainable Adaptation,LIFESTYLE_PRESSURE,21,30,669
CONCERN_LIF_670,Competency Development,Weak Ability to Translate Academic Knowledge into Execution,Translate Academic Knowledge into Execution,Applying academics at work,Very High,High,Rising,High,P1,Strong theory but weak workplace application,Early Career Professional,Applied Learning,Academic-to-Execution Gap,Applied Intelligence,Practical Competency Gap Signals,Workplace Readiness,Lack of Hands-On Experience,Applied Coaching,Execution Capability,COMPETENCY_DEVELOPMENT,21,30,670
CONCERN_COM_671,"Confidence, Self-Concept & Comparison",Difficulty Building Professional Confidence After Mistakes,Building Professional Confidence After Mistakes,Confidence after work mistakes,High,Medium,Rising,Medium,P2,Small errors severely affecting confidence,Early Career Professional,Emotional Stability,Workplace Mistake Anxiety,Emotional Intelligence,Self-Doubt Signals,Confidence Stability,Fear of Incompetence,Confidence Coaching,Professional Resilience,CONFIDENCE_SELF,21,30,671
CONCERN_CON_672,Workplace Performance,Weak Ability to Adapt to Fast-Paced Work Environments,Adapt to Fast-Paced Work Environments,Adjusting to fast-paced work,High,Medium,Rising,Medium,P2,Struggling with speed and responsiveness,Early Career Professional,Productivity Adaptation,Fast-Paced Workplace Anxiety,Adaptive Intelligence,Stress & Delay Signals,Operational Stability,Slow Adjustment Patterns,Adaptability Coaching,Agile Execution,WORKPLACE_PERFORMANCE,21,30,672
CONCERN_WOR_673,"Confidence, Self-Concept & Comparison",Difficulty Managing Imposter Syndrome in Early Roles,Imposter Syndrome in Early Roles,Self-doubt in first job,High,High,Rising,High,P1,Feeling less capable than peers,Early Career Professional,Emotional Stability,Early Career Imposter Syndrome,Emotional Intelligence,Inferiority & Anxiety Signals,Confidence Stability,Comparison Pressure,Emotional Coaching,Professional Self-Belief,CONFIDENCE_SELF,21,32,673
CONCERN_CON_674,Workplace Adaptation,Weak Awareness of Corporate Etiquette and Boundaries,Awareness of Corporate Etiquette and Boundaries,Corporate etiquette,Medium,Medium,Rising,Medium,P2,Informal student behavior continuing at work,Early Career Professional,Professional Conduct,Workplace Etiquette Awareness Deficit,Social Intelligence,Misalignment Signals,Corporate Readiness,Limited Corporate Conditioning,Workplace Coaching,Professional Conduct,WORKPLACE_ADAPTATION,21,30,674
CONCERN_WOR_675,Emotional Regulation,Difficulty Managing Emotional Pressure During Probation,Emotional Pressure During Probation,Probation period stress,High,High,Rising,High,P1,Fear of not being confirmed,Early Career Professional,Performance Stability,Probation Anxiety,Emotional Intelligence,Panic & Stress Signals,Emotional Stability,Fear of Job Loss,Emotional Coaching,Workplace Stability,EMOTIONAL_REGULATION,21,30,675
CONCERN_EMO_676,Communication & Expression,Weak Confidence in Participating During Meetings,Participating During Meetings,Speaking in meetings,Medium,Medium,Rising,Medium,P2,Hesitation sharing ideas publicly,Early Career Professional,Team Communication,Meeting Participation Anxiety,Emotional Intelligence,Silence & Avoidance Signals,Collaboration Stability,Fear of Judgment,Communication Coaching,Professional Participation,COMMUNICATION_EXPRESSION,21,30,676
CONCERN_COM_677,"Discipline, Habits & Consistency",Difficulty Building Consistent Work Discipline,Building Consistent Work Discipline,Work discipline,High,Medium,Rising,Medium,P2,Difficulty adapting to structured work routines,Early Career Professional,Productivity Discipline,Workplace Discipline Instability,Habit Intelligence,Delay & Inconsistency Signals,Productivity Stability,Weak Habit Systems,Discipline Coaching,Workplace Reliability,DISCIPLINE_HABITS,21,30,677
CONCERN_DIS_678,Emotional Regulation,Weak Ability to Manage Stress Without Academic Support Systems,Manage Stress Without Academic Support Systems,Managing stress independently,High,High,Rising,High,P1,No familiar student support ecosystem,Early Career Professional,Emotional Independence,Independent Stress Management Weakness,Emotional Intelligence,Burnout & Anxiety Signals,Emotional Stability,Sudden Lifestyle Transition,Emotional Coaching,Self-Regulation,EMOTIONAL_REGULATION,21,32,678
CONCERN_EMO_679,Career Growth,Difficulty Understanding Long-Term Career Growth Pathways,Understanding Long-Term Career Growth Pathways,Career growth roadmap,Medium,Medium,Rising,Medium,P2,Unclear future beyond first job,Early Career Professional,Career Planning,Career Growth Ambiguity,Strategic Intelligence,Direction Drift Signals,Long-Term Stability,Lack of Mentorship,Career Coaching,Career Navigation,CAREER_GROWTH,21,32,679
CONCERN_CAR_680,Holistic Development,Weak Holistic Readiness for Workplace Performance and Growth,Holistic Readiness for Workplace Performance and Growth,Workplace success readiness,Very High,Critical,Rising,Critical,P1,"Skills, adaptability, communication, and confidence gaps",Early Career Professional,Whole-Person Growth,Early Career Readiness Instability,Systems Intelligence,Fragmented Workplace Signals,Holistic Professional Readiness,Unintegrated Development Systems,Holistic Coaching,Sustainable Professional Capability,HOLISTIC_DEVELOPMENT,21,32,680
CONCERN_HOL_681,Workplace Adaptation,Difficulty Managing Workplace Expectations Without Continuous Guidance,Workplace Expectations Without Continuous Guidance,Working without supervision,High,Medium,Rising,Medium,P2,Managers expecting proactive ownership,Early Career Professional,Self Management,Guidance Dependency Anxiety,Ownership Intelligence,Delay & Dependency Signals,Operational Readiness,Limited Independent Exposure,Ownership Coaching,Autonomous Execution,WORKPLACE_ADAPTATION,21,30,681
CONCERN_WOR_682,Emotional Recovery,Weak Ability to Handle Professional Criticism Constructively,Handle Professional Criticism Constructively,Accepting criticism professionally,Medium,Medium,Rising,Medium,P2,Taking feedback personally,Early Career Professional,Emotional Maturity,Criticism Sensitivity,Emotional Intelligence,Defensive & Withdrawal Signals,Emotional Stability,Fragile Self-Perception,Recovery Coaching,Growth Orientation,EMOTIONAL_RECOVERY,21,30,682
CONCERN_EMO_683,Social & Emotional Intelligence,Difficulty Building Workplace Relationships Quickly,Building Workplace Relationships Quickly,Building workplace relationships,Medium,Medium,Rising,Medium,P2,Feeling isolated in corporate teams,Early Career Professional,Team Integration,Workplace Relationship Anxiety,Social Intelligence,Isolation & Hesitation Signals,Collaboration Stability,Low Social Confidence,Relationship Coaching,Team Integration,SOCIAL_EMOTIONAL,21,30,683
CONCERN_SOC_684,Communication & Expression,Weak Confidence in Handling Client Communication,Handling Client Communication,Client communication skills,Medium,Medium,Rising,Medium,P2,Fear during client-facing conversations,Early Career Professional,Client Communication,Client Interaction Anxiety,Emotional Intelligence,Nervousness & Hesitation Signals,Professional Communication,Limited Exposure,Communication Coaching,Client Readiness,COMMUNICATION_EXPRESSION,21,30,684
CONCERN_COM_685,Competency Development,Difficulty Managing Emotional Fatigue from Continuous Learning,Emotional Fatigue from Continuous Learning,Learning fatigue at work,High,Medium,Rising,Medium,P2,Constant upskilling pressure after joining,Early Career Professional,Continuous Learning,Learning Fatigue,Wellness Intelligence,Exhaustion & Disengagement Signals,Growth Sustainability,Continuous Performance Pressure,Wellness Coaching,Sustainable Learning,COMPETENCY_DEVELOPMENT,21,32,685
CONCERN_COM_686,Strategic Preparation,Weak Ability to Understand Workplace Priorities Strategically,Understand Workplace Priorities Strategically,Understanding work priorities,Medium,Medium,Rising,Medium,P2,Confusion between urgent and important tasks,Early Career Professional,Strategic Awareness,Priority Management Weakness,Strategic Intelligence,Misaligned Focus Signals,Productivity Stability,Limited Business Context,Productivity Coaching,Strategic Prioritization,STRATEGIC_PREPARATION,21,30,686
CONCERN_STR_687,Workplace Adaptation,Difficulty Handling Workplace Ambiguity During Early Projects,Workplace Ambiguity During Early Projects,Unclear project expectations,High,Medium,Rising,Medium,P2,Tasks without clear instructions,Early Career Professional,Adaptability Readiness,Ambiguity Handling Anxiety,Adaptive Intelligence,Stress & Confusion Signals,Workplace Adaptability,Need for Structured Guidance,Adaptability Coaching,Flexible Execution,WORKPLACE_ADAPTATION,21,32,687
CONCERN_WOR_688,Communication & Expression,Weak Confidence in Professional Writing and Documentation,Professional Writing and Documentation,Business writing skills,Medium,Medium,Rising,Medium,P2,Difficulty writing emails/reports professionally,Early Career Professional,Written Communication,Professional Writing Anxiety,Linguistic Intelligence,Hesitation & Error Signals,Corporate Communication,Limited Workplace Writing Practice,Writing Coaching,Business Writing,COMMUNICATION_EXPRESSION,21,30,688
CONCERN_COM_689,Workplace Performance,Difficulty Balancing Speed and Quality at Work,Balancing Speed and Quality at Work,Speed vs quality balance,High,Medium,Rising,Medium,P2,Pressure to deliver quickly without mistakes,Early Career Professional,Productivity Balance,Speed-Quality Conflict,Systems Intelligence,Rework & Delay Signals,Operational Stability,Weak Execution Frameworks,Productivity Coaching,Quality Execution,WORKPLACE_PERFORMANCE,21,32,689
CONCERN_WOR_690,Leadership & Ownership,Weak Ability to Build Workplace Ownership Mindset,Build Workplace Ownership Mindset,Taking ownership at work,High,Medium,Rising,Medium,P2,Waiting for instructions instead of initiative,Early Career Professional,Ownership Development,Workplace Ownership Deficit,Ownership Intelligence,Passive Execution Signals,Accountability Stability,Student Mindset Carryover,Ownership Coaching,Proactive Contribution,LEADERSHIP_OWNERSHIP,21,32,690
CONCERN_LEA_691,Emotional Recovery,Difficulty Recovering Emotionally After Workplace Errors,Recovering Emotionally After Workplace Errors,Recovering after work mistakes,Medium,Medium,Rising,Medium,P2,Small mistakes causing prolonged anxiety,Early Career Professional,Recovery Stability,Workplace Error Recovery Weakness,Emotional Intelligence,Shame & Withdrawal Signals,Emotional Stability,Fear of Judgment,Recovery Coaching,Emotional Resilience,EMOTIONAL_RECOVERY,21,32,691
CONCERN_EMO_692,Workplace Adaptation,Weak Ability to Understand Organizational Dynamics,Understand Organizational Dynamics,Understanding office dynamics,Medium,Medium,Rising,Medium,P2,Confusion around hierarchy and processes,Early Career Professional,Organizational Awareness,Organizational Navigation Weakness,Systems Intelligence,Misalignment Signals,Workplace Integration,Limited Corporate Exposure,Workplace Coaching,Organizational Intelligence,WORKPLACE_ADAPTATION,21,32,692
CONCERN_WOR_693,"Motivation, Values & Responsibility",Difficulty Maintaining Motivation During Repetitive Tasks,Motivation During Repetitive Tasks,Staying motivated in repetitive work,Medium,Medium,Rising,Medium,P2,Monotonous operational work reducing engagement,Early Career Professional,Motivation Stability,Repetitive Work Disengagement,Motivational Intelligence,Productivity Decline Signals,Persistence Stability,Lack of Meaningful Challenge,Motivation Coaching,Engagement Sustainability,MOTIVATION_VALUES,21,32,693
CONCERN_MOT_694,Communication & Expression,Weak Confidence in Escalating Problems Professionally,Escalating Problems Professionally,Raising issues professionally,Medium,Medium,Rising,Medium,P2,Hesitation informing managers about issues,Early Career Professional,Professional Communication,Escalation Anxiety,Emotional Intelligence,Silence & Delay Signals,Workplace Reliability,Fear of Negative Judgment,Communication Coaching,Professional Accountability,COMMUNICATION_EXPRESSION,21,32,694
CONCERN_COM_695,Emotional Regulation,Difficulty Managing Stress During Tight Deadlines,Stress During Tight Deadlines,Deadline pressure,High,High,Rising,High,P1,Deadline-driven project culture,Early Career Professional,Performance Pressure,Deadline Anxiety,Emotional Intelligence,Panic & Fatigue Signals,Execution Stability,Weak Stress Regulation,Emotional Coaching,Pressure Management,EMOTIONAL_REGULATION,21,32,695
CONCERN_EMO_696,Career Growth,Weak Ability to Build Professional Credibility Early,Build Professional Credibility Early,Building credibility at work,Medium,Medium,Rising,Medium,P2,Feeling underestimated due to limited experience,Early Career Professional,Career Positioning,Early Credibility Weakness,Strategic Intelligence,Low Trust Signals,Career Advancement,Limited Demonstrated Expertise,Visibility Coaching,Professional Credibility,CAREER_GROWTH,21,32,696
CONCERN_CAR_697,"Confidence, Self-Concept & Comparison",Difficulty Handling Comparison with High-Performing Peers,Comparison with High-Performing Peers,Comparing with top performers,High,High,Rising,High,P1,Comparing growth and salary progression,Early Career Professional,Emotional Stability,Workplace Comparison Anxiety,Emotional Intelligence,Inferiority & Self-Doubt Signals,Confidence Stability,External Validation Dependence,Emotional Coaching,Independent Confidence,CONFIDENCE_SELF,21,32,697
CONCERN_CON_698,Competency Development,Weak Ability to Build Consistent Workplace Learning Habits,Build Consistent Workplace Learning Habits,Continuous workplace learning,Medium,Medium,Rising,Medium,P2,Irregular learning after office hours,Early Career Professional,Learning Discipline,Workplace Learning Inconsistency,Habit Intelligence,Engagement Drop Signals,Growth Continuity,Weak Learning Systems,Discipline Coaching,Continuous Development,COMPETENCY_DEVELOPMENT,21,32,698
CONCERN_COM_699,Strategic Preparation,Difficulty Understanding Business Impact Beyond Assigned Tasks,Understanding Business Impact Beyond Assigned Tasks,Understanding business impact,Medium,Medium,Rising,Medium,P2,Narrow task-focused execution mindset,Early Career Professional,Business Awareness,Business Context Awareness Deficit,Applied Intelligence,Isolated Execution Signals,Strategic Readiness,Limited Business Exposure,Business Coaching,Commercial Awareness,STRATEGIC_PREPARATION,21,32,699
CONCERN_STR_700,"Confidence, Self-Concept & Comparison",Weak Confidence in Long-Term Career Potential,Long-Term Career Potential,Future career potential,High,Medium,Rising,Medium,P2,Doubting future leadership capability,Early Career Professional,Career Confidence,Long-Term Career Self-Doubt,Emotional Intelligence,Anxiety & Limiting Beliefs Signals,Growth Stability,Lack of Long-Term Vision,Confidence Coaching,Career Self-Belief,CONFIDENCE_SELF,21,32,700
CONCERN_CON_701,"Confidence, Self-Concept & Comparison",Difficulty Managing Emotional Dependence on Manager Approval,Emotional Dependence on Manager Approval,Need manager approval,High,Medium,Rising,Medium,P2,Mood fluctuating based on manager feedback,Early Career Professional,Emotional Independence,Manager Validation Dependency,Emotional Intelligence,Anxiety & Approval-Seeking Signals,Confidence Stability,Low Internal Validation,Emotional Coaching,Internal Confidence,CONFIDENCE_SELF,21,32,701
CONCERN_CON_702,Workplace Performance,Weak Ability to Handle Workplace Multitasking,Handle Workplace Multitasking,Multitasking at work,Medium,Medium,Rising,Medium,P2,Multiple assignments causing confusion,Early Career Professional,Productivity Adaptation,Multitasking Instability,Cognitive Intelligence,Overload & Delay Signals,Execution Stability,Weak Task Structuring,Productivity Coaching,Workflow Management,WORKPLACE_PERFORMANCE,21,32,702
CONCERN_WOR_703,Workplace Adaptation,Difficulty Managing Professional Boundaries with Colleagues,Professional Boundaries with Colleagues,Workplace boundaries,Medium,Medium,Rising,Medium,P2,Overfriendliness or excessive withdrawal,Early Career Professional,Workplace Relationships,Professional Boundary Weakness,Social Intelligence,Interaction Imbalance Signals,Workplace Integration,Limited Corporate Exposure,Workplace Coaching,Professional Conduct,WORKPLACE_ADAPTATION,21,32,703
CONCERN_WOR_704,Communication & Expression,Weak Confidence in Presenting Ideas to Seniors,Presenting Ideas to Seniors,Presenting ideas to leadership,Medium,Medium,Rising,Medium,P2,Hesitation sharing suggestions openly,Early Career Professional,Leadership Communication,Senior Interaction Anxiety,Emotional Intelligence,Hesitation & Silence Signals,Executive Communication,Fear of Judgment,Communication Coaching,Executive Presence,COMMUNICATION_EXPRESSION,21,32,704
CONCERN_COM_705,Emotional Regulation,Difficulty Managing Work Anxiety Outside Office Hours,Work Anxiety Outside Office Hours,Work anxiety after office,High,Medium,Rising,Medium,P2,Constant overthinking after work,Early Career Professional,Emotional Stability,Post-Work Anxiety Spillover,Emotional Intelligence,Rumination & Stress Signals,Recovery Stability,Lack of Emotional Detachment,Emotional Coaching,Work-Life Recovery,EMOTIONAL_REGULATION,21,32,705
CONCERN_EMO_706,Competency Development,Weak Ability to Build Structured Professional Learning Plans,Build Structured Professional Learning Plans,Professional development plan,Medium,Medium,Rising,Medium,P2,Random upskilling without direction,Early Career Professional,Career Learning,Learning Structure Weakness,Strategic Intelligence,Direction Drift Signals,Growth Stability,Lack of Career Clarity,Learning Coaching,Structured Upskilling,COMPETENCY_DEVELOPMENT,21,32,706
CONCERN_COM_707,Emotional Recovery,Difficulty Maintaining Confidence During Performance Reviews,Confidence During Performance Reviews,Performance review confidence,High,Medium,Rising,Medium,P2,Fear of appraisals and ratings,Early Career Professional,Performance Evaluation,Review Anxiety,Emotional Intelligence,Stress & Panic Signals,Emotional Stability,Fear of Negative Evaluation,Emotional Coaching,Review Resilience,EMOTIONAL_RECOVERY,21,32,707
CONCERN_EMO_708,Leadership & Ownership,Weak Ability to Understand Workplace Accountability Standards,Understand Workplace Accountability Standards,Workplace accountability,Medium,Medium,Rising,Medium,P2,Difficulty adapting to ownership culture,Early Career Professional,Accountability Development,Accountability Awareness Deficit,Ownership Intelligence,Delay & Excuse Signals,Professional Reliability,Student Mindset Carryover,Ownership Coaching,Accountability Readiness,LEADERSHIP_OWNERSHIP,21,32,708
CONCERN_LEA_709,"Motivation, Values & Responsibility",Difficulty Managing Motivation During Slow Growth Phases,Motivation During Slow Growth Phases,Motivation during slow growth,Medium,Medium,Rising,Medium,P2,Feeling impatient about promotions,Early Career Professional,Growth Persistence,Slow Career Growth Frustration,Motivational Intelligence,Engagement Drop Signals,Persistence Stability,Unrealistic Growth Expectations,Motivation Coaching,Long-Term Persistence,MOTIVATION_VALUES,21,32,709
CONCERN_MOT_710,Workplace Adaptation,Weak Confidence in Handling Workplace Ambiguity Independently,Handling Workplace Ambiguity Independently,Managing uncertainty at work,Medium,Medium,Rising,Medium,P2,Seeking constant reassurance,Early Career Professional,Adaptability Confidence,Ambiguity Dependence,Emotional Intelligence,Hesitation & Dependency Signals,Workplace Adaptability,Low Self-Trust,Confidence Coaching,Independent Adaptability,WORKPLACE_ADAPTATION,21,32,710
CONCERN_WOR_711,Lifestyle & Pressure Environment,"Difficulty Balancing Learning, Delivery, and Personal Life","Balancing Learning, Delivery, and Personal Life",Work-learning-life balance,High,High,Rising,High,P1,Upskilling alongside project pressure,Early Career Professional,Work-Life Balance,Growth-Life Imbalance,Systems Intelligence,Burnout & Fatigue Signals,Holistic Stability,Excessive Performance Pressure,Wellness Coaching,Sustainable Growth,LIFESTYLE_PRESSURE,21,32,711
CONCERN_LIF_712,Career Growth,Weak Ability to Build Professional Influence Early,Build Professional Influence Early,Build influence early in career,Medium,Medium,Rising,Medium,P2,Difficulty being taken seriously,Early Career Professional,Workplace Positioning,Early Influence Weakness,Social Intelligence,Low Visibility Signals,Career Advancement,Limited Organizational Presence,Influence Coaching,Professional Presence,CAREER_GROWTH,21,32,712
CONCERN_CAR_713,Emotional Regulation,Difficulty Handling Workplace Uncertainty During Organizational Changes,Workplace Uncertainty During Organizational Changes,Organizational change stress,High,Medium,Rising,Medium,P2,Anxiety during restructuring or manager changes,Early Career Professional,Emotional Stability,Organizational Change Anxiety,Emotional Intelligence,Stress & Overthinking Signals,Adaptability Stability,Fear of Instability,Emotional Coaching,Change Resilience,EMOTIONAL_REGULATION,21,32,713
