intent,target_id,target_label,target_tag,resolved_id,resolved_label,resolved_tag,matched,nTok,score,tie
i keep struggling with supporting students with weak exam strategy skills,CONCERN_MOT_2220,Supporting Students with Weak Exam Strategy Skills,EXAMINATION_READINESS,CONCERN_ACA_2454,Supporting Students with Weak Academic Organization During Exams,DISCIPLINE_HABITS,4,6,67,12
i cannot manage supporting students with weak exam strategy skills,CONCERN_MOT_2220,Supporting Students with Weak Exam Strategy Skills,EXAMINATION_READINESS,CONCERN_ACA_2454,Supporting Students with Weak Academic Organization During Exams,DISCIPLINE_HABITS,4,6,67,12
i keep struggling with supporting students with weak exam temperament,CONCERN_STE_2163,Supporting Students with Weak Exam Temperament,EXAMINATION_READINESS,CONCERN_ACA_2454,Supporting Students with Weak Academic Organization During Exams,DISCIPLINE_HABITS,4,6,67,12
i cannot manage supporting students with weak exam temperament,CONCERN_STE_2163,Supporting Students with Weak Exam Temperament,EXAMINATION_READINESS,CONCERN_ACA_2454,Supporting Students with Weak Academic Organization During Exams,DISCIPLINE_HABITS,4,6,67,12
lack of interest in studies,CONCERN_STU_1353,interest in studies,ENGAGEMENT_MANAGEMENT,CONCERN_ACA_2436,Students Losing Motivation Due to Lack of Purpose,ACADEMIC_IDENTITY,2,3,67,12
lack of career awareness,CONCERN_EXA_1833,Career Awareness,ACADEMIC_IDENTITY,CONCERN_CAR_1379,understanding of emerging careers,FUTURE_CAREER,3,3,100,11
weak competitive readiness,CONCERN_MOT_1975,Competitive Readiness,COMPETITIVE_EXAM,CONCERN_ADJ_250,Understanding of Career Competitiveness Levels,CAREER_READINESS,3,3,100,11
lack of career awareness,CONCERN_THI_1966,Career Awareness,ACADEMIC_IDENTITY,CONCERN_CAR_1379,understanding of emerging careers,FUTURE_CAREER,3,3,100,11
i have trouble with employment instability emotionally,CONCERN_COM_541,Employment Instability Emotionally,EMOTIONAL_REGULATION,CONCERN_CAR_217,Anxiety About Future Stability,EXAMINATION_STRESS,3,4,75,11
i have trouble with placement interviews,CONCERN_CAR_362,Placement Interviews,COMMUNICATION_EXPRESSION,CONCERN_ACA_16,Interview Preparation Discipline,EMPLOYABILITY,2,3,67,11
i keep struggling with managing students with weak academic reflection practices,CONCERN_COM_2254,Managing Students with Weak Academic Reflection Practices,SELF_REFLECTION,CONCERN_ACA_2245,Students with Weak Performance Consistency Across Subjects,ACADEMIC_PERFORMANCE,4,6,67,11
i cannot manage confidence,CONCERN_CON_1735,Confidence,CONFIDENCE_SELF,CONCERN_ACA_1062,Handling Workplace Criticism Constructively,EMOTIONAL_REGULATION,2,3,67,11
i need help with supporting students with weak exam strategy,CONCERN_CON_2140,Supporting Students with Weak Exam Strategy,EXAMINATION_READINESS,CONCERN_ACA_2454,Supporting Students with Weak Academic Organization During Exams,DISCIPLINE_HABITS,4,6,67,11
i cannot manage students with weak academic motivation over time,CONCERN_CON_2467,Students with Weak Academic Motivation Over Time,MOTIVATION_VALUES,CONCERN_ACA_2454,Supporting Students with Weak Academic Organization During Exams,DISCIPLINE_HABITS,4,6,67,11
i keep struggling with emotional recovery after poor mock scores,CONCERN_DIS_110,Emotional Recovery After Poor Mock Scores,EXAMINATION_STRESS,CONCERN_ADA_1300,Visibility into Student Recovery After Academic Failure,EMOTIONAL_RECOVERY,4,6,67,11
i keep struggling with emotional stress during leadership reviews,CONCERN_EMP_1095,Emotional Stress During Leadership Reviews,LEADERSHIP_OWNERSHIP,CONCERN_CAR_841,Emotional Pressure During Succession Discussions,LEADERSHIP_TRANSITION,4,6,67,11
i need help with emotional stress during leadership reviews,CONCERN_EMP_1095,Emotional Stress During Leadership Reviews,LEADERSHIP_OWNERSHIP,CONCERN_CAR_841,Emotional Pressure During Succession Discussions,LEADERSHIP_TRANSITION,4,6,67,11
i have trouble with job interviews,CONCERN_EMP_462,Job Interviews,COMMUNICATION_EXPRESSION,CONCERN_ACA_16,Interview Preparation Discipline,EMPLOYABILITY,2,3,67,11
i struggle with academic endurance,CONCERN_EXA_1715,Academic Endurance,ACADEMIC_PERFORMANCE,CONCERN_ACA_1650,Problem-Solving Skills,ACADEMIC_COGNITIVE,2,3,67,11
i keep struggling with managing students with weak academic resilience,CONCERN_EXA_2248,Managing Students with Weak Academic Resilience,EXAMINATION_STRESS,CONCERN_ACA_2245,Students with Weak Performance Consistency Across Subjects,ACADEMIC_PERFORMANCE,4,6,67,11
i keep struggling with handling students with weak academic ownership during projects,CONCERN_EXA_2258,Handling Students with Weak Academic Ownership During Projects,COLLABORATION_OWNERSHIP,CONCERN_ACA_2340,Students Struggling with Multi-Step Problem Solving,ACADEMIC_COGNITIVE,4,6,67,11
i keep struggling with visibility into student attendance pattern risks,CONCERN_HOL_1292,Visibility into Student Attendance Pattern Risks,BEHAVIORAL_STABILITY,CONCERN_ACA_1174,Visibility into Classroom Engagement Patterns,STUDENT_ENGAGEMENT,4,6,67,11
i keep struggling with handling students with weak academic motivation,CONCERN_LEA_2134,Handling Students with Weak Academic Motivation,MOTIVATION_VALUES,CONCERN_ACA_2340,Students Struggling with Multi-Step Problem Solving,ACADEMIC_COGNITIVE,4,6,67,11
i keep struggling with handling students with weak academic self-awareness,CONCERN_LIF_2264,Handling Students with Weak Academic Self-Awareness,SELF_REFLECTION,CONCERN_ACA_2340,Students Struggling with Multi-Step Problem Solving,ACADEMIC_COGNITIVE,4,6,67,11
i keep struggling with visibility into student leadership participation equity,CONCERN_MOT_1190,Visibility into Student Leadership Participation Equity,LEADERSHIP_OWNERSHIP,CONCERN_CON_1234,Visibility into Institutional Decision-Making Competency Growth,THINKING_QUALITY,4,6,67,11
i keep struggling with managing students with weak academic follow-through,CONCERN_MOT_2214,Managing Students with Weak Academic Follow-Through,DISCIPLINE_HABITS,CONCERN_ACA_2245,Students with Weak Performance Consistency Across Subjects,ACADEMIC_PERFORMANCE,4,6,67,11
i need help with supporting students with weak exam strategy skills,CONCERN_MOT_2220,Supporting Students with Weak Exam Strategy Skills,EXAMINATION_READINESS,CONCERN_ACA_2454,Supporting Students with Weak Academic Organization During Exams,DISCIPLINE_HABITS,4,6,67,11
i need help with supporting students with weak exam temperament,CONCERN_STE_2163,Supporting Students with Weak Exam Temperament,EXAMINATION_READINESS,CONCERN_ACA_2454,Supporting Students with Weak Academic Organization During Exams,DISCIPLINE_HABITS,4,6,67,11
i keep struggling with handling students with weak academic confidence in english,CONCERN_STE_2456,Handling Students with Weak Academic Confidence in English,COMMUNICATION_EXPRESSION,CONCERN_ACA_2340,Students Struggling with Multi-Step Problem Solving,ACADEMIC_COGNITIVE,4,6,67,11
i have trouble with problem-solving ability,CONCERN_STU_1369,problem-solving ability,COGNITIVE_SKILLS,CONCERN_ACA_1050,Build Cross-Domain Problem-Solving Confidence,THINKING_QUALITY,2,3,67,11
i struggle with competitive environments,CONCERN_THI_1682,Competitive Environments,EXAMINATION_STRESS,CONCERN_COM_2335,Child Losing Balance Between Performance and Wellbeing,LIFESTYLE_PRESSURE,2,3,67,11
i have trouble with competitive environments,CONCERN_THI_1682,Competitive Environments,EXAMINATION_STRESS,CONCERN_COM_2335,Child Losing Balance Between Performance and Wellbeing,LIFESTYLE_PRESSURE,2,3,67,11
i cannot manage holistic student development,CONCERN_COM_2151,Holistic Student Development,HOLISTIC_DEVELOPMENT,CONCERN_BEH_1457,Excessive dependency on parental supervision,INDEPENDENCE_DEVELOPMENT,3,5,60,11
i keep struggling with understanding workplace expectations,CONCERN_COM_367,Understanding Workplace Expectations,CAREER_READINESS,CONCERN_CAR_244,Understanding of Industry Expectations,EMPLOYABILITY,3,5,60,11
i need help with employment instability emotionally,CONCERN_COM_541,Employment Instability Emotionally,EMOTIONAL_REGULATION,CONCERN_CAR_217,Anxiety About Future Stability,EXAMINATION_STRESS,3,5,60,11
i cannot manage leadership and team collaboration,CONCERN_INT_1429,leadership and team collaboration,LEADERSHIP_READINESS,CONCERN_CAR_1329,Leadership and Teamwork Readiness,LEADERSHIP_OWNERSHIP,3,5,60,11
lack of curiosity,CONCERN_CON_1795,Curiosity,MOTIVATION_VALUES,CONCERN_CON_1205,Institutional Creativity and Innovation Levels,INQUIRY_CURIOSITY,2,2,100,10
i struggle with understanding workplace expectations,CONCERN_COM_367,Understanding Workplace Expectations,CAREER_READINESS,CONCERN_CAR_244,Understanding of Industry Expectations,EMPLOYABILITY,3,4,75,10
i have trouble with understanding workplace expectations,CONCERN_COM_367,Understanding Workplace Expectations,CAREER_READINESS,CONCERN_CAR_244,Understanding of Industry Expectations,EMPLOYABILITY,3,4,75,10
i struggle with revising effectively,CONCERN_ACA_1664,Revising Effectively,EXAMINATION_READINESS,CONCERN_ACA_146,Focus During Long Revision Sessions,ACADEMIC_COGNITIVE,2,3,67,10
i struggle with conceptual understanding,CONCERN_ACA_1932,Conceptual Understanding,FOUNDATIONAL_LEARNING,CONCERN_ACA_1649,Understanding Concepts,ACADEMIC_COGNITIVE,2,3,67,10
i have trouble with conceptual understanding,CONCERN_ACA_1932,Conceptual Understanding,FOUNDATIONAL_LEARNING,CONCERN_ACA_1649,Understanding Concepts,ACADEMIC_COGNITIVE,2,3,67,10
i cannot manage building confidence after career decision mistakes,CONCERN_CAR_251,Building Confidence After Career Decision Mistakes,EMOTIONAL_RECOVERY,CONCERN_ACA_451,Building Professional Confidence Without Constant Validation,CONFIDENCE_SELF,4,6,67,10
i cannot manage handling students with weak academic endurance,CONCERN_COL_2198,Handling Students with Weak Academic Endurance,ACADEMIC_COGNITIVE,CONCERN_CLA_2116,Handling Students with Weak Foundational Skills,FOUNDATIONAL_LEARNING,4,6,67,10
i need help with handling students with weak academic endurance,CONCERN_COL_2198,Handling Students with Weak Academic Endurance,ACADEMIC_COGNITIVE,CONCERN_CLA_2116,Handling Students with Weak Foundational Skills,FOUNDATIONAL_LEARNING,4,6,67,10
i keep struggling with students with weak academic motivation over time,CONCERN_CON_2467,Students with Weak Academic Motivation Over Time,MOTIVATION_VALUES,CONCERN_ACA_2454,Supporting Students with Weak Academic Organization During Exams,DISCIPLINE_HABITS,4,6,67,10
i need help with emotional recovery after poor mock scores,CONCERN_DIS_110,Emotional Recovery After Poor Mock Scores,EXAMINATION_STRESS,CONCERN_ADA_1300,Visibility into Student Recovery After Academic Failure,EMOTIONAL_RECOVERY,4,6,67,10
i keep struggling with visibility into student self-learning capability,CONCERN_EMP_1238,Visibility into Student Self-Learning Capability,COMPETENCY_DEVELOPMENT,CONCERN_CON_1234,Visibility into Institutional Decision-Making Competency Growth,THINKING_QUALITY,4,6,67,10
i need help with motivation,CONCERN_EXA_1743,Motivation,MOTIVATION_VALUES,CONCERN_ACA_2199,Helping Students Organize Academic Priorities,DISCIPLINE_HABITS,2,3,67,10
i cannot manage handling students with weak academic ownership during projects,CONCERN_EXA_2258,Handling Students with Weak Academic Ownership During Projects,COLLABORATION_OWNERSHIP,CONCERN_CLA_2116,Handling Students with Weak Foundational Skills,FOUNDATIONAL_LEARNING,4,6,67,10
i need help with handling students with weak academic ownership during projects,CONCERN_EXA_2258,Handling Students with Weak Academic Ownership During Projects,COLLABORATION_OWNERSHIP,CONCERN_CLA_2116,Handling Students with Weak Foundational Skills,FOUNDATIONAL_LEARNING,4,6,67,10
i struggle with decision-making confidence,CONCERN_EXP_1513,decision-making confidence,PERSONAL_DECISION,CONCERN_ACA_2439,Decision-Making Confidence During Career Planning,ACADEMIC_IDENTITY,2,3,67,10
i keep struggling with visibility into student professional discipline and reliability,CONCERN_LEA_1330,Visibility into Student Professional Discipline and Reliability,DISCIPLINE_HABITS,CONCERN_ADA_1326,Visibility into Internship Readiness Across Students,CAREER_READINESS,4,6,67,10
i cannot manage handling students with weak academic motivation,CONCERN_LEA_2134,Handling Students with Weak Academic Motivation,MOTIVATION_VALUES,CONCERN_CLA_2116,Handling Students with Weak Foundational Skills,FOUNDATIONAL_LEARNING,4,6,67,10
i need help with handling students with weak academic motivation,CONCERN_LEA_2134,Handling Students with Weak Academic Motivation,MOTIVATION_VALUES,CONCERN_CLA_2116,Handling Students with Weak Foundational Skills,FOUNDATIONAL_LEARNING,4,6,67,10
i cannot manage handling students with weak academic self-awareness,CONCERN_LIF_2264,Handling Students with Weak Academic Self-Awareness,SELF_REFLECTION,CONCERN_CLA_2116,Handling Students with Weak Foundational Skills,FOUNDATIONAL_LEARNING,4,6,67,10
i need help with handling students with weak academic self-awareness,CONCERN_LIF_2264,Handling Students with Weak Academic Self-Awareness,SELF_REFLECTION,CONCERN_CLA_2116,Handling Students with Weak Foundational Skills,FOUNDATIONAL_LEARNING,4,6,67,10
i struggle with workplace decision-making,CONCERN_LIF_388,Workplace Decision-Making,THINKING_QUALITY,CONCERN_ACA_2439,Decision-Making Confidence During Career Planning,ACADEMIC_IDENTITY,2,3,67,10
i cannot manage building career confidence after layoffs or offer revocations,CONCERN_LIF_453,Building Career Confidence After Layoffs or Offer Revocations,EMOTIONAL_RECOVERY,CONCERN_ACA_451,Building Professional Confidence Without Constant Validation,CONFIDENCE_SELF,4,6,67,10
i struggle with academic momentum,CONCERN_MOT_2099,Academic Momentum,MOTIVATION_VALUES,CONCERN_ACA_1650,Problem-Solving Skills,ACADEMIC_COGNITIVE,2,3,67,10
i keep struggling with visibility into student behavioral pattern changes,CONCERN_ORG_1296,Visibility into Student Behavioral Pattern Changes,DISCIPLINE_HABITS,CONCERN_CON_1234,Visibility into Institutional Decision-Making Competency Growth,THINKING_QUALITY,4,6,67,10
i keep struggling with visibility into student self-learning capability,CONCERN_SOC_1314,Visibility into Student Self-Learning Capability,COMPETENCY_DEVELOPMENT,CONCERN_CON_1234,Visibility into Institutional Decision-Making Competency Growth,THINKING_QUALITY,4,6,67,10
i cannot manage handling students with weak academic confidence in english,CONCERN_STE_2456,Handling Students with Weak Academic Confidence in English,COMMUNICATION_EXPRESSION,CONCERN_CLA_2116,Handling Students with Weak Foundational Skills,FOUNDATIONAL_LEARNING,4,6,67,10
i need help with handling students with weak academic confidence in english,CONCERN_STE_2456,Handling Students with Weak Academic Confidence in English,COMMUNICATION_EXPRESSION,CONCERN_CLA_2116,Handling Students with Weak Foundational Skills,FOUNDATIONAL_LEARNING,4,6,67,10
i cannot manage career decision-making confidence,CONCERN_CAR_212,Career Decision-Making Confidence,THINKING_QUALITY,CONCERN_ACA_1062,Handling Workplace Criticism Constructively,EMOTIONAL_REGULATION,3,5,60,10
i cannot manage placement rejection emotionally,CONCERN_CAR_365,Placement Rejection Emotionally,EMOTIONAL_RECOVERY,CONCERN_ACA_1062,Handling Workplace Criticism Constructively,EMOTIONAL_REGULATION,3,5,60,10
i need help with understanding workplace expectations,CONCERN_COM_367,Understanding Workplace Expectations,CAREER_READINESS,CONCERN_CAR_244,Understanding of Industry Expectations,EMPLOYABILITY,3,5,60,10
i struggle with emotional pressure from financial responsibilities,CONCERN_COM_527,Emotional Pressure from Financial Responsibilities,EMOTIONAL_REGULATION,CONCERN_CAR_253,Uncertainty About Future Income Stability,EXAMINATION_STRESS,3,5,60,10
i keep struggling with independent learning ability,CONCERN_FOU_1675,Independent Learning Ability,SELF_LEARNING,CONCERN_ACA_2345,Independent Learning Ability Among Students,ACADEMIC_COGNITIVE,3,5,60,10
i cannot manage unrealistic career expectations,CONCERN_LIF_1835,Unrealistic Career Expectations,ACADEMIC_IDENTITY,CONCERN_CAR_1382,Unrealistic salary expectations from careers,CAREER_EXPECTATIONS,3,5,60,10
i need help with long study hours,CONCERN_THI_1714,Long Study Hours,EXAMINATION_STRESS,CONCERN_BEH_1634,distinguish effort from effectiveness,PRODUCTIVITY_REFLECTION,3,5,60,10
weak problem-solving ability,CONCERN_STU_1369,problem-solving ability,COGNITIVE_SKILLS,CONCERN_ACA_1050,Build Cross-Domain Problem-Solving Confidence,THINKING_QUALITY,3,3,100,9
i struggle with emotional stress from career uncertainty,CONCERN_WOR_987,Emotional Stress from Career Uncertainty,EMOTIONAL_REGULATION,CONCERN_ACA_231,Career Uncertainty After Board Exams,EXAMINATION_STRESS,4,5,80,9
i struggle with long study hours,CONCERN_THI_1714,Long Study Hours,EXAMINATION_STRESS,CONCERN_BEH_1634,distinguish effort from effectiveness,PRODUCTIVITY_REFLECTION,3,4,75,9
i have trouble with long study hours,CONCERN_THI_1714,Long Study Hours,EXAMINATION_STRESS,CONCERN_BEH_1634,distinguish effort from effectiveness,PRODUCTIVITY_REFLECTION,3,4,75,9
i struggle with academic dishonesty,CONCERN_ACA_1859,Academic Dishonesty,MOTIVATION_VALUES,CONCERN_ACA_1650,Problem-Solving Skills,ACADEMIC_COGNITIVE,2,3,67,9
i keep struggling with handling students with weak learning ownership,CONCERN_ADJ_2222,Handling Students with Weak Learning Ownership,MOTIVATION_VALUES,CONCERN_ACA_2246,Handling Students with Weak Learning Confidence in New Topics,CONFIDENCE_SELF,4,6,67,9
i need help with build career confidence after academic struggles,CONCERN_CAR_256,Build Career Confidence After Academic Struggles,CONFIDENCE_SELF,CONCERN_CAR_251,Building Confidence After Career Decision Mistakes,EMOTIONAL_RECOVERY,4,6,67,9
i have trouble with academic uncertainty,CONCERN_COM_2053,Academic Uncertainty,EXAMINATION_STRESS,CONCERN_ACA_2440,Transitioning from Academic Identity to Professional Identity,ACADEMIC_IDENTITY,2,3,67,9
i need help with managing students with weak academic reflection practices,CONCERN_COM_2254,Managing Students with Weak Academic Reflection Practices,SELF_REFLECTION,CONCERN_ACA_2245,Students with Weak Performance Consistency Across Subjects,ACADEMIC_PERFORMANCE,4,6,67,9
i keep struggling with child becoming emotionally overwhelmed by news & media,CONCERN_CON_1909,Child Becoming Emotionally Overwhelmed by News & Media,LIFESTYLE_PRESSURE,CONCERN_ACA_1906,Child Becoming Hyper-Reactive to Feedback,EXAMINATION_STRESS,4,6,67,9
i cannot manage emotional recovery after poor mock scores,CONCERN_DIS_110,Emotional Recovery After Poor Mock Scores,EXAMINATION_STRESS,CONCERN_ADA_1300,Visibility into Student Recovery After Academic Failure,EMOTIONAL_RECOVERY,4,6,67,9
i keep struggling with supporting students with weak reading fluency,CONCERN_EXA_2182,Supporting Students with Weak Reading Fluency,COMMUNICATION_EXPRESSION,CONCERN_CON_1322,Visibility into Student Aptitude and Problem-Solving Readiness,THINKING_QUALITY,4,6,67,9
i need help with managing students with weak academic resilience,CONCERN_EXA_2248,Managing Students with Weak Academic Resilience,EXAMINATION_STRESS,CONCERN_ACA_2245,Students with Weak Performance Consistency Across Subjects,ACADEMIC_PERFORMANCE,4,6,67,9
i struggle with academic persistence,CONCERN_MOT_1963,Academic Persistence,MOTIVATION_VALUES,CONCERN_ACA_1650,Problem-Solving Skills,ACADEMIC_COGNITIVE,2,3,67,9
i need help with managing students with weak academic follow-through,CONCERN_MOT_2214,Managing Students with Weak Academic Follow-Through,DISCIPLINE_HABITS,CONCERN_ACA_2245,Students with Weak Performance Consistency Across Subjects,ACADEMIC_PERFORMANCE,4,6,67,9
i have trouble with academic uncertainty,CONCERN_PER_1461,academic uncertainty,PSYCHOLOGICAL_ADAPTATION,CONCERN_ACA_2440,Transitioning from Academic Identity to Professional Identity,ACADEMIC_IDENTITY,2,3,67,9
i keep struggling with visibility into student curiosity and inquiry levels,CONCERN_TEA_1170,Visibility into Student Curiosity and Inquiry Levels,INQUIRY_CURIOSITY,CONCERN_CON_1234,Visibility into Institutional Decision-Making Competency Growth,THINKING_QUALITY,4,6,67,9
i struggle with academic self-monitoring,CONCERN_THI_1983,Academic Self-Monitoring,SELF_REFLECTION,CONCERN_ACA_1650,Problem-Solving Skills,ACADEMIC_COGNITIVE,2,3,67,9
i struggle with academic self-monitoring,CONCERN_THI_2471,Academic Self-Monitoring,SELF_REFLECTION,CONCERN_ACA_1650,Problem-Solving Skills,ACADEMIC_COGNITIVE,2,3,67,9
i keep struggling with emotional stress from career uncertainty,CONCERN_WOR_987,Emotional Stress from Career Uncertainty,EMOTIONAL_REGULATION,CONCERN_ACA_231,Career Uncertainty After Board Exams,EXAMINATION_STRESS,4,6,67,9
i need help with building student curiosity,CONCERN_COM_2127,Building Student Curiosity,MOTIVATION_VALUES,CONCERN_ACA_2444,Helping Students Build Independent Identity Thinking,ACADEMIC_IDENTITY,3,5,60,9
i cannot manage workplace politics emotionally,CONCERN_COM_567,Workplace Politics Emotionally,WORKPLACE_ADAPTATION,CONCERN_ACA_1062,Handling Workplace Criticism Constructively,EMOTIONAL_REGULATION,3,5,60,9
i struggle with emotional pressure from team dependencies,CONCERN_EMO_1137,Emotional Pressure from Team Dependencies,COLLABORATION_OWNERSHIP,CONCERN_COM_469,Financial Anxiety During Job Search,EMOTIONAL_REGULATION,3,5,60,9
i keep struggling with leadership and team collaboration,CONCERN_INT_1429,leadership and team collaboration,LEADERSHIP_READINESS,CONCERN_CAR_1329,Leadership and Teamwork Readiness,LEADERSHIP_OWNERSHIP,3,5,60,9
i keep struggling with handling workplace uncertainty,CONCERN_LEA_604,Handling Workplace Uncertainty,EMOTIONAL_REGULATION,CONCERN_ACA_231,Career Uncertainty After Board Exams,EXAMINATION_STRESS,3,5,60,9
i keep struggling with long study hours,CONCERN_THI_1714,Long Study Hours,EXAMINATION_STRESS,CONCERN_BEH_1634,distinguish effort from effectiveness,PRODUCTIVITY_REFLECTION,3,5,60,9
i cannot manage long study hours,CONCERN_THI_1714,Long Study Hours,EXAMINATION_STRESS,CONCERN_BEH_1634,distinguish effort from effectiveness,PRODUCTIVITY_REFLECTION,3,5,60,9
i need help with long-term academic pressure,CONCERN_THI_2069,Long-Term Academic Pressure,EXAMINATION_STRESS,CONCERN_CLA_2243,Helping Students Handle Academic Competition Positively,CONFIDENCE_SELF,3,5,60,9
difficulty working in teams,CONCERN_CLA_1669,Working in Teams,SOCIAL_EMOTIONAL,CONCERN_ACA_779,Cross-Generational Team Dynamics,COLLABORATION_OWNERSHIP,3,3,100,8
i have trouble with emotional stress from career uncertainty,CONCERN_WOR_987,Emotional Stress from Career Uncertainty,EMOTIONAL_REGULATION,CONCERN_ACA_231,Career Uncertainty After Board Exams,EXAMINATION_STRESS,4,5,80,8
i struggle with handling workplace uncertainty,CONCERN_LEA_604,Handling Workplace Uncertainty,EMOTIONAL_REGULATION,CONCERN_ACA_231,Career Uncertainty After Board Exams,EXAMINATION_STRESS,3,4,75,8
i have trouble with handling workplace uncertainty,CONCERN_LEA_604,Handling Workplace Uncertainty,EMOTIONAL_REGULATION,CONCERN_ACA_231,Career Uncertainty After Board Exams,EXAMINATION_STRESS,3,4,75,8
i struggle with adaptability to academic changes,CONCERN_MOT_1986,Adaptability to Academic Changes,LEARNING_ADAPTABILITY,CONCERN_ACA_2311,Adapting to Academic Changes,TRANSITION_CHANGE,3,4,75,8
i struggle with adaptability to academic changes,CONCERN_MOT_2474,Adaptability to Academic Changes,LEARNING_ADAPTABILITY,CONCERN_ACA_2311,Adapting to Academic Changes,TRANSITION_CHANGE,3,4,75,8
i struggle with workplace feedback emotionally,CONCERN_STR_667,Workplace Feedback Emotionally,EMOTIONAL_RECOVERY,CONCERN_ACA_1062,Handling Workplace Criticism Constructively,EMOTIONAL_REGULATION,3,4,75,8
i cannot manage emotional pressure from peer placements,CONCERN_COL_411,Emotional Pressure from Peer Placements,CONFIDENCE_SELF,CONCERN_CAR_713,Workplace Uncertainty During Organizational Changes,EMOTIONAL_REGULATION,4,6,67,8
i keep struggling with emotional anxiety during job insecurity,CONCERN_COM_1091,Emotional Anxiety During Job Insecurity,EMPLOYABILITY,CONCERN_CAR_713,Workplace Uncertainty During Organizational Changes,EMOTIONAL_REGULATION,4,6,67,8
i need help with emotional anxiety during job insecurity,CONCERN_COM_1091,Emotional Anxiety During Job Insecurity,EMPLOYABILITY,CONCERN_CAR_713,Workplace Uncertainty During Organizational Changes,EMOTIONAL_REGULATION,4,6,67,8
i keep struggling with emotional anxiety during career stagnation,CONCERN_COM_1109,Emotional Anxiety During Career Stagnation,CAREER_GROWTH,CONCERN_CAR_713,Workplace Uncertainty During Organizational Changes,EMOTIONAL_REGULATION,4,6,67,8
i need help with emotional anxiety during career stagnation,CONCERN_COM_1109,Emotional Anxiety During Career Stagnation,CAREER_GROWTH,CONCERN_CAR_713,Workplace Uncertainty During Organizational Changes,EMOTIONAL_REGULATION,4,6,67,8
i cannot manage child becoming emotionally overwhelmed by news & media,CONCERN_CON_1909,Child Becoming Emotionally Overwhelmed by News & Media,LIFESTYLE_PRESSURE,CONCERN_ACA_1906,Child Becoming Hyper-Reactive to Feedback,EXAMINATION_STRESS,4,6,67,8
i need help with child becoming emotionally overwhelmed by news & media,CONCERN_CON_1909,Child Becoming Emotionally Overwhelmed by News & Media,LIFESTYLE_PRESSURE,CONCERN_ACA_1906,Child Becoming Hyper-Reactive to Feedback,EXAMINATION_STRESS,4,6,67,8
i cannot manage visibility into student career direction clarity,CONCERN_EMP_1318,Visibility into Student Career Direction Clarity,CAREER_GROWTH,CONCERN_ACA_1194,Visibility into Future Career Readiness Across Students,EMPLOYABILITY_FUTURE,4,6,67,8
i need help with difficulty maintaining focus during long study hours,CONCERN_EXA_111,Difficulty Maintaining Focus During Long Study Hours,ACADEMIC_COGNITIVE,CONCERN_ACA_2031,Attention During Revision,EXAMINATION_READINESS,4,6,67,8
i cannot manage supporting students with weak reading fluency,CONCERN_EXA_2182,Supporting Students with Weak Reading Fluency,COMMUNICATION_EXPRESSION,CONCERN_CON_2140,Supporting Students with Weak Exam Strategy,EXAMINATION_READINESS,4,6,67,8
i have trouble with decision-making confidence,CONCERN_EXP_1513,decision-making confidence,PERSONAL_DECISION,CONCERN_ACA_2439,Decision-Making Confidence During Career Planning,ACADEMIC_IDENTITY,2,3,67,8
i keep struggling with managing students with weak emotional stability during results & rankings,CONCERN_LEA_2296,Managing Students with Weak Emotional Stability During Results & Rankings,EXAMINATION_STRESS,CONCERN_ACA_2293,Students with Weak Peer Interaction Skills,SOCIAL_EMOTIONAL,4,6,67,8
i struggle with emotional withdrawal,CONCERN_LIF_1740,Emotional Withdrawal,ADJUSTMENT_COPING,CONCERN_CON_1844,Emotional Withdrawal After Failure,EXAMINATION_STRESS,2,3,67,8
i struggle with students struggling to express academic difficulties openly,CONCERN_SOC_2378,Students Struggling to Express Academic Difficulties Openly,SOCIAL_EMOTIONAL,CONCERN_ACA_1727,Solving Word Problems,ACADEMIC_COGNITIVE,4,6,67,8
i need help with emotional stress from career uncertainty,CONCERN_WOR_987,Emotional Stress from Career Uncertainty,EMOTIONAL_REGULATION,CONCERN_ACA_231,Career Uncertainty After Board Exams,EXAMINATION_STRESS,4,6,67,8
i keep struggling with career decision-making confidence,CONCERN_CAR_212,Career Decision-Making Confidence,THINKING_QUALITY,CONCERN_ACA_2439,Decision-Making Confidence During Career Planning,ACADEMIC_IDENTITY,3,5,60,8
i have trouble with emotional pressure from financial responsibilities,CONCERN_COM_527,Emotional Pressure from Financial Responsibilities,EMOTIONAL_REGULATION,CONCERN_CAR_253,Uncertainty About Future Income Stability,EXAMINATION_STRESS,3,5,60,8
i keep struggling with emotionally reactive students,CONCERN_INT_2158,Emotionally Reactive Students,EXAMINATION_STRESS,CONCERN_COL_1215,Institutional Emotional Recovery Capacity,EMOTIONAL_RECOVERY,3,5,60,8
i need help with handling workplace uncertainty,CONCERN_LEA_604,Handling Workplace Uncertainty,EMOTIONAL_REGULATION,CONCERN_ACA_231,Career Uncertainty After Board Exams,EXAMINATION_STRESS,3,5,60,8
i keep struggling with unrealistic career expectations,CONCERN_LIF_1835,Unrealistic Career Expectations,ACADEMIC_IDENTITY,CONCERN_CAR_1382,Unrealistic salary expectations from careers,CAREER_EXPECTATIONS,3,5,60,8
i keep struggling with adaptability to changing environments,CONCERN_PER_1518,adaptability to changing environments,ADAPTIVE_DEVELOPMENT,CONCERN_CLA_1443,adaptation to changing academic expectations,ADAPTABILITY_GUIDANCE,3,5,60,8
